tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
740059949,740059950,10,f712cef2e018df2eb28da987e5533cd7d027d002,python,unknown,4,python,"",false,,,,,,,,,"",,
740060058,740060059,11,fa467b61f2dc1ebf40ec24ff5a733cdf41c1972b,python,ok,1,python,"",false,,,,,,,,,"",,
740604125,740604126,12,0d9fec4bf70e65b0e03f52caec0b5b222796c37a,python,ok,1,python,"",false,,,,,,,,,"",,
753173884,753173885,13,aaf47461d981e4dc32d2bb93117c516880b91834,python,ok,1,python,"",false,,,,,,,,,"",,
753174527,753174528,14,f871bf9ebda37801e7d0de147e46fb725563c5ae,python,unknown,4,python,"",false,,,,,,,,,"",,
753174597,753174598,15,04f4470a9e58d4cdc98ad606836dc3918195ec02,python,ok,1,python,"",false,,,,,,,,,"",,
753178209,753178210,16,04f4470a9e58d4cdc98ad606836dc3918195ec02,python,ok,1,python,"",false,,,,,,,,,"",,
739623968,739623969,1,bc23035f934407ac61e69026d6239b7e1c1c0868,python,broken,1,python,"",false,,,,,,,,,"",,
739657303,739657304,2,e5d761fe4c7215c087e2470808870f966a5dcb6b,python,broken,0,python,"",false,,,,,,,,,"",,
739732027,739732028,3,82ee5474d309378eb925a9690cecd45feaf41f8b,python,unknown,4,python,"",false,,,,,,,,,"",,
739738177,739738178,4,28b79ddff99498c49b58710144e5a5cca7f9d3e1,unknown,unknown,,plain,"",false,,,,,,,,,"",,
739741571,739741572,5,32b3af0ca4b15b75775ca1c43ca693d5dd50c036,python,broken,1,python,"",false,,,,,,,,,"",,
739874687,739874688,6,74c034f7bcba7e900ef77f31dacf721b7bd13215,python,broken,1,python,"",false,,,,,,,,,"",,
739876223,739876224,7,e7d267cffd749db162c84a0ece6a03e7c39eb8a9,python,broken,1,python,"",false,,,,,,,,,"",,
739886625,739886626,8,158013cbfa2d86b2d9afddec1cdb47ef61c7ffd6,python,broken,1,python,"",false,,,,,,,,,"",,
740036705,740036706,9,ed11c1a8dcd275d391d3a823c9f7c1c0cde351e8,python,ok,1,python,"",false,,,,,,,,,"",,
