tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
705976291,705976292,100,283d4e84ef1d13a6bbe3900afc1ef414af14a30b,python,ok,1,python,unittest,true,false,12,0,12,0,,,,"",80.84,
705976433,705976434,101,0a6b29564a0fa534340250c7755cea03cf6f7ac2,python,broken,3,python,unittest,true,true,1,11,12,0,,,,"",0.01,
705978049,705978050,102,46d9027766029f1281013c6210f05fbd11fef1d9,python,ok,2,python,unittest,true,false,12,0,12,0,,,,"",91.08,
705978061,705978062,103,f6f7d2604989bcb9cde57bdfe9e259653215f8cf,python,ok,0,python,unittest,true,false,12,0,12,0,,,,"",105.45,
705981137,705981138,104,17d7086a64a88b75eef8496b6a98db998949e7c5,python,broken,3,python,unittest,true,true,1,11,12,0,,,,"",0.01,
705981905,705981906,105,c04af6f1f2da0f962409b53bd3eda973edae850c,python,broken,2,python,unittest,true,true,1,11,12,0,,,,"",0.46,
705982554,705982555,106,6de065544e816ab0c5fd064ee8a41873b9cb6783,python,ok,2,python,unittest,true,false,12,0,12,0,,,,"",71.55,
705982740,705982741,107,cacca227927971179496c423771f11a97565ea04,python,broken,3,python,unittest,true,true,1,11,12,0,,,,"",0.01,
705983211,705983212,108,92921c84c0a1c6c6abcaed023734037054a2d657,python,broken,2,python,unittest,true,true,1,11,12,0,,,,"",0.01,
705983669,705983670,109,c3c43be8f6987bb04b435921ad83bb905ccdc1c4,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",90.79,
705216811,705216812,10,4c2ea87b568f8d736bcc1814ebd62cb62f7c19a0,python,broken,3,python,"",false,,,,,,,,,"",,
705989675,705989676,110,92427e68e3f441d3450c4b80eaa24eb1ea29c51d,python,ok,1,python,unittest,true,false,12,0,12,0,,,,"",75.19,
705995931,705995932,111,83318fa2f66add7f9715d5844973218e603b1140,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",88.95,
705997837,705997838,112,83318fa2f66add7f9715d5844973218e603b1140,unknown,unknown,,plain,"",false,,,,,,,,,"",,
705997843,705997844,113,892895d45e192c77020a9b34a33fb783f96322ef,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",97.8,
705997971,705997972,114,24f4c613a671ce3f14b934f55dcbb72780cfb617,python,ok,1,python,unittest,true,false,12,0,12,0,,,,"",87.26,
706006200,706006201,115,96b6f2015a0fe969163cfb1208ddc1b3d544e7b1,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",78.24,
706027126,706027127,116,bda826af650619e66f2172c4e02a527326fde653,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",80.34,
706027563,706027564,117,c7032f2fbeb9ab90942e0047f1747afd52e5071d,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",101.77,
706030253,706030254,118,ad84ed90c6363129d4e9ce5ae0e28325a5ffc90d,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",98.47,
706257575,706257576,119,1246473c193a137894b28691c00b24ef0da4c652,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",84.47,
705218026,705218027,11,ef093109448867a5b0b1c00e8edf819ddfc63c30,python,broken,2,python,"",false,,,,,,,,,"",,
706267208,706267209,120,1246473c193a137894b28691c00b24ef0da4c652,unknown,unknown,,plain,"",false,,,,,,,,,"",,
706267219,706267220,121,4514c6d863e9aad898a63dedafcfe053c410bd04,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",83.61,
706267515,706267516,122,2c3ccdde6a97cbb6f481c54416a630618f17dc7c,python,ok,1,python,unittest,true,false,12,0,12,0,,,,"",74.01,
706275650,706275651,123,3f6b376c553914b9cdfaaa27b28a87380b1dab74,python,ok,3,python,unittest,true,false,12,0,12,0,,,,"",85.61,
706288577,706288578,124,ce968e6ac368153f0bd5b1deebf120bd311394ea,unknown,unknown,,plain,"",false,,,,,,,,,"",,
706288602,706288603,125,0ee6eb8609dccf6a7ae821bb05b00cab0134dd60,python,ok,2,python,unittest,true,false,12,0,12,0,,,,"",120.77,
706288824,706288825,126,754c6cf4f2bf8219ef0a2b0797b6443043872a45,python,ok,2,python,unittest,true,false,12,0,12,0,,,,"",92.0,
706291885,706291886,127,754c6cf4f2bf8219ef0a2b0797b6443043872a45,unknown,unknown,,plain,"",false,,,,,,,,,"",,
706291887,706291888,128,9a838fa00fd11afaad95f7b9458c025b649f0bca,python,ok,2,python,unittest,true,false,12,0,12,0,,,,"",76.18,
706292522,706292523,129,eadf345329d013103edb2a743903d13e44cbcf6c,python,ok,1,python,unittest,true,false,12,0,12,0,,,,"",102.15,
705218459,705218460,12,2e5d3d905f4469293e62e80b5c4ade80d320b684,python,broken,1,python,"",false,,,,,,,,,"",,
706321367,706321368,130,569163cdd1b45b3e936bc86cef0bdc892071d94a,python,ok,2,python,unittest,true,false,12,0,12,0,,,,"",93.77,
