build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
374890755,f4e6b9996f90e2e45e6c8f2704f0160af030d9c1,320,master,passed,2009,2018-05-04 13:34:36 UTC,374890756,374890757,374890758,374890759,pull_request
374849138,62100b73be3e4fab1b6781492a705bbb8252f434,301,master,passed,2316,2018-05-04 11:50:49 UTC,374849139,374849140,374849141,374849142,374849143,pull_request
374849121,f2e9530ca92eac16982b19b5448b1d8ed5c64864,,simpler_generator,passed,1477,2018-05-04 11:50:51 UTC,374849122,374849123,374849124,374849125,374849126,push
374422206,719934a926e29c31359790d11c1de0020876249b,301,master,passed,2407,2018-05-03 13:42:46 UTC,374422208,374422209,374422211,374422213,374422214,pull_request
374422145,3b6a1ba6afae591bfc27e0941d15ebf67f7e3596,,simpler_generator,passed,1481,2018-05-03 13:42:15 UTC,374422149,374422151,374422153,374422157,374422158,push
374412208,1dec93fa2429c46a46ce0935c20ea04219b2f887,320,master,passed,2022,2018-05-03 13:29:42 UTC,374412209,374412212,374412213,374412214,pull_request
374407418,164f584068bad4f7df3eafa2814cd90d5cfdd250,320,master,passed,2111,2018-05-03 13:18:46 UTC,374407419,374407420,374407421,374407423,pull_request
374402700,0f9b25b190460d8c80f7e2b7ef15e99238a86ed7,301,master,passed,2458,2018-05-03 13:12:39 UTC,374402701,374402702,374402703,374402704,374402705,pull_request
374402675,2913b608013c03964c304253557873b85050976f,,simpler_generator,passed,1448,2018-05-03 13:06:53 UTC,374402676,374402677,374402678,374402679,374402680,push
374402438,24d1891938bf801a9cd5e01e72a4a8db2d7e6e82,320,master,passed,2069,2018-05-03 13:00:24 UTC,374402439,374402440,374402441,374402442,pull_request
374399667,7cdc1d71da77b13eea2e7e370f781de1672ad412,320,master,passed,2061,2018-05-03 12:55:16 UTC,374399669,374399671,374399673,374399675,pull_request
374321824,79e808dc12724aceb0590fc9363ed5d83c7cf686,301,master,passed,2430,2018-05-03 09:29:28 UTC,374321825,374321826,374321827,374321828,374321829,pull_request
374321811,25544d05fb92c894782fc337d2ae5eeb693162e5,,simpler_generator,passed,1493,2018-05-03 09:22:46 UTC,374321812,374321813,374321814,374321815,374321816,push
374321412,74d2222d9827c3fa8c8a2f56ebaf48d007f1e76e,320,master,passed,2086,2018-05-03 09:21:21 UTC,374321413,374321414,374321415,374321416,pull_request
374313721,e1b8aa2cc83c28685727299b55568c0186df1afb,301,master,passed,2332,2018-05-03 08:59:35 UTC,374313722,374313723,374313724,374313725,374313726,pull_request
374313695,9d4397534256dab44cbfe348da43ed0d1d6d4379,,simpler_generator,passed,1531,2018-05-03 08:59:18 UTC,374313696,374313697,374313698,374313699,374313700,push
374308554,32994d56869893e077e06f767da1e3d0b856a57b,301,master,failed,1379,2018-05-03 08:43:10 UTC,374308555,374308556,374308557,374308558,374308559,pull_request
374308545,6b452e03f6b7b73297eb218283cd86c05f88f514,,simpler_generator,failed,1156,2018-05-03 08:43:06 UTC,374308546,374308547,374308548,374308549,374308550,push
374303502,53ee03591f8c97eb8cc2d24ede85b248f9411ac7,301,master,failed,1345,2018-05-03 08:27:45 UTC,374303503,374303504,374303505,374303506,374303507,pull_request
374303474,7b89e10f69ba6f275dfb616d48a4f92586e77455,,simpler_generator,failed,1197,2018-05-03 08:27:40 UTC,374303475,374303476,374303477,374303478,374303479,push
373881057,544f9c68bdeef8bf5f23f7102b42b19c64e12b85,301,master,failed,1407,2018-05-02 11:16:12 UTC,373881058,373881059,373881060,373881061,373881062,pull_request
373881045,3b89078ba111bacd55c9d870a38affc6ab3d1a83,,simpler_generator,failed,1098,2018-05-02 11:16:07 UTC,373881047,373881049,373881050,373881051,373881052,push
373815085,0a82fb59b02c2fe2c9c5c917f3a3648bf2a9f450,301,master,failed,1320,2018-05-02 08:29:02 UTC,373815086,373815087,373815088,373815089,373815090,pull_request
373815035,5616d3332ad22c5a29fb08b87e1dca3cfd101343,,simpler_generator,failed,1129,2018-05-02 08:25:50 UTC,373815036,373815037,373815038,373815039,373815040,push
372912620,3535b4e4fb0ac9f1d9e411b81900e089bde8838f,400,master,passed,2706,2018-04-30 07:20:02 UTC,372912623,372912624,372912625,372912626,372912627,pull_request
372912568,75fae5f0cccb781af4a3598114fdd56169635293,,remote-core,passed,2673,2018-04-30 07:20:05 UTC,372912569,372912570,372912572,372912573,372912574,push
372912465,8ce473122734e57e69c21f17baa5f99fa6ec1ff1,400,master,canceled,0,2018-04-30 07:19:34 UTC,372912466,372912467,372912468,372912469,372912470,pull_request
372912428,8202f954d2ca67d37bf97f1655c527e9c87c2777,,remote-core,canceled,0,,372912429,372912430,372912431,372912432,372912433,push
372906267,9d2f68bce40526c02fe288a48dfb48a261b72455,301,master,failed,1341,2018-04-30 06:59:25 UTC,372906268,372906269,372906270,372906271,372906272,pull_request
372906247,35c509ed35ef18d464a665dfd5f8564c547fb329,,simpler_generator,failed,1136,2018-04-30 06:56:54 UTC,372906248,372906249,372906250,372906251,372906252,push
372668888,a3f1d915410e5c39037343d7e84d41ed69788fb6,,master,passed,2705,2018-04-29 12:33:28 UTC,372668889,372668890,372668891,372668892,372668893,push
372668437,2be7b3f01740f9b48316bd58b85a07ee5ad764b1,395,master,errored,1414,2018-04-29 12:23:49 UTC,372668438,372668439,372668440,372668441,372668442,pull_request
372668431,cb5e0aa10a1a0f79e6124c3bf52898c49fd1c793,,starter-pack,passed,2744,2018-04-29 12:23:49 UTC,372668432,372668433,372668434,372668435,372668436,push
372361716,e2c66f302268e464700a5b46349751f20f7b2a31,301,master,passed,2307,2018-04-28 09:34:15 UTC,372361717,372361718,372361719,372361720,372361721,pull_request
