build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
756757730,0534b68da6b99fa9aa4892e961f96f0f2d2e5ed3,569,master,canceled,0,,756757731,pull_request
756757726,0eb90f7b928cde8af19a409860ec672044164049,,feature/lightning,errored,1220,2021-01-29 21:46:58 UTC,756757727,push
756747245,4cb209ae0092fb23d5b487478a28cb91ee9980af,,V2.1,failed,762,2021-01-29 20:09:06 UTC,756747246,push
756746497,24061f6a618db3226e5ebfdc3a3ad31d033ff294,569,master,canceled,0,,756746498,pull_request
756746493,175bfdc9669522a2e0d2e16269e448904c8095a6,,feature/lightning,canceled,0,,756746494,push
756304842,d5c6ce59439732acffcc172f1bbea7fd36be5573,569,master,failed,993,2021-01-26 21:45:08 UTC,756304843,pull_request
756304834,96d9143cc706b76c1914b972924a18565642e8e6,,feature/lightning,failed,1028,2021-01-26 21:44:47 UTC,756304835,push
755197421,200d0561fdb40d62ebd0efa6602d9472932db0ee,607,feature/lightning,failed,1283,2021-01-19 16:16:32 UTC,755197422,pull_request
755197129,95f30f69755cc70f001737a7fc0d5996aa2f7f15,607,feature/lightning,canceled,0,,755197130,pull_request
754189789,4cb209ae0092fb23d5b487478a28cb91ee9980af,,master,passed,1611,2021-01-12 21:48:41 UTC,754189790,push
752307410,59ef4834a89a938afc6d843e64d44d3eeea2f4c4,569,master,failed,967,2020-12-31 17:42:45 UTC,752307411,pull_request
752307406,44dce2b2e43f39746ac70efe822d2d8f42887e75,,feature/lightning,failed,1032,2020-12-31 17:42:40 UTC,752307407,push
752307047,8da9b0ed9613a417b7bf240e5eeddb19ef4a219a,569,master,canceled,0,,752307048,pull_request
752307009,844e6dcc47be01bdb74ff635dc796e838a2edf27,,feature/lightning,canceled,0,,752307010,push
752306946,6274fa7bf37109ece63919b0a375549dbb1451e2,569,master,canceled,0,,752306947,pull_request
752306942,2d6fce066f85bb49cfb1ffe2c2ee178106e2eeb9,,feature/lightning,canceled,0,,752306943,push
752306827,20cb60278adad594648ceea8cb7ac0eaf8dd462c,569,master,canceled,0,,752306828,pull_request
752306823,45e23c7faa64c453d069406cdf4dbae9fcc22660,,feature/lightning,canceled,0,,752306824,push
752306782,c7ad75fc1c043143dfc6fc4b7be447a77760974b,,master,passed,1604,2020-12-31 17:36:04 UTC,752306783,push
752294596,1d0f44b86071da91ffc0c58bb960012cf55e7b2b,605,feature/lightning,failed,791,2020-12-31 16:22:20 UTC,752294597,pull_request
752288009,c2a7a194ffcffa7b10c27d940af7a8b08c34b117,604,feature/lightning,failed,994,2020-12-31 15:45:13 UTC,752288010,pull_request
752287726,ee3f8030522d05aaad08db843654dde91954c60e,603,feature/lightning,failed,800,2020-12-31 15:41:56 UTC,752287727,pull_request
752286824,4060c8d8cb3746dbb0f382c64369ae1094a690ff,602,feature/lightning,failed,812,2020-12-31 15:37:31 UTC,752286825,pull_request
752285231,a43eab3256126d7c536391d5e94a066f00833dad,601,feature/lightning,failed,810,2020-12-31 15:26:19 UTC,752285232,pull_request
751368711,56f234d164bbbef579de302c6909bcbdf756ace7,569,master,failed,797,2020-12-24 16:44:06 UTC,751368712,pull_request
751368709,fc5632d0d1463800f54beeb43ceea9998aa78421,,feature/lightning,failed,803,2020-12-24 16:44:11 UTC,751368710,push
749407195,0c07b89ac08e3f74b57f4f02ae2fe8bc2f6680ca,569,master,failed,791,2020-12-13 11:08:48 UTC,749407196,pull_request
749407191,d7dc1edbc1e6cb983422b6de74878dbbb3f3f317,,feature/lightning,failed,771,2020-12-13 11:08:46 UTC,749407192,push
749341124,7f075b0a79aed11fc8c9337ede893a45365320b5,569,master,failed,807,2020-12-12 23:13:24 UTC,749341125,pull_request
749341122,ce88f281b87eed11b45276878b07bf1e1d00e7ea,,feature/lightning,failed,816,2020-12-12 23:13:27 UTC,749341123,push
749267244,5899628231e36c3bd50acc4834b46939216a5168,569,master,failed,609,2020-12-12 15:07:38 UTC,749267245,pull_request
749267242,01bcce0268080d5c0466600b59d850a878457a42,,feature/lightning,failed,624,2020-12-12 15:07:34 UTC,749267243,push
749266940,c4583a4e3656d6ccc1dce5be511e1a527d35fbf8,569,master,canceled,0,,749266941,pull_request
749266938,51fc8fb10ae66c1f731707e9155d186bda45286a,,feature/lightning,canceled,0,,749266939,push
749266682,0ba0fb769d3ff38ef0ac1c4f06b1546761d93018,,feature/lightning,canceled,0,,749266683,push
748588369,7c5336a7550791cf9100236df35da4845358e77e,,feature/lightning,failed,613,2020-12-09 17:52:42 UTC,748588370,push
747035571,abc863775f02f68273c6119f80123ca59508964b,,feature/lightning-cuda,failed,613,2020-12-01 19:28:53 UTC,747035572,push
746987169,9d7f1e343ec93bad8fb47cdef2eda2493c7ff7ec,,feature/lightning-cuda,failed,605,2020-12-01 15:33:50 UTC,746987170,push
746978283,c7619fd1e216976b6bf562fbe4a0650e6461a98a,,feature/lightning-cuda,canceled,0,,746978284,push
746968607,911c25041b01fb8fe654942dcc330948af99ce66,,feature/lightning-cuda,failed,615,2020-12-01 13:25:47 UTC,746968608,push
746968158,5199091f7acc0775a5f058d669d2cc8935345a0a,,feature/lightning-cuda,canceled,0,,746968159,push
746968051,8ade75f2e87b3d8cd0af4b935c77760cd2915daa,,feature/lightning-cuda,canceled,0,,746968052,push
746967353,4a7b4f5f3f1d55eb065ca0c9ad2d0a2d378dfbfe,,feature/lightning-cuda,canceled,0,,746967354,push
746966395,990991b6e63a1110c52774a51b821aef906cfa4b,,feature/lightning-cuda,canceled,0,,746966396,push
746720803,dbaae5c1680c4671c953458a88b7412d6f983fbc,,feature/lightning,failed,624,2020-11-30 11:01:58 UTC,746720804,push
