tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
164870812,164870813,10,08a8d248e61be2afd24bbc6b5d6adf3d76814d07,python,ok,10,python,unittest,true,false,1,0,1,0,,,,"",9.99,
164870812,164870814,10,08a8d248e61be2afd24bbc6b5d6adf3d76814d07,python,ok,10,python,unittest,true,false,1,0,1,0,,,,"",9.62,
164870812,164870815,10,08a8d248e61be2afd24bbc6b5d6adf3d76814d07,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.56,
164870812,164870816,10,08a8d248e61be2afd24bbc6b5d6adf3d76814d07,python,ok,10,python,unittest,true,false,1,0,1,0,,,,"",10.06,
164885235,164885236,11,7033b6986dbe8a4b443c10959b8275fd92cb1a86,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.94,
164885235,164885237,11,7033b6986dbe8a4b443c10959b8275fd92cb1a86,python,ok,8,python,unittest,true,false,1,0,1,0,,,,"",10.61,
164885235,164885238,11,7033b6986dbe8a4b443c10959b8275fd92cb1a86,python,ok,8,python,unittest,true,false,1,0,1,0,,,,"",9.54,
164885235,164885239,11,7033b6986dbe8a4b443c10959b8275fd92cb1a86,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.53,
164897955,164897957,12,16d7dde3eac0a0e2242ecb81670986ea8ee2ef8e,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",10.31,
164897955,164897958,12,16d7dde3eac0a0e2242ecb81670986ea8ee2ef8e,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.84,
164897955,164897967,12,16d7dde3eac0a0e2242ecb81670986ea8ee2ef8e,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.88,
164897955,164897984,12,16d7dde3eac0a0e2242ecb81670986ea8ee2ef8e,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.94,
164900715,164900716,13,ae422599d103614534cc03763fd7a77c3a988057,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",10.93,
164900715,164900717,13,ae422599d103614534cc03763fd7a77c3a988057,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.86,
164900715,164900718,13,ae422599d103614534cc03763fd7a77c3a988057,python,ok,9,python,unittest,true,false,1,0,1,0,,,,"",9.89,
