tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
190029897,190029898,10,59f7aa4f7b35d13e2f4a2fc6a5484c8cda403d63,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190311862,190311863,11,8d92d8cec53642c9ebc78ae6d0dc62812e7c3e70,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
190312162,190312163,12,41efb7b59de2be611c1a2257cd8241233f9d4da7,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190315418,190315419,13,33211bd48aabd15a7d43170365d7124bb41dddf5,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190316050,190316051,14,33211bd48aabd15a7d43170365d7124bb41dddf5,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190821549,190821550,15,1baea826a3ed2dde84ba869ef244551cb07adebf,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190821585,190821586,16,1baea826a3ed2dde84ba869ef244551cb07adebf,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190821872,190821873,17,c0f5af1217589d970ef028c243f8bdd5fc9c111d,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190822234,190822235,18,c0f5af1217589d970ef028c243f8bdd5fc9c111d,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
190822474,190822475,19,c0f5af1217589d970ef028c243f8bdd5fc9c111d,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
188569268,188569271,1,25d3eec58f3e034b5f9b7bc572b90e5befa70a22,python,unknown,0,python,"",false,,,,,,,,,"",,
191189337,191189338,20,f37cd0139170a1de269afab3d80c35b10182d48e,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
191418455,191418456,21,95e241a2eb0e94a997fa2fa6c29aa93d5e3940ba,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
191526758,191526759,22,263dec27fad273024f175e4eb1c5bc03e18fe165,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
191535960,191535961,23,ab9be308b2524cc88996dc4e2ae78a6616b0c518,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
191536298,191536299,24,9ae6991a662e2a1120c7a67e1985681cecca7de1,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
196753564,196753566,25,c6595f36b3d757c5c5cbccc7676d1c9008f83868,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
197988240,197988241,26,a01f3e0079783441c67938c29d08cc7306c64a78,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
198340027,198340028,27,4d75a78e48d7737428bc4e6061db8d6c9b3b7c31,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
198340439,198340440,28,d6ff12443ac9b8ebd777fc4babd15f8c2ed482ea,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
198341040,198341041,29,be968ae4b74dafac600b749e958138d09236f672,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
189068983,189068984,2,63a14f065da37c5b6cb08d8e8217b04054f9e4f5,python,unknown,0,python,"",false,,,,,,,,,"",,
201458720,201458722,30,e7c84a28fc64a47ca8e065d7a0662501d6bc07d4,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
201555999,201556000,31,5f3d697e99fba2cc1d9c27121ae7852f1c3d21e8,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
189275802,189275803,3,fe0e4189d96e4b78d1771b70fcd4e25702839052,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
189287707,189287709,4,91acef837024f50a1c46e0403e3599bc8da08a51,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
189287857,189287858,5,c03639a182d4aa0a83ebc365fc81c4529f5b535e,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
189299902,189299903,6,8c9bc210040005c6a340af935657ec5625767cbd,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
189300305,189300306,7,8de37098f32f6d3484d4850841771d3d6935b52b,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
189938434,189938435,8,73b9a1793ba54c4b643e3664d16c75f66901ba9a,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
189939515,189939516,9,59f7aa4f7b35d13e2f4a2fc6a5484c8cda403d63,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
