tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
26324903,26324904,10,6636aa6b85c7badb1e72e56af1fd32c124a18c8a,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
26427769,26427770,11,fc511cf5d71286a79992905bfa4384fdb34e8a3b,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
27450054,27450055,12,2a234e64d9f2aa215c0ed2d54b80c5847b39168c,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
27531379,27531380,13,b422b72d729d9494c74b5f140dd94471e2800cfd,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
27531508,27531509,14,1e2fb3abf807c9542a2a65e747db4320fd283939,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
29107976,29107977,15,f7cd0017e29133f5b258391f7e077ff378799284,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
31767752,31767753,16,b1606aa8c7dfb23031d8cb87704b61da75a217d6,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
31767833,31767834,17,dbdced8a68e1b1abb97046ebe78f3d6e644780d0,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
31768083,31768084,18,d03b4decdd0e056d630b3c2a07ea27355a2f3248,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
31971731,31971732,19,a1e9e69a5d0630680a94b248011ebf0e53245e05,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
25834977,25834978,1,f6ed31401186c0c590ac4b0e9653ef767a307455,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
32394247,32394248,20,1b89925ce24cec9576de76c4ce89cda3790233fc,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
25913469,25913470,2,61b6f51d61ac155367d89fec9416ff02eee8f13f,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
25916349,25916350,3,854b434928228703882cb6d2a3796180fdea9246,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
26174591,26174592,4,be6ed4ca259ba8614b95519ca39d35ab8f1e3d2f,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
26175568,26175569,5,25adc35c100a9625e92b59375b1bfceb5f96115c,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
26275356,26275357,6,1a1eba4de3f9ef3810faee6277840b7c23497f97,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
26275819,26275820,7,638fe4f9caa47211596e676a4667ce4918a6cb0c,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
26276917,26276918,8,21f21ec4b85d3ff622e2c8a10b6ef281f789d244,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
26279594,26279595,9,2035439cde3d916c6d46c21ebd842a1c21e7428e,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
