tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
520174243,520174244,3249,cdff29c7d502d1ecb734dccc288e80b88467203e,python,broken,1,python,"",false,,,,,,,,,"",,
520174256,520174257,3250,fb52dbffe61d92dcb937f93a6cd2d1b350e92bff,python,broken,2,python,"",false,,,,,,,,,"",,
520426801,520426802,3252,4723ddb5ce68fd9f772fa95da2052b75e931c6ac,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",57.48,
520428451,520428452,3253,351736cc6d5a4ddb40dc56cf8d05b312858b1195,python,unknown,1,python,"",false,,,,,,,,,"",,
520428491,520428492,3254,03249de761137efedbde15d4a357f8770d44c518,python,unknown,2,python,"",false,,,,,,,,,"",,
520484905,520484906,3257,1877afc76017cbcf3587e9fc8e38087b74e581f9,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",45.79,
520497799,520497800,3258,f342a373625de10e074176313c790422ae24e21d,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",47.62,
520553584,520553586,3260,3335bc2dc660a53c6e687289d82322d151dc24f9,python,ok,2,python,unittest,true,false,501,0,501,0,,,,"",59.55,
520554303,520554304,3261,2b2de8f8a53f4ee9e00e2104ff8fda8f9e38f9c7,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",52.34,
520555776,520555777,3262,48fe5470d29df0207ba36a470d5316beb18cb2d1,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",51.75,
520556174,520556175,3263,6034265dfdfb2a7e1e4881076cc0f011ff0e639d,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",48.18,
520926737,520926738,3264,bf2f314cd4f11dacb83d8a08cfea5ace5b36b2f3,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",51.97,
520989665,520989666,3265,de7207de558d27934d3e46910da07d42278936f5,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",46.74,
520990038,520990039,3266,c89f1b05248abf56eb1d82dbd9296a776b633ff2,python,ok,2,python,unittest,true,false,501,0,501,0,,,,"",47.06,
521042151,521042152,3267,dbe0e9506de87697d46352591259af1334ebbe4b,python,ok,1,python,unittest,true,false,501,0,501,0,,,,"",50.39,
