tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
205895760,205895761,10,63cc1f9cad575f4a6f9bfc42c25d706c3fc57e32,python,ok,1,python,pytest,true,false,60,0,60,0,,,,"",1.71,
205918959,205918960,11,4128dc1ad7cbd0bfd090e401ec97f4019f6d4677,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.41,
206843167,206843168,12,573dca3a53773eace23339694bb9cae0a6fd2dd9,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",1.8,
206843262,206843263,13,573dca3a53773eace23339694bb9cae0a6fd2dd9,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",1.48,
206852130,206852131,14,97eea2d9a7912bd9d2c39c668f70f9061249ca40,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",1.85,
206853180,206853181,15,441aae57c2b3593c719f6ec644cad36672e3fade,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",1.34,
206853525,206853526,16,8a09cd3c5ea7b13104de985bb2fc2b726c27dccd,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.3,
206856744,206856745,17,21e5f7f1ba51d47869d4e84916f749be7ee5dfb9,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.41,
210789543,210789544,18,768e0f146756f351fb9bb97a448dfa90f83ac42f,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.38,
218101539,218101547,19,a8ce860adef9f9ce9205a4bb2e0a116dc6754e94,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.69,
204646738,204646739,1,e44d481de962c2edc4cd88ef00bf21075bfb1cb7,python,broken,0,python,pytest,true,true,59,1,60,0,,,,UserTest.test_auto_escalate,1.46,
219204422,219204423,20,b9779ba3d5b39b14f05facce828166e2afac9445,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.33,
222251203,222251206,21,3e692d3e971694ebb0ffe48c9eb1b4412c99ac98,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.45,
223994974,223994975,22,8cc4846602011db396df621d2e84e5808a6f3441,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.49,
249877355,249877356,23,f9e9cea3201751881f75f76a795ace85df2e780b,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",2.89,
249878725,249878726,24,2c5b962736c7474fc0797568ce816a9d11203a17,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",2.8,
249888319,249888320,25,7b059f4640ef02e97bc43b5e002fb0668f3837e3,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",2.51,
249899249,249899250,26,2acfb1412fbc47211c0bf76e78cef2337e4bbe04,python,ok,1,python,pytest,true,false,60,0,60,0,,,,"",1.49,
256507671,256507672,27,1c876fe1bdae2abfb9e7479cfe5429d3b29876f0,python,broken,0,python,pytest,true,false,0,0,0,0,,,,"",0.89,
326021214,326021215,28,636445f67bd2a5c5f2181f26a434fc4421f4eea4,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.37,
446379112,446379113,29,2019950012451646bcd9e65233bd0a705d4963fb,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.4,
204687005,204687007,2,223be2e85c282ffe6d6b90c1018c139accbe0f36,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",1.44,
447189468,447189470,30,695905f30748376b044af986864347abfc2ac2eb,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.53,
448462840,448462841,31,1d31de7f508ecd56fd65efa07ce7218b1ed88586,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",5.55,
448475626,448475627,32,afa174d013702d938612a635997e641698d12c76,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",2.94,
448479049,448479050,33,3062ceaadde18df5320c34b15cc5ef5ddeab7d22,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.37,
448484108,448484109,34,d031a4d915ab98d09cec1043edc315a5c927e014,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.62,
448484487,448484488,35,fb8322a9e1421cccb49b41badde8997a45a7de3b,unknown,unknown,,plain,"",false,,,,,,,,,"",,
448486519,448486520,36,d491c92b239f182229a20d9515a6da6e56bfd1aa,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.32,
449407413,449407414,37,bdc570d7f711bfa9dc057959709517238e15f53e,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.71,
449408780,449408781,38,32e30b05582edcce60d393936f3963efc5c1d058,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",2.59,
204690040,204690041,3,db3b939fa24466a5ff1c8a056e58613bf0dbcc69,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",1.71,
204732380,204732381,4,e79136c4e7cf57aefda6584c9bc7f6f27ff1eee4,python,broken,1,python,pytest,true,false,60,0,60,0,,,,"",1.62,
204732436,204732437,5,823af2864fa8bd0c50ee5883c8cbe8fc30101930,python,broken,1,python,pytest,true,false,60,0,60,0,,,,"",1.39,
204732462,204732463,6,5d8c8fcd7bf85536e28a9903bdaae90ff91216eb,python,broken,1,python,pytest,true,false,60,0,60,0,,,,"",1.44,
205611506,205611507,7,553bb5f3f20fabc291fddf5e7f200a96aae31a36,python,broken,0,python,pytest,true,true,59,1,60,0,,,,UserTest.test_auto_escalate,1.47,
205625496,205625497,8,cdd3abc09eb6667b47fda5685dee8bcf29b4f359,python,broken,0,python,pytest,true,false,60,0,60,0,,,,"",1.66,
205628423,205628424,9,e6b96666fe82fa49759e95f25d53f1a37e5ad6c1,python,ok,0,python,pytest,true,false,60,0,60,0,,,,"",1.48,
