tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
501376060,501376061,100,1b9ef06553de5f1913d1b9b82e860837b86c5a38,python,ok,3,python,pytest,true,false,26,0,26,0,,,,"",0.38,
501376060,501376062,100,1b9ef06553de5f1913d1b9b82e860837b86c5a38,python,ok,4,python,pytest,true,false,26,0,26,0,,,,"",0.39,
504537300,504537301,101,93c2fa87f30b98d1b6f8cc8b2738d0e0f5fd333f,python,ok,3,python,pytest,true,false,26,0,26,0,,,,"",0.37,
504537300,504537302,101,93c2fa87f30b98d1b6f8cc8b2738d0e0f5fd333f,python,ok,4,python,pytest,true,false,26,0,26,0,,,,"",0.43,
504537317,504537318,102,9df11ba322a09ee432759c4bea7bef84a6659515,python,ok,2,python,pytest,true,false,26,0,26,0,,,,"",0.38,
504537317,504537319,102,9df11ba322a09ee432759c4bea7bef84a6659515,python,ok,2,python,pytest,true,false,26,0,26,0,,,,"",0.35,
504539112,504539113,103,fbc6df3b42c19678aa562862262bf3637d5e5600,python,ok,3,python,pytest,true,false,26,0,26,0,,,,"",0.37,
504539112,504539114,103,fbc6df3b42c19678aa562862262bf3637d5e5600,python,ok,3,python,pytest,true,false,26,0,26,0,,,,"",0.35,
504539138,504539139,104,a824522f38358f602c4c02f857f146fb1b9af6bc,python,ok,3,python,pytest,true,false,26,0,26,0,,,,"",0.38,
504539138,504539140,104,a824522f38358f602c4c02f857f146fb1b9af6bc,python,ok,2,python,pytest,true,false,26,0,26,0,,,,"",0.37,
504572731,504572732,105,5c8d34f9ace49534c28d9ca6be7ecd05419d6216,unknown,unknown,,plain,"",false,,,,,,,,,"",,
504572731,504572733,105,5c8d34f9ace49534c28d9ca6be7ecd05419d6216,unknown,unknown,,plain,"",false,,,,,,,,,"",,
504572812,504572813,106,29f7d4138abb80ed96f0f88e9bff3ff83036ecb7,python,ok,3,python,pytest,true,false,26,0,26,0,,,,"",0.4,
504572812,504572815,106,29f7d4138abb80ed96f0f88e9bff3ff83036ecb7,python,ok,3,python,pytest,true,false,26,0,26,0,,,,"",0.38,
505619491,505619492,107,e540f2a9ecd61b0a1232e40b6945fa2559471857,python,broken,3,python,pytest,true,false,26,0,26,0,,,,"",0.36,
505619491,505619493,107,e540f2a9ecd61b0a1232e40b6945fa2559471857,python,broken,3,python,pytest,true,false,26,0,26,0,,,,"",0.37,
505619506,505619507,108,ee6850846345f9c00d491f7c6d6ab50b4702bd06,python,broken,3,python,pytest,true,false,26,0,26,0,,,,"",0.36,
505619506,505619508,108,ee6850846345f9c00d491f7c6d6ab50b4702bd06,python,broken,3,python,pytest,true,false,26,0,26,0,,,,"",0.42,
506040849,506040850,109,0ac4ebd06cb1a831750b45fcb8725bb7bca66d56,python,broken,3,python,pytest,true,false,26,0,26,0,,,,"",0.39,
506040849,506040851,109,0ac4ebd06cb1a831750b45fcb8725bb7bca66d56,python,broken,3,python,pytest,true,false,26,0,26,0,,,,"",0.36,
485049695,485049696,10,3181935a7c3b2b46db5227940bf07ea5b9a3cb2c,python,broken,2,python,pytest,true,false,13,0,13,0,,,,"",0.28,
485049695,485049697,10,3181935a7c3b2b46db5227940bf07ea5b9a3cb2c,python,broken,2,python,pytest,true,false,13,0,13,0,,,,"",0.33,
506040883,506040884,110,d6b620d1222ffb324989b736a4cf8d23762f66d7,python,broken,2,python,pytest,true,false,26,0,26,0,,,,"",0.36,
506040883,506040885,110,d6b620d1222ffb324989b736a4cf8d23762f66d7,python,broken,3,python,pytest,true,false,26,0,26,0,,,,"",0.38,
511628692,511628693,111,7d261d00c6b3c6a48538033a1c450efef93d32ec,python,ok,5,python,pytest,true,false,26,0,26,0,,,,"",0.39,
511628692,511628694,111,7d261d00c6b3c6a48538033a1c450efef93d32ec,python,ok,8,python,pytest,true,false,26,0,26,0,,,,"",0.35,
511632629,511632631,112,393caa3932a40dddc151191601720ccc71b1f45a,python,ok,5,python,pytest,true,false,26,0,26,0,,,,"",0.41,
