tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
23947465,23947466,100,9fdfa04a45cd48295f967378c51ac0867c646710,python,broken,,python,unittest,true,true,11,1,12,0,,,,"",0.29,
23947465,23947467,100,9fdfa04a45cd48295f967378c51ac0867c646710,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.53,
23947465,23947468,100,9fdfa04a45cd48295f967378c51ac0867c646710,java,broken,,java-ant,"",false,,,,,,,,,"",,
23947465,23947470,100,9fdfa04a45cd48295f967378c51ac0867c646710,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.64,
23952185,23952186,101,fb7c8480b09b9f7dfb6e045fbb9cce4414bd85d8,python,broken,,python,unittest,true,true,11,1,12,0,,,,"",0.11,
23952185,23952187,101,fb7c8480b09b9f7dfb6e045fbb9cce4414bd85d8,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.45,
23952185,23952188,101,fb7c8480b09b9f7dfb6e045fbb9cce4414bd85d8,java,broken,,java-ant,"",false,,,,,,,,,"",,
23952185,23952189,101,fb7c8480b09b9f7dfb6e045fbb9cce4414bd85d8,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.53,
23953432,23953433,102,3c702a8a9ba165cd7a3b2df4adf0ad25972da267,python,broken,,python,unittest,true,true,11,1,12,0,,,,test_list_command,0.51,
23953432,23953434,102,3c702a8a9ba165cd7a3b2df4adf0ad25972da267,python,broken,,python,unittest,true,true,11,1,12,0,,,,test_list_command,0.44,
23953432,23953435,102,3c702a8a9ba165cd7a3b2df4adf0ad25972da267,java,ok,,java-ant,"",false,,,,,,,,,"",,
23953432,23953436,102,3c702a8a9ba165cd7a3b2df4adf0ad25972da267,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.75,
23954243,23954244,103,c1ea29892a30729f599434ac8e9cc69bb6d7734e,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.45,
23954243,23954245,103,c1ea29892a30729f599434ac8e9cc69bb6d7734e,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.42,
23954243,23954246,103,c1ea29892a30729f599434ac8e9cc69bb6d7734e,java,broken,,java-ant,"",false,,,,,,,,,"",,
23954243,23954247,103,c1ea29892a30729f599434ac8e9cc69bb6d7734e,python,broken,,python,unittest,true,true,11,1,12,0,,,,"",0.14,
24030818,24030820,104,ad06c02c25711f36411e4d5ee359c207b29e0b7d,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.03,
24030818,24030821,104,ad06c02c25711f36411e4d5ee359c207b29e0b7d,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.17,
24030818,24030822,104,ad06c02c25711f36411e4d5ee359c207b29e0b7d,java,ok,,java-ant,"",false,,,,,,,,,"",,
24030818,24030823,104,ad06c02c25711f36411e4d5ee359c207b29e0b7d,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
24073253,24073254,105,d875908c1958ea82f9ad01fef6e0475f4b9506db,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
24073253,24073255,105,d875908c1958ea82f9ad01fef6e0475f4b9506db,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.42,
24073253,24073256,105,d875908c1958ea82f9ad01fef6e0475f4b9506db,java,ok,,java-ant,"",false,,,,,,,,,"",,
24073253,24073257,105,d875908c1958ea82f9ad01fef6e0475f4b9506db,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
24099329,24099330,106,d352365b2c7ca7b7839b626769c05cfab82099a0,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
24099329,24099331,106,d352365b2c7ca7b7839b626769c05cfab82099a0,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.03,
24099329,24099332,106,d352365b2c7ca7b7839b626769c05cfab82099a0,java,ok,,java-ant,"",false,,,,,,,,,"",,
24099329,24099333,106,d352365b2c7ca7b7839b626769c05cfab82099a0,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.18,
24099492,24099493,107,94b01165c4ef950124e596a509721f96eb23a71a,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.03,
24099492,24099494,107,94b01165c4ef950124e596a509721f96eb23a71a,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
24099492,24099495,107,94b01165c4ef950124e596a509721f96eb23a71a,java,ok,,java-ant,"",false,,,,,,,,,"",,
24099492,24099496,107,94b01165c4ef950124e596a509721f96eb23a71a,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
24101532,24101533,108,eda201fc699b8e45a09b0e0d67084dbd0e118801,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.73,
24101532,24101534,108,eda201fc699b8e45a09b0e0d67084dbd0e118801,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.17,
24101532,24101535,108,eda201fc699b8e45a09b0e0d67084dbd0e118801,java,ok,,java-ant,"",false,,,,,,,,,"",,
24101532,24101536,108,eda201fc699b8e45a09b0e0d67084dbd0e118801,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
24149004,24149005,109,cdde3e06a341eede6b191c5abd36b61168a330a0,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.03,
24149004,24149006,109,cdde3e06a341eede6b191c5abd36b61168a330a0,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
24149004,24149007,109,cdde3e06a341eede6b191c5abd36b61168a330a0,java,ok,,java-ant,"",false,,,,,,,,,"",,
24149004,24149008,109,cdde3e06a341eede6b191c5abd36b61168a330a0,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
13527037,13527038,10,69ad07df467fb67379cd24f160cc3800b8c1339f,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
13527037,13527039,10,69ad07df467fb67379cd24f160cc3800b8c1339f,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
24149817,24149818,110,6afcf0301da252df827ee7ac6900d7f71a2eeec2,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.4,
24149817,24149819,110,6afcf0301da252df827ee7ac6900d7f71a2eeec2,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.31,
24149817,24149820,110,6afcf0301da252df827ee7ac6900d7f71a2eeec2,java,broken,,java-ant,"",false,,,,,,,,,"",,
24149817,24149821,110,6afcf0301da252df827ee7ac6900d7f71a2eeec2,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.91,
24149817,24149822,110,6afcf0301da252df827ee7ac6900d7f71a2eeec2,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.63,
24151433,24151434,111,1c0ab758c65f0a4e823a0be0cefb865d83cc2f15,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.24,
24151433,24151435,111,1c0ab758c65f0a4e823a0be0cefb865d83cc2f15,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.23,
24151433,24151436,111,1c0ab758c65f0a4e823a0be0cefb865d83cc2f15,java,ok,,java-ant,"",false,,,,,,,,,"",,
24151433,24151439,111,1c0ab758c65f0a4e823a0be0cefb865d83cc2f15,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.4,
24151433,24151440,111,1c0ab758c65f0a4e823a0be0cefb865d83cc2f15,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.34,
24361153,24361154,112,63278661a7832b2923867f2658728760756f14ed,python,ok,,python,unittest,true,false,13,0,13,0,,,,"",0.04,
24361153,24361155,112,63278661a7832b2923867f2658728760756f14ed,python,ok,,python,unittest,true,false,13,0,13,0,,,,"",0.03,
24361153,24361156,112,63278661a7832b2923867f2658728760756f14ed,java,ok,,java-ant,"",false,,,,,,,,,"",,
24361153,24361157,112,63278661a7832b2923867f2658728760756f14ed,python,ok,,python,unittest,true,false,13,0,13,0,,,,"",0.04,
24468279,24468280,113,c128f234881dc94f46c99efd45eeb8588020e287,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.49,
24468279,24468281,113,c128f234881dc94f46c99efd45eeb8588020e287,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.36,
24468279,24468282,113,c128f234881dc94f46c99efd45eeb8588020e287,java,ok,,java-ant,"",false,,,,,,,,,"",,
24468279,24468283,113,c128f234881dc94f46c99efd45eeb8588020e287,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",0.71,
24468279,24468284,113,c128f234881dc94f46c99efd45eeb8588020e287,python,ok,,python,unittest,true,false,12,0,12,0,,,,"",2.62,
