build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
467020993,2dbc08e3221e07a9e618eaa025d98ed197d28e31,,master,failed,40,2018-12-12 14:23:32 UTC,467020994,467020995,push
466578538,ced3a98470050d8fd73d59cb9ab3ca7a8c1a68d3,158,master,failed,47,2018-12-11 15:53:55 UTC,466578539,466578541,pull_request
369496445,7fcbc6c7ca846b74be2625cf7996cac047534483,122,master,failed,71,2018-04-21 13:37:18 UTC,369496446,369496447,pull_request
348434144,69984c4420cbc1dc402c21b89df1ea19720dcc06,,master,passed,203,2018-03-02 21:40:50 UTC,348434145,348434147,push
348233633,d0df042340aefaeeeb9a59b9be8ceced15f48ee5,144,master,passed,162,2018-03-02 13:37:37 UTC,348233634,348233635,pull_request
346279286,1a8f2db9bb0581c22aef0a0875159ce18f2c0508,,master,passed,81,2018-02-26 13:24:31 UTC,346279287,346279288,push
345827280,f000377ade63e4487c766361b82431fa26e31799,143,master,passed,58,2018-02-25 03:59:10 UTC,345827281,345827282,pull_request
345441420,f3a85d94083564d4b76a5bcfe17dd16f3fcca001,,master,passed,44,2018-02-23 21:22:59 UTC,345441421,345441422,push
345300670,7fa5486cab318e464f64247d7510f662d1a73374,142,master,passed,58,2018-02-23 15:36:58 UTC,345300671,345300672,pull_request
343763182,5828cbca3df7dc0409fd7ce052fe774c452a8b64,139,master,failed,72,2018-02-20 10:33:28 UTC,343763183,343763184,pull_request
334271821,fc2d00286b474e8c153b1056eb1d07b44296988e,,master,passed,51,2018-01-28 03:40:16 UTC,334271822,334271823,push
334270865,196a8bd09d27273a2aeb1abe615b47b8fadad5f8,,v0.3.0,errored,72,2018-01-28 03:28:45 UTC,334270866,334270867,push
334270207,196a8bd09d27273a2aeb1abe615b47b8fadad5f8,,master,passed,63,2018-01-28 03:21:58 UTC,334270208,334270209,push
334208716,299f1ea47fe30f0a663aebd14e4b63bdcb382ebb,134,master,passed,61,2018-01-27 21:50:55 UTC,334208717,334208718,pull_request
334160792,1a0d04604c1c341abd8ac2df1e38c434ec2e8a6b,134,master,passed,42,2018-01-27 18:16:29 UTC,334160793,334160794,pull_request
333000791,97f33cd627206a6881bd51f92d5e3fa3e5ff478a,,master,passed,58,2018-01-24 21:40:50 UTC,333000792,333000793,push
332939879,d8d848f3a67285af056879fc1ffa75b86baf1b54,133,master,passed,124,2018-01-24 21:36:59 UTC,332939882,332939886,pull_request
331835873,0538750f2000f6d0342e961d51e1290c566a2ad1,,master,passed,79,2018-01-22 14:32:52 UTC,331835874,331835875,push
331835103,7b91479d4e75f9b2539f6c76c1090204294cc3b3,,master,passed,59,2018-01-22 14:31:50 UTC,331835104,331835105,push
331834459,2aeb3470722dc4c99182761986918fbe520d8b21,,master,passed,77,2018-01-22 14:30:27 UTC,331834461,331834462,push
331778851,dfa29ac124d2bb862cc44ea2dd7b67bc0ded6aef,129,master,passed,125,2018-01-22 12:11:37 UTC,331778854,331778857,pull_request
331668087,369d61e6d86fc40c5956831035ac6254c1b4bd55,128,master,passed,81,2018-01-22 05:41:09 UTC,331668088,331668089,pull_request
326549265,bacb7362101fe4ec6afec2b63f3c89abeebf2816,122,master,passed,126,2018-01-08 20:58:19 UTC,326549266,326549267,pull_request
326294893,8406ecb2093d81a3fe0f20c821256571e0e8b785,120,master,passed,52,2018-01-08 10:09:41 UTC,326294894,326294895,pull_request
326294409,0b4ef9430f6f6cce7e2380279e22b95f8248609e,120,master,passed,57,2018-01-08 10:08:12 UTC,326294410,326294411,pull_request
325751666,4aaa8c16bb0f9ae770b01e04d16716af794aca8d,120,master,passed,93,2018-01-06 10:55:58 UTC,325751667,325751668,pull_request
325749717,4348ea8a685afdb9d15654ce3cd4d30e395cd4a7,120,master,passed,52,2018-01-06 10:39:16 UTC,325749718,325749719,pull_request
325046552,e5ebaef46974829e107a105320d2a7adb628507e,,master,passed,162,2018-01-04 14:28:40 UTC,325046553,325046555,push
324472584,dcd7c5093d25511d342fe255db1b58b38e86fab3,120,master,passed,42,2018-01-03 07:01:31 UTC,324472585,324472586,pull_request
323729968,a5e507ed17b7a148429fcf5d4868fab2b03937c3,120,master,errored,1,2018-01-01 07:38:31 UTC,323729969,323729970,pull_request
323549201,7bfe06cf6aebc21f7f115ba3b9a01b5763fb6e5f,120,master,passed,47,2017-12-31 12:38:01 UTC,323549202,323549203,pull_request
321756484,4730be7f630335d77dc177d4472f88b0cbf3585a,116,master,passed,76,2017-12-26 11:32:01 UTC,321756485,321756486,pull_request
321042547,92b5212da7bb011c25af6bf2e2ee8af724f26270,,master,passed,92,2017-12-24 14:28:23 UTC,321042548,321042549,push
321042289,0f832ca671123cfa933132830dde4facce50134c,,master,failed,79,2017-12-24 14:27:00 UTC,321042290,321042291,push
319553751,667f5a542e97e8a6b10aaaffa104292b7b3b3bae,,master,failed,61,2017-12-21 05:58:26 UTC,319553752,319553753,push
