tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
37476133,37476134,10,3f23a0921628d7f77e9149e3abbb4e5e7371c393,python,unknown,,python,"",false,,,,,,,,,"",,
37476133,37476135,10,3f23a0921628d7f77e9149e3abbb4e5e7371c393,python,unknown,,python,"",false,,,,,,,,,"",,
37476133,37476136,10,3f23a0921628d7f77e9149e3abbb4e5e7371c393,python,unknown,,python,"",false,,,,,,,,,"",,
37476133,37476137,10,3f23a0921628d7f77e9149e3abbb4e5e7371c393,python,unknown,,python,"",false,,,,,,,,,"",,
37476133,37476138,10,3f23a0921628d7f77e9149e3abbb4e5e7371c393,python,unknown,,python,"",false,,,,,,,,,"",,
37478219,37478220,11,9ebc81f47c1cdc589894b68b2ee06bf580a4d705,python,unknown,,python,"",false,,,,,,,,,"",,
37478219,37478221,11,9ebc81f47c1cdc589894b68b2ee06bf580a4d705,python,unknown,,python,"",false,,,,,,,,,"",,
37478219,37478222,11,9ebc81f47c1cdc589894b68b2ee06bf580a4d705,python,unknown,,python,"",false,,,,,,,,,"",,
37478219,37478223,11,9ebc81f47c1cdc589894b68b2ee06bf580a4d705,python,unknown,,python,"",false,,,,,,,,,"",,
37478219,37478224,11,9ebc81f47c1cdc589894b68b2ee06bf580a4d705,python,unknown,,python,"",false,,,,,,,,,"",,
37480888,37480889,12,a412f9d57ff9c2096569500c1fb8a1a89dcff6a5,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",1.32,
37480888,37480890,12,a412f9d57ff9c2096569500c1fb8a1a89dcff6a5,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.03,
37480888,37480891,12,a412f9d57ff9c2096569500c1fb8a1a89dcff6a5,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.08,
37480888,37480892,12,a412f9d57ff9c2096569500c1fb8a1a89dcff6a5,unknown,ok,,plain,"",false,,,,,,,,,"",,
37480888,37480893,12,a412f9d57ff9c2096569500c1fb8a1a89dcff6a5,unknown,broken,,plain,"",false,,,,,,,,,"",,
37482324,37482325,13,4da721d1eb62a0acde554331b1d835304e7d0f1f,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.49,
37482324,37482326,13,4da721d1eb62a0acde554331b1d835304e7d0f1f,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.06,
37482324,37482327,13,4da721d1eb62a0acde554331b1d835304e7d0f1f,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.08,
37482324,37482328,13,4da721d1eb62a0acde554331b1d835304e7d0f1f,unknown,ok,,plain,"",false,,,,,,,,,"",,
37482324,37482329,13,4da721d1eb62a0acde554331b1d835304e7d0f1f,unknown,broken,,plain,"",false,,,,,,,,,"",,
37483272,37483273,14,561da9218bd0a1f118706b185c00440a9c617170,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.39,
37483272,37483274,14,561da9218bd0a1f118706b185c00440a9c617170,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.16,
37483272,37483275,14,561da9218bd0a1f118706b185c00440a9c617170,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.13,
37483272,37483276,14,561da9218bd0a1f118706b185c00440a9c617170,unknown,ok,,plain,"",false,,,,,,,,,"",,
37483272,37483277,14,561da9218bd0a1f118706b185c00440a9c617170,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.23,
37483483,37483484,15,793968c4187c24a5a53b291c1ecfe3c148438de1,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.53,
37483483,37483485,15,793968c4187c24a5a53b291c1ecfe3c148438de1,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.59,
37483483,37483486,15,793968c4187c24a5a53b291c1ecfe3c148438de1,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.59,
37483483,37483487,15,793968c4187c24a5a53b291c1ecfe3c148438de1,unknown,ok,,plain,"",false,,,,,,,,,"",,
37483483,37483488,15,793968c4187c24a5a53b291c1ecfe3c148438de1,unknown,broken,,plain,"",false,,,,,,,,,"",,
37484968,37484969,16,591f5d7659bbe890f1543cc0b636248f4aaee89c,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.58,
37484968,37484970,16,591f5d7659bbe890f1543cc0b636248f4aaee89c,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.62,
37484968,37484971,16,591f5d7659bbe890f1543cc0b636248f4aaee89c,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.57,
37484968,37484972,16,591f5d7659bbe890f1543cc0b636248f4aaee89c,unknown,ok,,plain,"",false,,,,,,,,,"",,
37486440,37486441,17,a64324820ecca4c246f5216a209f927b2deee759,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.48,
37486440,37486442,17,a64324820ecca4c246f5216a209f927b2deee759,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.51,
37486440,37486443,17,a64324820ecca4c246f5216a209f927b2deee759,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.52,
37486440,37486444,17,a64324820ecca4c246f5216a209f927b2deee759,unknown,ok,,plain,"",false,,,,,,,,,"",,
37489986,37489987,18,71c39b91d38ebbdf1f5b116df9c859f3482f66fa,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.46,
37489986,37489988,18,71c39b91d38ebbdf1f5b116df9c859f3482f66fa,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.06,
37489986,37489989,18,71c39b91d38ebbdf1f5b116df9c859f3482f66fa,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.13,
37489986,37489990,18,71c39b91d38ebbdf1f5b116df9c859f3482f66fa,unknown,ok,,plain,"",false,,,,,,,,,"",,
37493721,37493722,19,a6f3d61852359a15b287e1b21b3863dee2b813aa,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.46,
37493721,37493723,19,a6f3d61852359a15b287e1b21b3863dee2b813aa,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.06,
37493721,37493724,19,a6f3d61852359a15b287e1b21b3863dee2b813aa,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.07,
37493721,37493725,19,a6f3d61852359a15b287e1b21b3863dee2b813aa,unknown,ok,,plain,"",false,,,,,,,,,"",,
33610843,33610845,1,2e8e415108369bca6f4e3e66637c8a8da9d9d7c7,python,ok,,python,pytest,true,false,3,0,3,0,,,,"",0.51,
33610843,33610847,1,2e8e415108369bca6f4e3e66637c8a8da9d9d7c7,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",0.05,
