build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
615838064,3cdcaddad4c2e18abf27f9e1ec4f97cc6dac1417,426,master,passed,203,2019-11-23 01:10:09 UTC,615838065,615838066,pull_request
615837989,6428d3090d73b801ceda5a64e1d6483e01bdac35,,enable-actions,passed,186,2019-11-23 01:09:51 UTC,615837990,615837991,push
614372776,89023c53132504f756dfc17ddb9e175cb8c75bd6,421,master,failed,186,2019-11-20 05:49:48 UTC,614372777,614372778,pull_request
614368779,ab366189c7094f02562ba9443bf46f043fc4c7ff,421,master,passed,182,2019-11-20 05:32:44 UTC,614368780,614368781,pull_request
612731099,6434850e39ca9e2902d574ce8fab8fa0f90fbf01,423,master,passed,193,2019-11-16 08:12:21 UTC,612731100,612731101,pull_request
611687995,49789ab5602e4650746ee52ddd59e90208a8ad89,421,master,failed,194,2019-11-14 03:33:42 UTC,611687996,611687997,pull_request
607388058,2ceb686cb44cb3313eff4c76687e9ae69bee4d39,,v0.9.9,passed,195,2019-11-04 23:03:44 UTC,607388059,607388060,push
607387862,2ceb686cb44cb3313eff4c76687e9ae69bee4d39,,master,passed,187,2019-11-04 23:03:24 UTC,607387863,607387864,push
607386401,e39c2f190f69ba0c7116484aed1fa2c82a940ff2,417,master,passed,191,2019-11-04 22:59:26 UTC,607386402,607386403,pull_request
607386182,7a623f167f01d8590afb9286c315839ab43b299f,,rel-0-9-9,passed,184,2019-11-04 22:58:23 UTC,607386183,607386184,push
602826651,7a2764133092674475fe63cf1ae08e62273b4342,,master,passed,201,2019-10-25 13:55:21 UTC,602826655,602826656,push
602562054,610f957f8536f178b98076516bc1344a731d4d2e,200,master,passed,194,2019-10-24 22:47:55 UTC,602562055,602562056,pull_request
599761032,68d8f30379771cf95757b4733fe4e2c4ed1456b3,415,master,passed,186,2019-10-18 17:41:07 UTC,599761033,599761034,pull_request
599759728,9e948aa4c88e1e679659673d1a259994c094ef17,,validate-fqdn-length,passed,179,2019-10-18 17:37:37 UTC,599759729,599759730,push
598221763,895eb1b32b916ed5ef26c5f95285f64187849467,,master,passed,191,2019-10-15 15:52:53 UTC,598221764,598221765,push
597940195,44e2c13996441b4afcadc760859efc883daea9fd,384,master,passed,194,2019-10-15 02:32:16 UTC,597940196,597940197,pull_request
597940176,6f9842301ed4e21b80bd36dfb1ac96dbb98c7d4d,,python3-start,passed,206,2019-10-15 02:32:15 UTC,597940177,597940178,push
597936357,ed3fd21950f5ca51b26482b17f0c00b6c8a36b34,384,master,passed,218,2019-10-15 02:15:41 UTC,597936358,597936359,pull_request
597936350,4a41c98c1681ebad6c8b9630301284fd4df25d01,,python3-start,passed,191,2019-10-15 02:15:36 UTC,597936351,597936352,push
597935487,ac95853a5c10e9757a6886568f2de374b164924a,384,master,passed,198,2019-10-15 02:12:12 UTC,597935488,597935489,pull_request
597935482,2f45cbc086d11f74c91e4b50da9224c6079849a5,,python3-start,passed,211,2019-10-15 02:11:47 UTC,597935483,597935484,push
597934902,4e09f8a838e767aaefa3886ec8208dce9345ab37,,python3-start,passed,209,2019-10-15 02:08:53 UTC,597934903,597934906,push
597934757,9215032ced027c4982a3497c2e1c857f658d6d96,384,master,passed,185,2019-10-15 02:08:11 UTC,597934758,597934759,pull_request
597701228,2ec1ad5e4952395bbb21a35e7099803d4e7331d4,384,master,passed,208,2019-10-14 15:41:11 UTC,597701229,597701230,pull_request
597701219,c1366f4b16f94e92469ebf37f56ad5fd5d6d1c48,,python3-start,passed,194,2019-10-14 15:41:10 UTC,597701220,597701221,push
597688584,bb275aee00915c238bf4823b972120a385df6248,384,master,failed,185,2019-10-14 15:16:14 UTC,597688585,597688586,pull_request
597688581,bb275aee00915c238bf4823b972120a385df6248,384,master,canceled,0,,597688582,597688583,pull_request
597688568,e1daccc0b762181f96fbc86cd0b300d2f36655ac,,python3-start,failed,193,2019-10-14 15:14:54 UTC,597688569,597688570,push
