tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
19872230,19872231,100,75b40a66d85367a875c616ee3d35e0b2136dbbe6,python,unknown,,python,"",false,,,,,,,,,"",,
19872230,19872232,100,75b40a66d85367a875c616ee3d35e0b2136dbbe6,python,ok,,python,"",false,,,,,,,,,"",,
19872230,19872233,100,75b40a66d85367a875c616ee3d35e0b2136dbbe6,python,ok,,python,"",false,,,,,,,,,"",,
19872230,19872234,100,75b40a66d85367a875c616ee3d35e0b2136dbbe6,unknown,ok,,plain,"",false,,,,,,,,,"",,
20170405,20170406,101,bb7e97aca6e533babcea84a9f1c1e289c8b4b6fc,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.03,
20170405,20170407,101,bb7e97aca6e533babcea84a9f1c1e289c8b4b6fc,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
20170405,20170408,101,bb7e97aca6e533babcea84a9f1c1e289c8b4b6fc,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20170405,20170409,101,bb7e97aca6e533babcea84a9f1c1e289c8b4b6fc,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20170405,20170410,101,bb7e97aca6e533babcea84a9f1c1e289c8b4b6fc,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
20464675,20464676,102,90ffc1c943210ce4770eeaf4085ac49e6ecc5bb3,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20464675,20464677,102,90ffc1c943210ce4770eeaf4085ac49e6ecc5bb3,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20464675,20464678,102,90ffc1c943210ce4770eeaf4085ac49e6ecc5bb3,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20464675,20464679,102,90ffc1c943210ce4770eeaf4085ac49e6ecc5bb3,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20464675,20464680,102,90ffc1c943210ce4770eeaf4085ac49e6ecc5bb3,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20530289,20530290,103,828a4d7df573f69be29ac6e7e4711d13f2f7ef6c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20530289,20530291,103,828a4d7df573f69be29ac6e7e4711d13f2f7ef6c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20530289,20530292,103,828a4d7df573f69be29ac6e7e4711d13f2f7ef6c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20530289,20530293,103,828a4d7df573f69be29ac6e7e4711d13f2f7ef6c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
20530289,20530294,103,828a4d7df573f69be29ac6e7e4711d13f2f7ef6c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
23212470,23212471,104,36a75b08492e477ec9fbf74b0dc8ac554aa4474c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
23212470,23212472,104,36a75b08492e477ec9fbf74b0dc8ac554aa4474c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.06,
23212470,23212473,104,36a75b08492e477ec9fbf74b0dc8ac554aa4474c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.02,
24576023,24576024,105,216181e33246ec1930c7bdc5fd7a7f76670e314c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.04,
24576023,24576025,105,216181e33246ec1930c7bdc5fd7a7f76670e314c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.03,
24576023,24576026,105,216181e33246ec1930c7bdc5fd7a7f76670e314c,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
24833251,24833252,106,49d77ca5aec5fc26deaf6066268544c3561b7d07,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
24833251,24833253,106,49d77ca5aec5fc26deaf6066268544c3561b7d07,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
24833251,24833254,106,49d77ca5aec5fc26deaf6066268544c3561b7d07,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.06,
25252832,25252833,107,6f77a6e183f6928546fb17f9c28b0673a5072ad5,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
25252832,25252834,107,6f77a6e183f6928546fb17f9c28b0673a5072ad5,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
25252832,25252835,107,6f77a6e183f6928546fb17f9c28b0673a5072ad5,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
26120607,26120608,108,fb435d959105b4ba576ea60c31c48ae3b8df869f,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
26120607,26120609,108,fb435d959105b4ba576ea60c31c48ae3b8df869f,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
26120607,26120610,108,fb435d959105b4ba576ea60c31c48ae3b8df869f,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
26632137,26632138,109,dc5c09ffd4aa6783c160fc833c221335207fefcc,python,unknown,,python,"",false,,,,,,,,,"",,
26632137,26632139,109,dc5c09ffd4aa6783c160fc833c221335207fefcc,python,ok,,python,"",false,,,,,,,,,"",,
26632137,26632140,109,dc5c09ffd4aa6783c160fc833c221335207fefcc,python,ok,,python,"",false,,,,,,,,,"",,
26632137,26632141,109,dc5c09ffd4aa6783c160fc833c221335207fefcc,unknown,ok,,plain,"",false,,,,,,,,,"",,
5994819,5994820,10,adf52d72016d15da1fa5144f9d40150434f70e8d,python,ok,,python,"",false,,,,,,,,,"",,
5994819,5994821,10,adf52d72016d15da1fa5144f9d40150434f70e8d,python,ok,,python,"",false,,,,,,,,,"",,
5994819,5994822,10,adf52d72016d15da1fa5144f9d40150434f70e8d,python,ok,,python,"",false,,,,,,,,,"",,
5994819,5994823,10,adf52d72016d15da1fa5144f9d40150434f70e8d,unknown,ok,,plain,"",false,,,,,,,,,"",,
26934786,26934787,110,6a6a72232887dcde43274c4d748de30610ed8e0a,python,unknown,,python,"",false,,,,,,,,,"",,
26934786,26934788,110,6a6a72232887dcde43274c4d748de30610ed8e0a,python,ok,,python,"",false,,,,,,,,,"",,
26934786,26934789,110,6a6a72232887dcde43274c4d748de30610ed8e0a,python,ok,,python,"",false,,,,,,,,,"",,
26934786,26934790,110,6a6a72232887dcde43274c4d748de30610ed8e0a,unknown,ok,,plain,"",false,,,,,,,,,"",,
26936552,26936553,111,975e49463a13141773fd5f3a1ad03f2f73e19d7b,python,ok,,python,"",false,,,,,,,,,"",,
26936552,26936554,111,975e49463a13141773fd5f3a1ad03f2f73e19d7b,python,ok,,python,"",false,,,,,,,,,"",,
26936552,26936555,111,975e49463a13141773fd5f3a1ad03f2f73e19d7b,unknown,ok,,plain,"",false,,,,,,,,,"",,
27303442,27303443,112,10517d6d08c87d36796c20698f540384731fff31,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
27303442,27303444,112,10517d6d08c87d36796c20698f540384731fff31,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
27303442,27303445,112,10517d6d08c87d36796c20698f540384731fff31,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
27364926,27364927,113,d1434aef71a70d2174c24bac549e0be1134a4615,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
27364926,27364928,113,d1434aef71a70d2174c24bac549e0be1134a4615,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
27364926,27364929,113,d1434aef71a70d2174c24bac549e0be1134a4615,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
27610852,27610853,114,b5ab5d55a931b7d0e9cc667bd44bf3ec3cc0e1fb,python,unknown,,python,"",false,,,,,,,,,"",,
27610852,27610854,114,b5ab5d55a931b7d0e9cc667bd44bf3ec3cc0e1fb,python,ok,,python,"",false,,,,,,,,,"",,
27610852,27610855,114,b5ab5d55a931b7d0e9cc667bd44bf3ec3cc0e1fb,python,ok,,python,"",false,,,,,,,,,"",,
27610852,27610856,114,b5ab5d55a931b7d0e9cc667bd44bf3ec3cc0e1fb,unknown,ok,,plain,"",false,,,,,,,,,"",,
28275009,28275010,115,ed21cd2a2ef41b1cd4d7bc19801adc738bc771a1,python,unknown,,python,"",false,,,,,,,,,"",,
28275009,28275011,115,ed21cd2a2ef41b1cd4d7bc19801adc738bc771a1,python,ok,,python,"",false,,,,,,,,,"",,
28275009,28275012,115,ed21cd2a2ef41b1cd4d7bc19801adc738bc771a1,python,ok,,python,"",false,,,,,,,,,"",,
28275009,28275013,115,ed21cd2a2ef41b1cd4d7bc19801adc738bc771a1,unknown,ok,,plain,"",false,,,,,,,,,"",,
28275091,28275092,116,fc62d4d0230c195428ae43987db2b4196b384cd2,python,ok,,python,"",false,,,,,,,,,"",,
28275091,28275093,116,fc62d4d0230c195428ae43987db2b4196b384cd2,python,ok,,python,"",false,,,,,,,,,"",,
28275091,28275094,116,fc62d4d0230c195428ae43987db2b4196b384cd2,unknown,ok,,plain,"",false,,,,,,,,,"",,
29955035,29955036,117,89ecd52c7d16d91b54f21ad795022c821e72f4f6,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
29955035,29955037,117,89ecd52c7d16d91b54f21ad795022c821e72f4f6,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
29955035,29955038,117,89ecd52c7d16d91b54f21ad795022c821e72f4f6,python,ok,,python,unittest,true,false,11,0,11,0,,,,"",0.01,
