tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
56935762,56935763,100,fbef04d400e7f082213296648e4ca5e83dc6242b,python,unknown,1,python,unittest,true,false,53,0,53,0,,,,"",1271.52,
56937015,56937016,101,f5341138ef881be355fea2c366b86763d8ddf85c,python,broken,0,python,unittest,true,false,53,0,53,0,,,,InvocationError: '/home/travis/build/ierror/django-js-reverse/.tox/py26-django16/bin/coverage run -p tests/unit_tests.py'#InvocationError: '/home/travis/build/ierror/django-js-reverse/.tox/py26-django15/bin/coverage run -p tests/unit_tests.py',1012.29,
57020649,57020650,102,0a6453f321ebe860707ad6479d9feb8af307acf0,python,ok,0,python,unittest,true,false,53,0,53,0,,,,"",1668.2799999999997,
57023043,57023044,103,96d540c9e2323c1698ee8d71998718ca1ac31ea9,python,unknown,0,python,unittest,true,false,56,0,56,0,,,,"",1716.0900000000001,
57023148,57023149,104,31623b50f12f5ab9e640cc4627db6136af37ea24,python,unknown,0,python,unittest,true,false,56,0,56,0,,,,"",131.29,
57023317,57023318,105,8da0e82a6d5373bed7f029bed832d1d9fb72fa7b,python,unknown,0,python,unittest,true,false,56,0,56,0,,,,"",1699.65,
57026599,57026601,106,8da0e82a6d5373bed7f029bed832d1d9fb72fa7b,python,unknown,0,python,unittest,true,false,56,0,56,0,,,,"",1750.8999999999999,
57026621,57026622,107,8da0e82a6d5373bed7f029bed832d1d9fb72fa7b,python,unknown,1,python,unittest,true,false,56,0,56,0,,,,"",1328.8799999999999,
57032651,57032652,108,8a24d1569f87a558d51684a71d2589daba9ef332,python,ok,1,python,unittest,true,false,56,0,56,0,,,,"",405.37999999999994,
57352508,57352509,109,680465db3d42b2da0f4ebc7217676953e80e96e3,python,unknown,0,python,unittest,true,false,56,0,56,0,,,,"",1592.07,
32468010,32468011,10,168c9f6879ae8168a63314dc7ac9969285e725e9,python,ok,,python,unittest,true,false,6,0,6,0,,,,"",9.91,
57352736,57352737,110,c52690d81ab7a6a49d4bba02f9fe92769a81cec8,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",343.71999999999997,
61876538,61876539,111,cf389ae088b735748ce65874b3bdea3d16ecbbfc,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",294.75000000000006,
61876564,61876565,112,cf389ae088b735748ce65874b3bdea3d16ecbbfc,python,ok,5,python,unittest,true,false,56,0,56,0,,,,"",312.75,
61876648,61876649,113,cf389ae088b735748ce65874b3bdea3d16ecbbfc,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",282.83,
61876725,61876726,114,7ac364d2095d90d3693415ee03c2bf40c4ae1ca0,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",346.30999999999995,
61877104,61877107,115,ee087259124f185eaead72552b0c92aec1a0bfb2,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",289.67,
61877150,61877152,116,ee087259124f185eaead72552b0c92aec1a0bfb2,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",292.33,
62529971,62529972,117,5c27281522579159e3ada27d45987593871927b1,python,ok,0,python,unittest,true,false,59,0,59,0,,,,"",440.26000000000005,
62761812,62761813,118,2b71caa93cb17d4ff7e82b48982f14c60f90f00f,python,broken,0,python,unittest,true,true,-790,846,56,0,,,,"",391.78999999999996,
70070303,70070304,119,681a43a9b4c91b3edafe26a4d0ad40831bfcb72f,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",150.31,
32567652,32567653,11,168c9f6879ae8168a63314dc7ac9969285e725e9,python,ok,,python,unittest,true,false,6,0,6,0,,,,"",11.1,
73917926,73917927,120,47f59fc9775d396a82a2af2774a6dd91f8e04320,python,ok,0,python,unittest,true,false,56,0,56,0,,,,"",362.99999999999994,
73924739,73924741,121,49adba38960978ed2497763810c24096605ba2d8,python,ok,0,python,unittest,true,false,59,0,59,0,,,,"",440.31000000000006,
73930944,73930945,122,cdd25d2ef3da55a7526a33f29d3f1b20498367b8,python,unknown,0,python,unittest,true,false,59,0,59,0,,,,"",1892.12,
