tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
10507900,10507901,101,51ec3e27da27530b00bbbb7fdf6230538496d25e,python,ok,,python,pytest,true,false,29,0,29,0,,,,"",1.83,
10508360,10508361,102,ef67ef90cc2bda7999c7b71a0acf0a09ff2237fa,python,ok,,python,pytest,true,false,29,0,29,0,,,,"",1.58,
10508642,10508643,103,c8c5b95698b5bcffea37787dc578769f4b6b4cd3,python,ok,,python,pytest,true,false,29,0,29,0,,,,"",3.0,
10511533,10511534,104,2e3d251f86d41ea23c12c3c3020b8ec5026d44e0,python,ok,,python,pytest,true,false,29,0,29,0,,,,"",2.43,
10513043,10513044,105,65a5a3d7ac682c9876f71482d2411d62cae59b85,python,ok,,python,pytest,true,false,29,0,29,0,,,,"",2.01,
10535465,10535466,106,100e5087a8e4a2c04aa965edd8a04fdd743c7a93,python,ok,,python,pytest,true,false,31,0,31,0,,,,"",1.84,
10537224,10537225,107,cb71c0f26d781699b45f2fbd84248b6ade198e37,python,ok,,python,pytest,true,false,35,0,35,0,,,,"",2.07,
10537249,10537250,108,b27e022f43438c76e0590a9320e28639bb757f15,python,ok,,python,pytest,true,false,35,0,35,0,,,,"",3.56,
10539674,10539675,109,ae8ea4290d5fde14c4c14f134bdd0a7db3d84f33,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",2.18,
9379988,9379989,10,1d33e96ed50af39932de9e713b1515372a33383e,python,ok,,python,unittest,true,false,6,0,6,0,,,,"",0.11,
10540743,10540744,110,1e5657dcb64de5eaa2d3fd22d630a99d32c825e6,python,ok,,python,pytest,true,false,31,0,31,0,,,,"",2.59,
10540765,10540766,111,e756e77708bb8ca16eaccd04aa721999d7382892,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",2.17,
10544063,10544064,112,8d0ea2808dc8e73508a7380c764b348fefb911e8,python,broken,,python,pytest,true,false,0,0,0,0,,,,"",2.36,
10544244,10544245,113,309f825acdf7af948b2e110ee2d7e401d4cd0971,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",2.16,
10544278,10544279,114,d436b3e09ece31ee450406aa93af1d28aff2d3e1,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",1.75,
10636035,10636036,115,28133bb2ab24af3df49ff87709a5d20bb4c1f629,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",1.69,
10636600,10636601,116,3be7a069793c964a2b07646133c44cba3bd3defa,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",2.03,
10636602,10636603,117,a2a1144cfa1feda2fdd4245946f8a1329f075545,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",5.47,
10636980,10636981,118,6b7af45d0006f5ea5e61e386da493e03e92471b8,python,ok,,python,pytest,true,false,36,0,36,0,,,,"",4.8,
12100435,12100436,119,6346ac7b7a3359af577cd3ff824c8d23c69c06a0,python,broken,,python,pytest,true,true,34,2,36,0,,,,TestSandmanBasicVerbs.test_delete_resource_violating_constraint#TestSandmanAdmin.test_admin_collection_view,4.0,
