tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
516726134,516726135,100,ccf4c641e09beaa82629438a0ce705ae9023c07e,python,ok,1,python,pytest,true,false,19,0,19,0,,,,"",286.07,
516726136,516726137,101,18be08ebb6fc6b4cea886d89450fd853f4ff8b03,python,ok,0,python,pytest,true,false,19,0,19,0,,,,"",281.47,
516842747,516842748,102,56c15e2634fd4f39a811ffb318c0831af6fb8b41,python,ok,1,python,pytest,true,false,19,0,19,0,,,,"",26.93,
517025082,517025083,103,b03dcae96ad8f08d827e967ccb72b5758e8a2636,python,ok,1,python,pytest,true,false,19,0,19,0,,,,"",280.86,
518948234,518948235,104,1669d66253061e3cc9398ff9b111597b93c5a26f,python,unknown,1,python,"",false,,,,,,,,,"",,
518948238,518948239,105,4942882b078d3035d7cba6d5a04f59a19d3dc196,python,ok,0,python,pytest,true,false,19,0,19,0,,,,"",413.27,
527538857,527538858,106,661c303ad3c776dea08ad8d4adda75c5fa392a9f,python,ok,1,python,pytest,true,false,19,0,19,0,,,,"",153.43,
527538863,527538864,107,f6ed546b2dca61e6eda6f17b9fa0c9b6c93fc866,python,ok,0,python,pytest,true,false,19,0,19,0,,,,"",28.8,
529288677,529288678,108,b03dcae96ad8f08d827e967ccb72b5758e8a2636,python,ok,1,python,pytest,true,false,19,0,19,0,,,,"",155.27,
533360547,533360552,109,181e576b18a0b6f7231e6822c7dcc8dbff2f47fc,python,ok,1,python,pytest,true,false,19,0,19,0,,,,"",281.85,
328835658,328835659,10,1eb11d5e0ccb75ef57732533ae4322f40e72a14c,python,broken,1,python,pytest,true,true,21,1,22,0,,,,TestScanners.test_hackertarget,188.05,
533360596,533360597,110,b45d2e46cff78482c963211de1de0877537aaed8,python,ok,1,python,pytest,true,false,19,0,19,0,,,,"",155.68,
540557753,540557754,111,730ec7be8405411e84cb3273544f946910f4585d,python,broken,2,python,pytest,true,true,18,1,19,0,,,,TestScanners.test_virustotal,152.03,
540557766,540557767,112,d046e16853c9ddaf7d1fe133633977ae15464080,python,broken,0,python,pytest,true,true,18,1,19,0,,,,TestScanners.test_virustotal,280.69,
542607940,542607941,113,803dd90559f0016283ac5cb9b012fef5d37eaece,python,broken,1,python,pytest,true,true,18,1,19,0,,,,TestScanners.test_virustotal,25.11,
