tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
408835961,408835962,100,f3788c16be51c7e53f894a4965b2a5f8a3e68f9e,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",6.49,
408976592,408976593,101,54c1f4757eb484c492402fde5ddc434c1a5fe841,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",7.2,
408978186,408978187,102,a910f1b881d95bb1397ef181362bccde8dc9a269,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",5.75,
408979415,408979417,103,5d8a2918d285a4f7175042b8a8e450492d58511f,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",6.33,
409030639,409030640,104,66bf9e0e7bfed742ca77c3017057af3010936fe6,unknown,unknown,,plain,"",false,,,,,,,,,"",,
409030723,409030724,105,b9fa106964a92f6841cf0c57120a8a75eea3405c,python,ok,1,python,pytest,true,false,27,0,27,2,,,,"",6.34,
409427903,409427904,106,61624b123263ff2a27ea320c3f35a0566fea97d8,python,broken,0,python,pytest,true,false,27,0,27,2,,,,"",6.12,
409430120,409430121,107,c99a707c2a2642a7e1bfaad466f4651796e64ebd,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",5.92,
409474426,409474427,108,4fec6967c51d9f62b250b947fb85c53acf0428eb,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",6.26,
409505724,409505725,109,66033aaec0a8163c3b7015ac2e8902d7643125b2,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",6.55,
373716344,373716345,10,1f8c7297a1a38e5745b0967ad324f0cb559b81fc,python,ok,0,python,pytest,true,false,17,0,17,0,,,,"",3.32,
415060087,415060088,110,13d5299b12f5bc2b012ea6c731316ea18cb799c6,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",6.25,
415435032,415435033,111,3f0992cc53e31227a9daa8f7e63d6eec508a4f86,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",9.96,
415525400,415525401,112,3df945c68d125b0e7a7393e7375a1213e17ce7c0,python,ok,0,python,pytest,true,false,27,0,27,2,,,,"",6.3,
415525891,415525892,113,f16a8e3f3172d2fb8d024fe5b4938bf437e1c971,python,ok,1,python,pytest,true,false,27,0,27,2,,,,"",6.31,
416156490,416156491,114,e71f485c9da29d8296ee52cf04896b90abf8a91b,python,ok,0,python,pytest,true,false,25,0,25,0,,,,"",6.92,
416156556,416156557,115,e9c794500858a9ea176ec59a7cb9ad1b8cb5b61f,python,ok,0,python,pytest,true,false,25,0,25,0,,,,"",6.7,
416550328,416550329,116,6d00b754852f4f3e79d494d7577a029ecb72c1a1,python,ok,1,python,pytest,true,false,25,0,25,0,,,,"",9.23,
416554181,416554182,117,ddf106481b99c36fd35d955cc9a11db50484c993,unknown,unknown,,plain,"",false,,,,,,,,,"",,
416554238,416554239,118,9fc7aa170098573129b70ec3ce5bfe6fb297f9ee,unknown,unknown,,plain,"",false,,,,,,,,,"",,
416554346,416554347,119,26a83dac6c5f6dd3d0c37e3053c0f529a6cb8569,python,ok,0,python,pytest,true,false,25,0,25,0,,,,"",6.92,
373778471,373778472,11,972f587091bef9ca4fdf1600e9cf92f0e118d9e5,python,ok,3,python,pytest,true,false,17,0,17,0,,,,"",3.0,
416554372,416554373,120,7e3574fb21b610dbdfeb1b13245aeb3e20b48f95,python,ok,0,python,pytest,true,false,25,0,25,0,,,,"",5.95,
416575261,416575262,121,291e620954a4330c44da868fbca965016141d750,python,ok,0,python,pytest,true,false,26,0,26,0,,,,"",6.71,
416575277,416575278,122,b80b81c88642e918c14cb920b56ce1629b5024ce,python,ok,1,python,pytest,true,false,26,0,26,0,,,,"",5.89,
