build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
758358162,146bb4104e56d355777c53547835de748865b44b,45,master,passed,56,2021-02-10 11:13:45 UTC,758358163,758358164,pull_request
728793298,dd3d623724f9cdca87462d93b790a10eb54615ff,44,master,passed,58,2020-09-20 18:42:42 UTC,728793299,728793300,pull_request
551421903,52520d051b1fa651f55720470f2d5f554c239210,34,master,passed,50,2019-06-27 17:19:30 UTC,551421904,551421905,pull_request
549055914,d63cc03d8caf33a31162ff4f47c87196402d6008,33,master,passed,54,2019-06-22 10:05:38 UTC,549055915,549055916,pull_request
398580985,cf81c1c0eeaf4df40dce25c28819cdbfbf5218e0,29,master,passed,99,2018-06-30 13:16:02 UTC,398580986,398580987,pull_request
398564532,953afa6de961ef53d58034a8590320e892ff2019,28,master,passed,180,2018-06-30 11:47:34 UTC,398564533,398564534,pull_request
124305852,43f86354be21f4c526de2b8357fc7e93afcfaece,,dev,passed,78,2016-04-19 20:52:06 UTC,124305855,124305857,push
124300943,b138967370a7a24755e7b433bf1ca7056fe1b8c5,,dev,passed,82,2016-04-19 20:35:15 UTC,124300944,124300945,push
124293210,19f40928948f6f6ed6919c13f65780800d3dabce,,dev,failed,80,2016-04-19 20:07:40 UTC,124293212,124293213,push
117689430,db17590e5e3ef4a47bc937fd7276dbd0fdcb071b,,v1.3.1,passed,79,2016-03-22 11:53:01 UTC,117689432,117689435,push
117689421,db17590e5e3ef4a47bc937fd7276dbd0fdcb071b,,master,passed,70,2016-03-22 11:52:54 UTC,117689422,117689423,push
117114960,e03ef6adba2b52822e2db496f88294390a0d0cf4,,master,passed,56,2016-03-19 14:23:39 UTC,117114961,117114962,push
117114694,09fa519e44650fb78b9aacb8a6184a1e73ae4461,,master,passed,58,2016-03-19 14:21:15 UTC,117114695,117114696,push
117114508,0402ef99607a225a0ff66b3be64ebd3db64566ce,,master,passed,67,2016-03-19 14:19:54 UTC,117114509,117114510,push
117040958,8fc0287f80eae5801a5aa17fc7c65ad79a28d088,,v1.3.0,passed,66,2016-03-19 00:06:02 UTC,117040959,117040964,push
117040949,8fc0287f80eae5801a5aa17fc7c65ad79a28d088,,master,passed,72,2016-03-19 00:05:51 UTC,117040950,117040951,push
117040749,d5c893dde3eb31608feeb98f421bebfa473f9ddc,,master,passed,64,2016-03-19 00:04:47 UTC,117040750,117040751,push
117039963,a64742a8f63cc1589a49a1b9706a4e1160ec2df4,,v1.2.7,passed,58,2016-03-19 00:00:51 UTC,117039964,117039965,push
117039811,a64742a8f63cc1589a49a1b9706a4e1160ec2df4,,master,passed,79,2016-03-19 00:00:00 UTC,117039814,117039827,push
116338278,03ec171a2d036a904057b19d2d87462ac09005d0,,master,passed,102,2016-03-16 10:10:26 UTC,116338279,116338280,push
116337796,03ec171a2d036a904057b19d2d87462ac09005d0,,v1.2.6,passed,91,2016-03-16 10:09:19 UTC,116337797,116337798,push
116337784,4411dd1880cefd62e24a58790d048487c4775d0d,,v1.2.5,passed,60,2016-03-16 10:07:59 UTC,116337786,116337793,push
116337431,be13a6f5180bace55351c179654963448b72ea99,,master,passed,63,2016-03-16 10:06:40 UTC,116337433,116337434,push
116335651,18ea600b0878e5534fc46f0c35cd5c1c08bf02d4,,master,failed,63,2016-03-16 09:57:13 UTC,116335652,116335653,push
97464667,f735c550ef81b8cd3fae5e3d5d37858570395841,,master,passed,33,2015-12-17 15:05:08 UTC,97464668,97464671,push
97464516,f63a944ecd6af7908ec28e16b66ec4589f5833a0,,v1.2.3,passed,28,2015-12-17 15:04:19 UTC,97464517,97464518,push
97464513,f735c550ef81b8cd3fae5e3d5d37858570395841,,v1.2.4,passed,34,2015-12-17 15:04:19 UTC,97464514,97464515,push
97459825,f63a944ecd6af7908ec28e16b66ec4589f5833a0,,master,passed,35,2015-12-17 14:42:34 UTC,97459828,97459832,push
95121103,6449e8f0caba007736ce1dc5e21c20800469b494,,v1.2.1,passed,36,2015-12-06 00:10:41 UTC,95121104,95121105,push
95121090,6449e8f0caba007736ce1dc5e21c20800469b494,,master,passed,26,2015-12-06 00:10:17 UTC,95121091,95121092,push
95120804,21a90b10a6249241fa28a2f4041ccd7979b07c27,,master,passed,30,2015-12-06 00:07:12 UTC,95120805,95120806,push
95118981,a07d31a0a64a967430015a40e3776694ec24a52f,,v1.2.0,errored,18,2015-12-05 23:54:26 UTC,95118982,95118983,push
95118974,a07d31a0a64a967430015a40e3776694ec24a52f,,master,errored,19,2015-12-05 23:54:25 UTC,95118975,95118978,push
95118792,341ac0e3426f7306721bf691b16cc6a5984930bc,,master,passed,33,2015-12-05 23:51:00 UTC,95118793,95118794,push
92689435,7d23843dd33e32f0f820d041e98adcdd5c967fd6,,master,passed,28,2015-11-23 10:59:23 UTC,92689436,92689437,push
92678607,b52d3a72b18c7331f025b1d9fec67387fc5dd2d1,,master,passed,30,2015-11-23 09:54:38 UTC,92678608,92678609,push
92675909,b842982f0b8c18c53bae497839b6ede4db13fc7a,,encoding,passed,37,2015-11-23 09:36:32 UTC,92675910,92675911,push
92156285,7481c66017b8fd37a8704ac3a20fbda1317849ec,,master,passed,38,2015-11-19 22:43:23 UTC,92156286,92156287,push
92140047,d2518e5468f53930f98050f6c303b8fc636697fa,,master,failed,38,2015-11-19 21:22:24 UTC,92140049,92140056,push
92134822,66d9b319aa8d6d323fa0a245f8ef5fa2378c5d9a,,master,failed,28,2015-11-19 20:59:26 UTC,92134823,92134825,push
90878235,f9a7769d41fce04fb09c4fec021e806ce8f940bc,12,master,passed,26,2015-11-13 04:37:22 UTC,90878236,90878237,pull_request
90195475,efe5ee5e84c481151c83f5b97f29d1bc6eff9d52,,master,passed,35,2015-11-09 22:21:05 UTC,90195478,90195483,push
89885511,088a8680ee7bd28172cb2c217bf21b78de9c9460,,master,passed,30,2015-11-08 01:41:12 UTC,89885512,89885513,push
89884710,7cf6f2034a4b1810c80cd547eaf42358ee5e93ed,,master,errored,40,2015-11-08 01:26:48 UTC,89884711,89884712,89884713,push
89884556,c43cd9181fe57ef06c0e590284fef36c2bfd4678,,master,errored,33,2015-11-08 01:24:24 UTC,89884557,89884558,89884559,push
89884541,6b7005dedf48b2b15f44198b0f2b98cacf5a5a9d,,master,errored,44,2015-11-08 01:24:09 UTC,89884542,89884543,89884544,push
89884537,ad64cff5683c8f687097def498661d0a1a1abc51,,dev,errored,43,2015-11-08 01:24:09 UTC,89884538,89884539,89884540,push
88853266,56c5335aa4231c18c1a5c07d3f081c9a29489b0f,,dev,errored,35,2015-11-02 19:13:32 UTC,88853267,88853268,88853269,push
88852845,72cbc70a6ad68ef4503bc4f4e60223969d3e0903,,dev,errored,38,2015-11-02 19:11:10 UTC,88852846,88852854,88852857,push
88848306,49d062bff994de9beba87100cdb314e40a951270,,dev,failed,33,2015-11-02 18:47:09 UTC,88848309,88848310,88848312,push
88538076,90aa036d0fe6301fcee0cc8bec4f4b89d5758e23,11,dev,failed,43,2015-10-31 16:35:13 UTC,88538077,88538078,88538079,pull_request
