tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
19211767,19211768,100,c02f97f8f3889e99d714e35225531e973cf39957,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19258696,19258697,101,8da0f2f6d10b394e399b2e4a1c9c6a2cbdef239b,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19263621,19263622,102,459bb3d32ca17c7b8c6c9be5a5c830fcb4dce3a6,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19264959,19264960,103,5c3b91c959e70f94d171580e24a704e8fafeaea5,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19265311,19265312,104,2ffe32a8d8689779fa5879f9fdedcc5cc0d46fe1,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19271706,19271707,105,ba5a34a8b541c51b10fb4770694b7cfbb59424e6,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.04,
19279610,19279611,106,ed89baa0ce960386b80fbf4964507960e3ccc454,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.11,
19281161,19281162,107,ccec6bf403f0850f8cfeae8c17bc2faecdab2c2c,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19281318,19281319,108,08b2cd040db84a80228e7ece991595a079584aa7,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19284510,19284511,109,77fe5ef88ae0b93ed90b96d4bb6b0aefcf7a55ef,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.02,
18588389,18588390,10,688d094eb6b3df08f4c0b15876edefd8cf30fbea,unknown,unknown,,plain,"",false,,,,,,,,,"",,
19294921,19294922,110,14a64e4a2a9ef89e032815bf924edd28851b798a,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19350446,19350447,111,376617a7f90a7fbd6f5873e5c7f2ae0f2fe491ad,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.06,
19354330,19354331,112,4b7786488d844d0d4e248fe4f1ebbd019123e446,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.23,
19357535,19357536,113,3f97f899fa6bea642da861aa091c3380b3852290,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19360804,19360805,114,423eafa48e16990595d9f7d470c23a9eb63d7fb7,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19501243,19501244,115,88a650f5bff8b01c2bc6da3cbd7ca4fd3212d686,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19501550,19501551,116,b788c7a106faf9a0c0163c6c0ad1cc27bc075f38,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19501942,19501943,117,252fce90d434bad08b4f3471b531f340d91fc815,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19734978,19734979,118,8e6a510ec04c4d2bea625ae3dbd1df79a9557b6d,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.18,
19737741,19737742,119,6c0de38ddb0f491b2ff7936672729ceb9be6222e,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.02,
18588411,18588412,11,8126f7e7c3d8fc00375c24020a3e6bd037851e17,python,unknown,,python,"",false,,,,,,,,,"",,
19739988,19739989,120,07fcb0e845c6a809a12b98cfe8ecf072fd350614,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19741046,19741047,121,21959b70dd7e1b6207575619f6b0081c0b0e13e8,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.02,
19751740,19751741,122,801d3910cc9b4349e1a6e0edf1143d628987ebb4,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.06,
19757793,19757794,123,274fec943849b783c431fc02ae3cc2d571f320cd,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19758097,19758098,124,926607926c546f675e50f312a3d9b707d359bfbc,python,ok,,python,unittest,true,false,10,0,10,0,,,,"",0.01,
19759440,19759441,125,9bfe379308ada2e50114e6ab489555afdefc92c2,python,ok,,python,unittest,true,false,13,0,13,0,,,,"",0.03,
19759739,19759740,126,b3f83b04ddfacf14414126f11d29c76990b6a5e3,python,ok,,python,unittest,true,false,13,0,13,0,,,,"",0.01,
19761652,19761653,127,c98b1c4ed84b3ceb2789321273f1fa77e0e9b0a7,python,ok,,python,unittest,true,false,13,0,13,0,,,,"",0.08,
