build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761201641,cd46306d5b9e2936a1ae2bf9bf0259a09a8bbe4d,,develop,errored,46,2021-03-02 23:28:24 UTC,761201642,push
760318784,04a791f0ad2794895de3e8a24d90fa2ce0f102bb,,develop,errored,47,2021-02-24 15:19:34 UTC,760318785,push
760279502,476e531773c9d48c808b6812c02183ff683dc747,387,develop,errored,48,2021-02-24 08:03:50 UTC,760279503,pull_request
757083430,a2e7e35ad0f708f9c804d40f94100b0604992a5a,,develop,errored,48,2021-02-01 15:45:57 UTC,757083431,push
757083356,5aa3c93caed02f19772fbad8b01bca1bdfb60040,,develop,canceled,0,,757083357,push
757082689,1139e7e7d45221cbe69105b3bf2a73ee2fc5929d,,develop,canceled,0,,757082690,push
755609834,2ba647cd9b7df82de381f3a10a4b7060ad330190,,develop,errored,64,2021-01-22 00:00:11 UTC,755609835,push
755609592,d01e5e74844cf5d8ab6ec1638e79d838e508c083,,develop,canceled,0,,755609593,push
755604639,d98bbac73f7938a27c299c13367868b5fa384063,,develop,canceled,0,,755604640,push
755604528,951d7cdfb0b4cd3550e86b8fa3a82af25163c886,,develop,canceled,0,,755604529,push
755604399,ee813f657ce64a619492e6e52e6c3102ca4b859c,,develop,canceled,0,,755604400,push
755603484,384b98e76b6bd033f69e94091f2ff4ba9da9b38c,,develop,canceled,0,,755603485,push
741931852,a682aaf7d0f57c593d817bc5c97256a161f99957,,develop,errored,44,2020-11-06 17:54:01 UTC,741931853,push
739016481,fa964e3f718d26a07421caf950fc39d9736c5218,382,develop,errored,42,2020-10-26 16:48:58 UTC,739016482,pull_request
684789258,f83bbaf3cadb05cb3e1dc8f3a59879b2b5bcdb1b,376,develop,errored,44,2020-05-08 18:10:08 UTC,684789259,pull_request
675294312,1b88df1028e040ef43fcd1012adffe65d52d4abd,373,develop,errored,42,2020-04-15 13:18:52 UTC,675294313,pull_request
675284917,0a665d96c3b54d1e606f018330f8513c4e4c31a4,372,develop,errored,43,2020-04-15 13:05:11 UTC,675284918,pull_request
