tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
708089575,708089576,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,python,unknown,,python,"",false,,,,,,,,,"",,
708089575,708089577,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,unknown,unknown,,plain,"",false,,,,,,,,,"",,
708089575,708089578,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,python,unknown,,python,"",false,,,,,,,,,"",,
708089575,708089579,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,generic,unknown,0,plain,"",false,,,,,,,,,"",,
708089575,708089580,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,generic,unknown,63,plain,"",false,,,,,,,,,"",,
708089575,708089581,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,generic,unknown,44,plain,"",false,,,,,,,,,"",,
708089575,708089582,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,python,ok,4,python,"",false,,,,,,,,,"",,
708089575,708089583,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,python,ok,6,python,"",false,,,,,,,,,"",,
708089575,708089584,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,python,ok,4,python,"",false,,,,,,,,,"",,
708089575,708089585,6616,25dcd66d0549b1da7bf54fe4b69466c0ed4fea26,python,ok,7,python,"",false,,,,,,,,,"",,
708092027,708092028,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,python,unknown,,python,"",false,,,,,,,,,"",,
708092027,708092029,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,python,unknown,,python,"",false,,,,,,,,,"",,
708092027,708092030,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,python,unknown,,python,"",false,,,,,,,,,"",,
708092027,708092031,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,generic,unknown,0,plain,"",false,,,,,,,,,"",,
708092027,708092032,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,generic,unknown,78,plain,"",false,,,,,,,,,"",,
708092027,708092033,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,generic,unknown,56,plain,"",false,,,,,,,,,"",,
708092027,708092034,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,python,ok,4,python,"",false,,,,,,,,,"",,
708092027,708092035,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,python,ok,4,python,"",false,,,,,,,,,"",,
708092027,708092036,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,python,ok,4,python,"",false,,,,,,,,,"",,
708092027,708092037,6617,dd8574f76e74ae0f0ba7e7f974169bd1be718be8,python,ok,7,python,"",false,,,,,,,,,"",,
708094353,708094354,6618,d0a87ccca4f6c5c6499c90138b56b70c88d62675,unknown,unknown,,plain,"",false,,,,,,,,,"",,
708094353,708094355,6618,d0a87ccca4f6c5c6499c90138b56b70c88d62675,unknown,unknown,,plain,"",false,,,,,,,,,"",,
708094353,708094356,6618,d0a87ccca4f6c5c6499c90138b56b70c88d62675,unknown,unknown,,plain,"",false,,,,,,,,,"",,
