build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
333801489,290830582dc21d4acf5aff6424bb5d82f052bba3,17,master,passed,211,2018-01-26 16:24:42 UTC,333801490,333801491,pull_request
333801196,bca74a9bf9a774e6251226063bbbc887980461aa,,save,passed,212,2018-01-26 16:24:14 UTC,333801197,333801198,push
274964559,d827eae16673d2375e8650730bd844cc2f1fee4a,,v0.2.6,passed,235,2017-09-13 09:39:35 UTC,274964560,274964561,push
274964486,d827eae16673d2375e8650730bd844cc2f1fee4a,,master,passed,198,2017-09-13 09:39:24 UTC,274964487,274964488,push
274963346,57456684ce80d68e3434a2539933bc924d39c2df,16,master,passed,183,2017-09-13 09:36:13 UTC,274963347,274963348,pull_request
274963293,97aee073246cd1f01c53935bb5cc6e8dd8b0cd8a,,fix-warning,passed,166,2017-09-13 09:36:03 UTC,274963295,274963296,push
274941637,36fec7dbe29eef8d21c99ec1c0580d354f75ccd2,,v0.2.5,passed,201,2017-09-13 08:27:09 UTC,274941638,274941639,push
274941568,36fec7dbe29eef8d21c99ec1c0580d354f75ccd2,,master,passed,149,2017-09-13 08:26:56 UTC,274941569,274941570,push
274940887,fb69a6642f25628da74a202b8535a450701c4696,15,master,passed,154,2017-09-13 08:24:30 UTC,274940888,274940889,pull_request
274940866,d3cfb900d1e06cbc58cfde323d8a98b6c28b90c3,,small-fixes,passed,133,2017-09-13 08:24:28 UTC,274940867,274940868,push
274940060,df8e8e2209fa4f76212e4404635bb1826131478c,15,master,failed,139,2017-09-13 08:21:51 UTC,274940061,274940062,pull_request
274940003,ba4d7d26fec7024afe375c7b4b51383ec7e5495e,,small-fixes,failed,166,2017-09-13 08:21:44 UTC,274940004,274940005,push
251912359,7b7c896962a70eeb39383a1a37e213a8ecf94de4,,v0.2.4,passed,126,2017-07-10 08:21:18 UTC,251912360,251912361,push
251912221,7b7c896962a70eeb39383a1a37e213a8ecf94de4,,master,passed,124,2017-07-10 08:21:04 UTC,251912222,251912223,push
251911647,7f0ee8a168ce684657f17246f4f699cbb4c092db,13,master,passed,226,2017-07-10 08:18:49 UTC,251911648,251911649,pull_request
251911621,33c9f3d702e98cabb562b6b239eb7d334f7f914f,,grid,passed,229,2017-07-10 08:18:44 UTC,251911622,251911623,push
251911197,f2c65a9ae80f0434e5bdb9313a75aa889b3a9f06,,grid,passed,199,2017-07-10 08:16:58 UTC,251911198,251911199,push
250250848,3a5f65a569a7ace4e92a37114b640c650ca2cf50,,v0.2.3,passed,116,2017-07-05 08:23:53 UTC,250250849,250250850,push
250250811,3a5f65a569a7ace4e92a37114b640c650ca2cf50,,master,passed,109,2017-07-05 08:23:41 UTC,250250812,250250813,push
250250350,e097a62ba34dde085f372ab5b806079ef50c2952,12,master,passed,119,2017-07-05 08:21:48 UTC,250250351,250250352,pull_request
250250121,8866d32ac1cc1dea578d7ceeac4358ed9f39d914,,test-coverage,passed,118,2017-07-05 08:21:06 UTC,250250122,250250123,push
250246649,7921ad5a71a7d386bc6d304d67049eadf3346583,,master,passed,159,2017-07-05 08:07:21 UTC,250246650,250246651,push
250086575,1814facdac6a83fce6c57ffab0dbde41b33d913b,11,master,passed,123,2017-07-04 18:25:07 UTC,250086576,250086577,pull_request
237987737,823e7532772fbb78262802f94c8b5e069b4d7a68,,v0.2.2,passed,183,2017-05-31 16:12:59 UTC,237987738,237987739,push
237987651,823e7532772fbb78262802f94c8b5e069b4d7a68,,master,passed,147,2017-05-31 16:12:45 UTC,237987654,237987657,push
237986736,814df18a0f97ba7a31427b800d519e645cd05a33,10,master,passed,200,2017-05-31 16:10:20 UTC,237986737,237986738,pull_request
237986288,a7eb38efa66a890f043574ca3e8355386aac1565,,remove-landscape-badge,passed,189,2017-05-31 16:09:32 UTC,237986289,237986290,push
237985029,c86be0b6a2b15dbd362f122974f36f7d7e5d0617,,master,passed,174,2017-05-31 16:06:14 UTC,237985030,237985031,push
237982677,21d06e13a1f67e6ba62c3dfdc562d6c174f9059f,9,master,passed,189,2017-05-31 16:00:37 UTC,237982678,237982679,pull_request
237198582,f3f6f141ec24ecaa018ed39329738ebc2afec096,,v0.2.1,passed,230,2017-05-29 14:50:55 UTC,237198583,237198584,push
237198504,f3f6f141ec24ecaa018ed39329738ebc2afec096,,master,passed,212,2017-05-29 14:50:40 UTC,237198505,237198506,push
237197290,c55d1a320d9e2f3586120bb09323332d3bc34577,8,master,passed,275,2017-05-29 14:46:52 UTC,237197291,237197292,pull_request
237197228,5500d8d330fb9250e84bfab12e54bf3e1e7e6de6,,better-eq-check,passed,261,2017-05-29 14:46:39 UTC,237197229,237197230,push
237070654,c118aa687dff327b34da0ef784040e7273760d99,,better-eq-check,passed,237,2017-05-29 07:39:56 UTC,237070655,237070656,push
235133788,8fa46b8ca9aa528bb8295c0713ef8a4d632eaeff,,v0.2.0,passed,211,2017-05-23 08:10:08 UTC,235133789,235133790,push
235133703,8fa46b8ca9aa528bb8295c0713ef8a4d632eaeff,,master,passed,212,2017-05-23 08:09:46 UTC,235133704,235133705,push
235133057,698b382cd4768500d19ec21b770e7850d863603b,7,master,passed,181,2017-05-23 08:07:00 UTC,235133058,235133059,pull_request
235133054,d7f993dc72b436c66c0a0cd5c0d3650b2212c4da,,check-correctness,passed,239,2017-05-23 08:07:06 UTC,235133055,235133056,push
235131353,a5aa9cf17aac29cab797647836678d00c0bb413e,7,master,failed,230,2017-05-23 08:00:27 UTC,235131354,235131355,pull_request
235131297,7df19dc628e207a2623a158acf875b0e1a17447f,,check-correctness,failed,190,2017-05-23 08:00:06 UTC,235131298,235131300,push
219615857,6dd9f0054953b87afd5bdc2b0a5f717d22100d4b,,v0.1.6,passed,125,2017-04-07 09:41:40 UTC,219615858,219615859,push
219615749,6dd9f0054953b87afd5bdc2b0a5f717d22100d4b,,master,passed,115,2017-04-07 09:41:42 UTC,219615750,219615751,push
219615028,5117b58d0bef3c7c12f0e4d238f7327c2670f1ac,6,master,passed,114,2017-04-07 09:39:48 UTC,219615029,219615030,pull_request
219615019,98b684bd23256130e25100f229a56b3da8967459,,better-packaging,passed,176,2017-04-07 09:39:10 UTC,219615020,219615021,push
219614911,130607697212c942629416521a7c3ad1ddc3cd46,6,master,passed,149,2017-04-07 09:38:39 UTC,219614912,219614913,pull_request
219614906,9d30e977f5fc0ded2fc46f4e53e94a042f0c7ba7,,better-packaging,passed,165,2017-04-07 09:38:16 UTC,219614907,219614908,push
219614417,13ce474b24c4999ce94d7363cfc2c68f572624cd,6,master,passed,131,2017-04-07 09:37:04 UTC,219614418,219614419,pull_request
219614332,a5513c7bcc0f1e4f63982227f85b2a5a3e53d111,,better-packaging,passed,118,2017-04-07 09:36:55 UTC,219614334,219614336,push
210325190,914b4a3a6627cdddc513c51428f067bf5827df97,,v0.1.5,passed,184,2017-03-12 19:41:21 UTC,210325191,210325194,push
210325137,914b4a3a6627cdddc513c51428f067bf5827df97,,master,passed,180,2017-03-12 19:40:23 UTC,210325138,210325139,push
210324276,1bf27b38731454dfd100d425f432916ff4020cc5,5,master,passed,167,2017-03-12 19:36:13 UTC,210324277,210324278,pull_request
210324239,718cb9ed1839395fe659cf935c1498ae75906441,,tqdm,passed,193,2017-03-12 19:35:55 UTC,210324240,210324241,push
210155637,19c14ee13c1845c8d9c7ef3bb0a1dbe6775f2fe2,,v0.1.4,passed,152,2017-03-11 23:26:46 UTC,210155638,210155639,push
210155600,19c14ee13c1845c8d9c7ef3bb0a1dbe6775f2fe2,,master,passed,153,2017-03-11 23:26:23 UTC,210155601,210155602,push
210155407,fe3d0a05d8e1ab829d0b937bd42bf415ebc19a29,4,master,passed,148,2017-03-11 23:24:42 UTC,210155408,210155409,pull_request
210155389,3b92550710039fc239e8519e297d291864405ea0,,fixes,passed,146,2017-03-11 23:24:30 UTC,210155390,210155391,push
204145813,df2a2c95603f5587903d348eebe7169bb4194342,,v0.1.3,passed,122,2017-02-22 10:51:24 UTC,204145814,204145815,push
204145773,df2a2c95603f5587903d348eebe7169bb4194342,,master,passed,122,2017-02-22 10:51:10 UTC,204145774,204145775,push
204145244,5c81784404641ff2616e07cf4c32a3717602e54c,3,master,passed,204,2017-02-22 10:48:44 UTC,204145245,204145246,pull_request
204144944,9e7baf55a856d9e28b07fdf8b53346d3abc00b4b,,estimate-number,passed,125,2017-02-22 10:47:38 UTC,204144945,204144946,push
204117969,3ed4b28611f0adbfcda38286633f4fbf5ff61699,,v0.1.2,passed,102,2017-02-22 09:07:54 UTC,204117970,204117972,push
204117904,3ed4b28611f0adbfcda38286633f4fbf5ff61699,,master,passed,126,2017-02-22 09:07:41 UTC,204117905,204117906,push
204113003,3c1e9319fcea6ea17a6734a2d9140684a83ae223,2,master,passed,110,2017-02-22 09:00:04 UTC,204113004,204113005,pull_request
204112953,e71943e37920fab9d5fd34fb5cc4105e04d5229e,,automatic-order,passed,172,2017-02-22 09:05:48 UTC,204112954,204112955,push
203832338,5dae642c3a906290578fd77ec9755fe4a99f3db2,,v0.1.1,passed,137,2017-02-21 14:59:02 UTC,203832339,203832340,push
203832273,5dae642c3a906290578fd77ec9755fe4a99f3db2,,master,passed,217,2017-02-21 14:59:03 UTC,203832274,203832275,push
203831644,78a4ef90dd49bef51958a5f110ba807ac9cc327b,1,master,passed,128,2017-02-21 14:57:18 UTC,203831645,203831646,pull_request
203831369,562043c64887cda4a9ce992f94ab2d68a6bca483,,log,passed,175,2017-02-21 14:56:17 UTC,203831370,203831371,push
203830840,706a50335b99c7fbfaabcf432d4fac370b7eb2b7,,log,passed,205,2017-02-21 14:55:11 UTC,203830841,203830842,push
203818233,77bfeeaa5f731d175ab3e1230cc26b55d31de953,,v0.1.0,passed,146,2017-02-21 14:18:12 UTC,203818234,203818235,push
203816473,77bfeeaa5f731d175ab3e1230cc26b55d31de953,,master,passed,143,2017-02-21 14:12:19 UTC,203816474,203816475,push
203816057,209a6a01eb82559e2395a95fe5b9048b5e0e506f,,master,failed,166,2017-02-21 14:10:54 UTC,203816058,203816059,push
203815276,c3e00a19de037da30082b0c199f42898ecae0d5f,,master,errored,152,2017-02-21 14:09:24 UTC,203815277,203815278,push
203813993,ad5da48994d504160a506517ee9a68470084d258,,master,errored,119,2017-02-21 14:06:31 UTC,203813994,203813995,push
203812025,490ef4e3f5ce0d079b72ed7f000eabb2eaead0df,,master,errored,121,2017-02-21 14:00:35 UTC,203812026,203812027,push
203810104,043d80255326c7c5182907a54a1cf4d6aa399c6c,,master,errored,148,2017-02-21 13:55:08 UTC,203810105,203810106,push
203809701,a703eb41a041bc8acf1c06f6ea8410cc2918e3d3,,master,failed,42,2017-02-21 13:55:04 UTC,203809702,push
