tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
741314630,741314631,3570,e94ecff1475e5da4857fdc06833c4556abd08d49,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741314630,741314632,3570,e94ecff1475e5da4857fdc06833c4556abd08d49,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741314630,741314633,3570,e94ecff1475e5da4857fdc06833c4556abd08d49,python,ok,0,python,"",false,,,,,,,,,"",,
741769960,741769961,3575,e2b39da94068aba387bfda2356c90a843cfa9181,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741769960,741769962,3575,e2b39da94068aba387bfda2356c90a843cfa9181,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741769960,741769963,3575,e2b39da94068aba387bfda2356c90a843cfa9181,python,broken,0,python,"",false,,,,,,,,,test_env[spec20],,
741777271,741777272,3576,a49c6346ad28b6cffe4ef3f522cebf4679afc84f,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741777271,741777273,3576,a49c6346ad28b6cffe4ef3f522cebf4679afc84f,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741777271,741777274,3576,a49c6346ad28b6cffe4ef3f522cebf4679afc84f,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741782409,741782410,3577,098f46c762bc8a49bdc1499914570a56a60eb1a4,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741782409,741782411,3577,098f46c762bc8a49bdc1499914570a56a60eb1a4,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741782409,741782412,3577,098f46c762bc8a49bdc1499914570a56a60eb1a4,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
741793371,741793372,3578,bf47413d769ffe4188d7f99bfc7a73b237435169,unknown,unknown,,plain,"",false,,,,,,,,,"",,
741793371,741793373,3578,bf47413d769ffe4188d7f99bfc7a73b237435169,unknown,unknown,,plain,"",false,,,,,,,,,"",,
741793371,741793374,3578,bf47413d769ffe4188d7f99bfc7a73b237435169,unknown,unknown,,plain,"",false,,,,,,,,,"",,
741793920,741793921,3579,8351e39eb91ff0868416fae60e4d707316012dc5,python,broken,0,python,"",false,,,,,,,,,test_env[spec25],,
