build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761546391,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,457,2021-03-05 06:56:14 UTC,761546397,cron
761401538,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,448,2021-03-04 06:55:23 UTC,761401540,cron
761249184,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,461,2021-03-03 06:54:56 UTC,761249185,cron
761085337,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,483,2021-03-02 06:54:51 UTC,761085338,cron
760896360,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,466,2021-03-01 06:54:02 UTC,760896362,cron
760778574,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,478,2021-02-28 06:53:02 UTC,760778575,cron
760682431,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,444,2021-02-27 06:52:05 UTC,760682432,cron
760553747,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,460,2021-02-26 06:52:07 UTC,760553748,cron
760412308,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,474,2021-02-25 06:51:06 UTC,760412309,cron
760273015,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,485,2021-02-24 06:51:13 UTC,760273016,cron
760120915,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,463,2021-02-23 06:50:31 UTC,760120916,cron
759952837,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,486,2021-02-22 06:49:51 UTC,759952838,cron
759839596,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,454,2021-02-21 06:49:40 UTC,759839598,cron
759738635,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,472,2021-02-20 06:48:47 UTC,759738640,cron
759597396,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,488,2021-02-19 06:48:05 UTC,759597404,cron
759446182,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,494,2021-02-18 06:47:33 UTC,759446184,cron
759299747,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,437,2021-02-17 06:47:25 UTC,759299752,cron
759156877,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,459,2021-02-16 06:47:30 UTC,759156881,cron
759009669,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,437,2021-02-15 06:47:13 UTC,759009670,cron
758897503,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,failed,482,2021-02-14 06:47:05 UTC,758897504,cron
758798427,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,442,2021-02-13 06:47:52 UTC,758798428,cron
758646856,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,488,2021-02-12 06:58:31 UTC,758646858,cron
758491653,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,462,2021-02-11 07:12:16 UTC,758491654,cron
758335335,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,469,2021-02-10 07:07:02 UTC,758335336,cron
758182751,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,456,2021-02-09 07:10:16 UTC,758182754,cron
758020094,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,463,2021-02-08 06:43:48 UTC,758020099,cron
757897167,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,467,2021-02-07 06:43:32 UTC,757897170,cron
757793066,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,failed,452,2021-02-06 06:42:46 UTC,757793067,cron
757658490,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,482,2021-02-05 06:55:36 UTC,757658491,cron
757509451,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,443,2021-02-04 07:00:28 UTC,757509453,cron
757353423,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,460,2021-02-03 07:00:46 UTC,757353424,cron
757197699,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,470,2021-02-02 07:37:23 UTC,757197700,cron
757029868,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,466,2021-02-01 07:36:48 UTC,757029870,cron
756912585,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,448,2021-01-31 07:33:18 UTC,756912589,cron
756807823,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,442,2021-01-30 08:44:21 UTC,756807824,cron
756684042,211e5eb3821a464a2fffeb9d35e3097e1b7a99ba,,master,passed,460,2021-01-29 10:44:31 UTC,756684043,cron
