tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
44244046,44244047,100,32a5319d5daabd7ca3c3df2793d3bbbb669f20d0,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",76.34,
44244046,44244048,100,32a5319d5daabd7ca3c3df2793d3bbbb669f20d0,python,ok,9,python,unittest,true,false,120,0,120,0,,,,"",44.489999999999995,
44244046,44244049,100,32a5319d5daabd7ca3c3df2793d3bbbb669f20d0,python,broken,9,python,unittest,true,true,118,2,120,0,,,,"",49.4,
44244046,44244050,100,32a5319d5daabd7ca3c3df2793d3bbbb669f20d0,python,ok,14,python,unittest,true,false,120,0,120,0,,,,"",58.019999999999996,
44244046,44244051,100,32a5319d5daabd7ca3c3df2793d3bbbb669f20d0,python,broken,36,python,unittest,true,true,118,2,120,0,,,,"",63.28,
44244046,44244052,100,32a5319d5daabd7ca3c3df2793d3bbbb669f20d0,python,broken,9,python,"",false,,,,,,,,,"",,
44244046,44244053,100,32a5319d5daabd7ca3c3df2793d3bbbb669f20d0,python,broken,12,python,"",false,,,,,,,,,"",,
44249283,44249284,101,abeba8bc5d397830e7515b722544b148bc5ebed8,python,ok,49,python,unittest,true,false,121,0,121,0,,,,"",69.42,
44249283,44249285,101,abeba8bc5d397830e7515b722544b148bc5ebed8,python,ok,33,python,unittest,true,false,121,0,121,0,,,,"",58.349999999999994,
44249283,44249286,101,abeba8bc5d397830e7515b722544b148bc5ebed8,python,broken,9,python,unittest,true,true,117,4,121,0,,,,"",51.32,
44249283,44249287,101,abeba8bc5d397830e7515b722544b148bc5ebed8,python,broken,10,python,unittest,true,true,117,4,121,0,,,,"",63.89,
44249283,44249288,101,abeba8bc5d397830e7515b722544b148bc5ebed8,python,broken,15,python,unittest,true,true,115,6,121,0,,,,"",57.58,
44249283,44249289,101,abeba8bc5d397830e7515b722544b148bc5ebed8,python,broken,27,python,"",false,,,,,,,,,"",,
44249283,44249290,101,abeba8bc5d397830e7515b722544b148bc5ebed8,python,broken,11,python,"",false,,,,,,,,,"",,
44250779,44250780,102,b6564f3c7e5162a339f610f65b944480f40046e1,python,ok,9,python,unittest,true,false,120,0,120,0,,,,"",64.36,
44250779,44250781,102,b6564f3c7e5162a339f610f65b944480f40046e1,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",57.61,
44250779,44250782,102,b6564f3c7e5162a339f610f65b944480f40046e1,python,ok,22,python,unittest,true,false,120,0,120,0,,,,"",72.56,
44250779,44250783,102,b6564f3c7e5162a339f610f65b944480f40046e1,python,ok,9,python,unittest,true,false,120,0,120,0,,,,"",49.83,
44250779,44250784,102,b6564f3c7e5162a339f610f65b944480f40046e1,python,ok,26,python,unittest,true,false,120,0,120,0,,,,"",61.18,
44250779,44250785,102,b6564f3c7e5162a339f610f65b944480f40046e1,python,broken,10,python,"",false,,,,,,,,,"",,
44250779,44250788,102,b6564f3c7e5162a339f610f65b944480f40046e1,python,broken,14,python,"",false,,,,,,,,,"",,
45784083,45784085,103,c867d63a5ab62bbf7ba3bac37ca1d7e13bc2b85a,python,ok,11,python,unittest,true,false,120,0,120,0,,,,"",50.09,
45784083,45784087,103,c867d63a5ab62bbf7ba3bac37ca1d7e13bc2b85a,python,ok,13,python,unittest,true,false,120,0,120,0,,,,"",42.150000000000006,
45784083,45784089,103,c867d63a5ab62bbf7ba3bac37ca1d7e13bc2b85a,python,broken,21,python,unittest,true,true,116,4,120,0,,,,"",39.4,
45784083,45784090,103,c867d63a5ab62bbf7ba3bac37ca1d7e13bc2b85a,python,broken,17,python,unittest,true,true,118,2,120,0,,,,"",48.95,
45784083,45784091,103,c867d63a5ab62bbf7ba3bac37ca1d7e13bc2b85a,python,broken,13,python,unittest,true,true,118,2,120,0,,,,"",51.55,
47291297,47291298,104,84f998c935ed8ac05ad287a81e101134e20b90f3,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",57.03,
47291297,47291299,104,84f998c935ed8ac05ad287a81e101134e20b90f3,python,ok,40,python,unittest,true,false,120,0,120,0,,,,"",45.09,
47291297,47291300,104,84f998c935ed8ac05ad287a81e101134e20b90f3,python,ok,39,python,unittest,true,false,120,0,120,0,,,,"",59.15,
47291297,47291301,104,84f998c935ed8ac05ad287a81e101134e20b90f3,python,broken,16,python,unittest,true,true,116,4,120,0,,,,"",48.370000000000005,
47291297,47291302,104,84f998c935ed8ac05ad287a81e101134e20b90f3,python,ok,15,python,unittest,true,false,120,0,120,0,,,,"",53.66,
47292080,47292081,105,9c8efa6be1d6eb5ea3ad59f3f15f9ee806eb7010,python,ok,13,python,unittest,true,false,120,0,120,0,,,,"",63.41,
47292080,47292082,105,9c8efa6be1d6eb5ea3ad59f3f15f9ee806eb7010,python,ok,27,python,unittest,true,false,120,0,120,0,,,,"",46.94,
47292080,47292083,105,9c8efa6be1d6eb5ea3ad59f3f15f9ee806eb7010,python,broken,13,python,unittest,true,true,118,2,120,0,,,,"",45.54,
47292080,47292084,105,9c8efa6be1d6eb5ea3ad59f3f15f9ee806eb7010,python,broken,13,python,unittest,true,true,118,2,120,0,,,,"",54.4,
47292080,47292085,105,9c8efa6be1d6eb5ea3ad59f3f15f9ee806eb7010,python,broken,13,python,unittest,true,true,118,2,120,0,,,,"",53.47,
47296498,47296499,106,8e1c5b404f0faa562a16ae57a41e31c20170e64b,python,ok,24,python,unittest,true,false,121,0,121,0,,,,"",56.29,
47296498,47296500,106,8e1c5b404f0faa562a16ae57a41e31c20170e64b,python,ok,9,python,unittest,true,false,121,0,121,0,,,,"",48.76,
47296498,47296501,106,8e1c5b404f0faa562a16ae57a41e31c20170e64b,python,broken,37,python,unittest,true,true,117,4,121,0,,,,"",56.64,
47296498,47296502,106,8e1c5b404f0faa562a16ae57a41e31c20170e64b,python,ok,10,python,unittest,true,false,121,0,121,0,,,,"",62.17,
47296498,47296503,106,8e1c5b404f0faa562a16ae57a41e31c20170e64b,python,broken,9,python,unittest,true,true,119,2,121,0,,,,"",55.1,
47296498,47296504,106,8e1c5b404f0faa562a16ae57a41e31c20170e64b,python,broken,17,python,"",false,,,,,,,,,"",,
47296498,47296505,106,8e1c5b404f0faa562a16ae57a41e31c20170e64b,python,broken,8,python,"",false,,,,,,,,,"",,
47297835,47297836,107,4f869c71fa22c9601ef4f68d1d621c8b96e6f037,python,ok,9,python,unittest,true,false,121,0,121,0,,,,"",59.75,
47297835,47297837,107,4f869c71fa22c9601ef4f68d1d621c8b96e6f037,python,ok,13,python,unittest,true,false,121,0,121,0,,,,"",58.75,
47297835,47297838,107,4f869c71fa22c9601ef4f68d1d621c8b96e6f037,python,ok,9,python,unittest,true,false,121,0,121,0,,,,"",47.989999999999995,
47297835,47297839,107,4f869c71fa22c9601ef4f68d1d621c8b96e6f037,python,ok,14,python,unittest,true,false,121,0,121,0,,,,"",59.02,
47297835,47297840,107,4f869c71fa22c9601ef4f68d1d621c8b96e6f037,python,ok,9,python,unittest,true,false,121,0,121,0,,,,"",67.1,
47297835,47297841,107,4f869c71fa22c9601ef4f68d1d621c8b96e6f037,python,broken,9,python,"",false,,,,,,,,,"",,
47297835,47297842,107,4f869c71fa22c9601ef4f68d1d621c8b96e6f037,python,broken,9,python,"",false,,,,,,,,,"",,
47299010,47299011,108,f86225848c0784ab2eb1855600fa59a8c7b40038,python,ok,27,python,unittest,true,false,120,0,120,0,,,,"",59.74,
47299010,47299012,108,f86225848c0784ab2eb1855600fa59a8c7b40038,python,ok,20,python,unittest,true,false,120,0,120,0,,,,"",49.92,
47299010,47299013,108,f86225848c0784ab2eb1855600fa59a8c7b40038,python,ok,64,python,unittest,true,false,120,0,120,0,,,,"",55.78,
47299010,47299014,108,f86225848c0784ab2eb1855600fa59a8c7b40038,python,ok,15,python,unittest,true,false,120,0,120,0,,,,"",74.44999999999999,
47299010,47299015,108,f86225848c0784ab2eb1855600fa59a8c7b40038,python,ok,50,python,unittest,true,false,120,0,120,0,,,,"",70.63,
47302453,47302454,109,c2990326fc9974dfcb19cd58c2206fa4295e7e26,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",62.01,
47302453,47302455,109,c2990326fc9974dfcb19cd58c2206fa4295e7e26,python,ok,13,python,unittest,true,false,120,0,120,0,,,,"",45.21,
47302453,47302456,109,c2990326fc9974dfcb19cd58c2206fa4295e7e26,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",43.06,
47302453,47302457,109,c2990326fc9974dfcb19cd58c2206fa4295e7e26,python,ok,18,python,unittest,true,false,120,0,120,0,,,,"",51.04,
47302453,47302458,109,c2990326fc9974dfcb19cd58c2206fa4295e7e26,python,ok,14,python,unittest,true,false,120,0,120,0,,,,"",63.75,
2688798,2688799,10,9e515cb348a1194fd15534a68db91dd660a43a20,unknown,unknown,,plain,"",false,,,,,,,,,"",,
47303801,47303802,110,2b31bd5a6ce58c1374520591951b265d65f9d74e,python,ok,11,python,unittest,true,false,120,0,120,0,,,,"",52.5,
47303801,47303803,110,2b31bd5a6ce58c1374520591951b265d65f9d74e,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",44.01,
47303801,47303804,110,2b31bd5a6ce58c1374520591951b265d65f9d74e,python,ok,24,python,unittest,true,false,120,0,120,0,,,,"",52.97,
47303801,47303805,110,2b31bd5a6ce58c1374520591951b265d65f9d74e,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",48.67,
47303801,47303806,110,2b31bd5a6ce58c1374520591951b265d65f9d74e,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",53.31,
47304553,47304554,111,ea8c2bd9a310647e74304ae6e64cf2c2839d5632,python,ok,15,python,unittest,true,false,120,0,120,0,,,,"",185.85000000000002,
47304553,47304555,111,ea8c2bd9a310647e74304ae6e64cf2c2839d5632,python,ok,15,python,unittest,true,false,120,0,120,0,,,,"",122.32000000000001,
47304553,47304556,111,ea8c2bd9a310647e74304ae6e64cf2c2839d5632,python,ok,60,python,unittest,true,false,120,0,120,0,,,,"",157.37,
47304553,47304557,111,ea8c2bd9a310647e74304ae6e64cf2c2839d5632,python,ok,15,python,unittest,true,false,120,0,120,0,,,,"",192.21999999999997,
47304553,47304558,111,ea8c2bd9a310647e74304ae6e64cf2c2839d5632,python,ok,17,python,unittest,true,false,120,0,120,0,,,,"",153.78,
48990775,48990776,112,b507d7f14846434ec3e5fd18f6c3e5745a0a9f78,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",178.94,
48990775,48990777,112,b507d7f14846434ec3e5fd18f6c3e5745a0a9f78,python,ok,13,python,unittest,true,false,120,0,120,0,,,,"",155.61,
48990775,48990778,112,b507d7f14846434ec3e5fd18f6c3e5745a0a9f78,python,ok,14,python,unittest,true,false,120,0,120,0,,,,"",128.01,
48990775,48990779,112,b507d7f14846434ec3e5fd18f6c3e5745a0a9f78,python,ok,13,python,unittest,true,false,120,0,120,0,,,,"",188.03,
48990775,48990780,112,b507d7f14846434ec3e5fd18f6c3e5745a0a9f78,python,ok,14,python,unittest,true,false,120,0,120,0,,,,"",173.70999999999998,
48991262,48991263,113,6680520ed29958d0badd449754f2ac04d8557219,python,ok,28,python,unittest,true,false,120,0,120,0,,,,"",210.98999999999998,
48991262,48991264,113,6680520ed29958d0badd449754f2ac04d8557219,python,ok,19,python,unittest,true,false,120,0,120,0,,,,"",129.26999999999998,
48991262,48991265,113,6680520ed29958d0badd449754f2ac04d8557219,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",147.56,
48991262,48991266,113,6680520ed29958d0badd449754f2ac04d8557219,python,ok,13,python,unittest,true,false,120,0,120,0,,,,"",128.32999999999998,
48991262,48991267,113,6680520ed29958d0badd449754f2ac04d8557219,python,ok,11,python,unittest,true,false,120,0,120,0,,,,"",134.74,
48991776,48991777,114,6680520ed29958d0badd449754f2ac04d8557219,python,ok,14,python,unittest,true,false,120,0,120,0,,,,"",165.66,
48991776,48991778,114,6680520ed29958d0badd449754f2ac04d8557219,python,ok,14,python,unittest,true,false,120,0,120,0,,,,"",114.14,
48991776,48991779,114,6680520ed29958d0badd449754f2ac04d8557219,python,ok,12,python,unittest,true,false,120,0,120,0,,,,"",137.92000000000002,
48991776,48991780,114,6680520ed29958d0badd449754f2ac04d8557219,python,ok,28,python,unittest,true,false,120,0,120,0,,,,"",143.26,
48991776,48991781,114,6680520ed29958d0badd449754f2ac04d8557219,python,ok,27,python,unittest,true,false,120,0,120,0,,,,"",152.61,
49359776,49359777,115,8409298b6f1eff1d8ef8a135fa03c6f11580fa38,python,ok,20,python,unittest,true,false,120,0,120,0,,,,"",205.95,
49359776,49359778,115,8409298b6f1eff1d8ef8a135fa03c6f11580fa38,python,ok,34,python,unittest,true,false,120,0,120,0,,,,"",152.32,
49359776,49359779,115,8409298b6f1eff1d8ef8a135fa03c6f11580fa38,python,unknown,12,python,"",false,,,,,,,,,"",,
49359776,49359780,115,8409298b6f1eff1d8ef8a135fa03c6f11580fa38,python,broken,13,python,unittest,true,true,90,30,120,0,,,,test_garbage,148.94,
49359776,49359781,115,8409298b6f1eff1d8ef8a135fa03c6f11580fa38,python,broken,13,python,unittest,true,true,108,12,120,0,,,,"",163.74,
55236171,55236172,116,a048264261bc3f9e050daf923664bccd8dca000d,python,broken,39,python,unittest,true,true,117,3,120,0,,,,Test if static files are served.,251.57999999999998,
55236171,55236173,116,a048264261bc3f9e050daf923664bccd8dca000d,python,broken,15,python,unittest,true,true,117,3,120,0,,,,test_static_files,167.36,
55236171,55236174,116,a048264261bc3f9e050daf923664bccd8dca000d,python,unknown,12,python,"",false,,,,,,,,,"",,
55236171,55236175,116,a048264261bc3f9e050daf923664bccd8dca000d,python,broken,15,python,unittest,true,true,87,33,120,0,,,,test_garbage#test_static_files,162.05,
55236171,55236178,116,a048264261bc3f9e050daf923664bccd8dca000d,python,broken,40,python,unittest,true,true,117,3,120,0,,,,test_static_files,200.62,
55287493,55287494,117,958e13ac4595c59b8ca3279412a9ec8369c6071a,python,ok,16,python,unittest,true,false,120,0,120,0,,,,"",229.06,
55287493,55287495,117,958e13ac4595c59b8ca3279412a9ec8369c6071a,python,ok,14,python,unittest,true,false,120,0,120,0,,,,"",183.22,
55287493,55287496,117,958e13ac4595c59b8ca3279412a9ec8369c6071a,python,unknown,12,python,"",false,,,,,,,,,"",,
