build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
686698607,ed4364dab4491d0c974a0cb62bb319f1c4bcfae1,761,master,passed,80,2020-05-13 18:26:04 UTC,686698608,pull_request
686614486,37db108822537b0adcca01fa95e00ab37eecee7e,766,master,passed,76,2020-05-13 14:54:33 UTC,686614487,pull_request
686608975,64916041fd6248f53cd23842c8f95565189b32c1,766,master,passed,76,2020-05-13 14:41:51 UTC,686608976,pull_request
686607957,640a9fffb83164e1d2b660665a42abf2ac5b5d06,766,master,passed,76,2020-05-13 14:39:14 UTC,686607958,pull_request
686607162,e217c0a02561603a7e4f39afc6e3240819a4dc06,766,master,passed,81,2020-05-13 14:37:24 UTC,686607163,pull_request
686604933,fa8365f1d50114d75c808493a325dd87fe6bf7ce,766,master,passed,77,2020-05-13 14:31:05 UTC,686604934,pull_request
686603436,fa8365f1d50114d75c808493a325dd87fe6bf7ce,766,master,passed,78,2020-05-13 14:25:56 UTC,686603437,pull_request
686602994,cde36e64b5d97950723090fe30405aa0c8970b31,766,master,passed,77,2020-05-13 14:24:21 UTC,686602995,pull_request
686592698,8a35f11b258a8fe3a32f5838e83ff3f4f2d59b42,767,master,passed,80,2020-05-13 13:57:07 UTC,686592699,pull_request
686423267,0f59e82b00ea28f26fb4572109cbf5321fb6ef1e,766,master,passed,81,2020-05-13 04:50:23 UTC,686423268,pull_request
686423191,b6d5aa5788de2f537a3ec3170eee450a2b35b149,766,master,canceled,0,,686423192,pull_request
686416159,c80a7cfe02a88a7cb3722e95ad59e2df548f7fd9,766,master,passed,78,2020-05-13 04:19:31 UTC,686416160,pull_request
686415762,aa3cd28f872162e572b5ab9cf9154e8abe48bbfe,766,master,passed,77,2020-05-13 04:17:13 UTC,686415763,pull_request
686413461,d0074a37c8586938d4f8ef28d19a1845439f3524,766,master,passed,75,2020-05-13 04:07:47 UTC,686413462,pull_request
686411397,94c4be5ae678c7738c04eb8b1a97b9c7f3e89efc,766,master,passed,76,2020-05-13 03:59:32 UTC,686411398,pull_request
686410597,5904b7103f7b10725111498b79aebd8ad9526d4a,766,master,passed,76,2020-05-13 03:55:26 UTC,686410598,pull_request
686403806,3f4188903e2be9de46949b00e004e8e1b40d44ab,761,master,passed,75,2020-05-13 03:19:37 UTC,686403807,pull_request
686403249,32bc374d7d8b15ed431dfaa64304a974a959ea5e,,master,passed,75,2020-05-13 03:17:23 UTC,686403250,push
686400886,b2c7430303c3869b85463856921cc2d685b679bd,763,master,passed,85,2020-05-13 03:06:14 UTC,686400887,pull_request
686400447,6e410f87111befa7392a3e60f92e483c8f84d85d,,master,passed,74,2020-05-13 03:03:48 UTC,686400448,push
686399817,23f063684e713408dcda334b7feb88f12790e7b7,763,master,passed,79,2020-05-13 03:01:59 UTC,686399818,pull_request
686399267,627454e15a23347518145c1ed149ef7260942814,761,master,passed,76,2020-05-13 02:56:58 UTC,686399268,pull_request
686399105,190d922be7553d01925801aea83acd399f32d262,763,master,passed,76,2020-05-13 02:56:16 UTC,686399106,pull_request
686398990,872a3255ac536cad74146fd16b3a3f336c26ca8d,764,master,passed,80,2020-05-13 02:55:10 UTC,686398991,pull_request
686398865,aeef495892ef35c571184d85f082df4e68cd7590,,master,passed,77,2020-05-13 02:53:26 UTC,686398866,push
686351672,4a108dc75b0758cab70fc142aafaec4b8bb907ea,764,master,failed,71,2020-05-12 23:26:34 UTC,686351673,pull_request
686351573,f24d854c072a6c570ad0115a96e3b6e039d92333,765,master,passed,81,2020-05-12 23:25:36 UTC,686351574,pull_request
686351346,98a598db1556c0f017cae5114496c3562ea36a73,764,master,passed,80,2020-05-12 23:24:48 UTC,686351347,pull_request
686350877,5bb3fc51d2e4c371cc370c1a5ebc5fbcda9ca5ca,763,master,failed,72,2020-05-12 23:22:36 UTC,686350878,pull_request
686348747,3d167fb878d91be1e50f255c6cb5faa56beab32c,764,master,passed,84,2020-05-12 23:14:58 UTC,686348748,pull_request
686341577,83f0925d7d0836754d5e880a3e9bce6a0c5b16df,764,master,passed,79,2020-05-12 22:49:13 UTC,686341578,pull_request
686287091,548f2e22f71eb3f43e0a23eb615fd5cd4fd56e2b,764,master,passed,76,2020-05-12 20:14:54 UTC,686287092,pull_request
686286077,02db6ef77c5f55732692acc810a1f5a1e6bab11a,764,master,passed,85,2020-05-12 20:10:43 UTC,686286078,pull_request
686283904,ebbce83c99cb523e7af2913dd64bbd2c05876510,764,master,passed,78,2020-05-12 20:03:54 UTC,686283905,pull_request
686282367,061135dfb6fc4338cb6dae9464c5910713323ee3,764,master,passed,83,2020-05-12 19:59:56 UTC,686282368,pull_request
686277495,570400e88df2a220624e5fdc09f80d21ac0df6e1,764,master,passed,80,2020-05-12 19:58:27 UTC,686277496,pull_request
686276942,36da1853e20ecbdbc91b3e90501fb29838b62f90,764,master,canceled,0,,686276943,pull_request
686274434,2fdd727dc86420e619003325ac194d19586cfd48,764,master,passed,79,2020-05-12 19:40:13 UTC,686274435,pull_request
686186640,d369ca105bc763d33a41bee4a80beeafc513e403,764,master,failed,77,2020-05-12 16:10:39 UTC,686186641,pull_request
686141582,5b2aceb4830c041ed6e57256c0a9abbdab862ed6,761,master,failed,66,2020-05-12 14:28:14 UTC,686141583,pull_request
685947443,7f9d4d3271cf152698125a77cde1e4c5b5b8a7f0,761,master,failed,70,2020-05-12 03:52:17 UTC,685947444,pull_request
685946964,e162457595ca76c2cea9c0f31ea20f7db58c6239,763,master,failed,71,2020-05-12 03:49:01 UTC,685946965,pull_request
685848416,4cc7385937fdd5e5c19ed35f451fc31dab31fd03,761,master,failed,72,2020-05-11 21:08:36 UTC,685848417,pull_request
