tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
369202109,369202110,1016,30c2257a5aeeececa45d034e77677bf47029988a,python,ok,4,python,pytest,true,false,780,0,780,0,,,,"",218.67,
369202109,369202111,1016,30c2257a5aeeececa45d034e77677bf47029988a,python,ok,4,python,pytest,true,false,780,0,780,0,,,,"",203.45,
369202109,369202112,1016,30c2257a5aeeececa45d034e77677bf47029988a,python,ok,4,python,pytest,true,false,780,0,780,0,,,,"",199.0,
369202109,369202113,1016,30c2257a5aeeececa45d034e77677bf47029988a,python,ok,4,python,pytest,true,false,780,0,780,0,,,,"",235.33,
369215049,369215050,1017,23a93e732efff908669cf78a969feb669e310eb9,python,ok,4,python,pytest,true,false,780,0,780,0,,,,"",262.28,
369215049,369215051,1017,23a93e732efff908669cf78a969feb669e310eb9,python,ok,6,python,pytest,true,false,780,0,780,0,,,,"",196.81,
369215049,369215052,1017,23a93e732efff908669cf78a969feb669e310eb9,python,ok,4,python,pytest,true,false,780,0,780,0,,,,"",209.46,
369215049,369215053,1017,23a93e732efff908669cf78a969feb669e310eb9,python,ok,4,python,pytest,true,false,780,0,780,0,,,,"",227.54,
369226657,369226658,1018,8a9d1dd4499cb23ffdb10768205751ff2636acc7,python,ok,5,python,pytest,true,false,780,0,780,0,,,,"",223.56,
369226657,369226659,1018,8a9d1dd4499cb23ffdb10768205751ff2636acc7,python,ok,5,python,pytest,true,false,780,0,780,0,,,,"",186.22,
369226657,369226660,1018,8a9d1dd4499cb23ffdb10768205751ff2636acc7,python,ok,5,python,pytest,true,false,780,0,780,0,,,,"",190.96,
369226657,369226661,1018,8a9d1dd4499cb23ffdb10768205751ff2636acc7,python,ok,5,python,pytest,true,false,780,0,780,0,,,,"",345.5,
369240567,369240568,1019,6c4d7db9ecdaaf643806406afa3c4a83fd984ae3,python,ok,4,python,pytest,true,false,769,0,769,0,,,,"",233.88,
369240567,369240569,1019,6c4d7db9ecdaaf643806406afa3c4a83fd984ae3,python,ok,8,python,pytest,true,false,769,0,769,0,,,,"",226.29,
369240567,369240570,1019,6c4d7db9ecdaaf643806406afa3c4a83fd984ae3,python,ok,7,python,pytest,true,false,769,0,769,0,,,,"",203.19,
369240567,369240571,1019,6c4d7db9ecdaaf643806406afa3c4a83fd984ae3,python,ok,5,python,pytest,true,false,769,0,769,0,,,,"",261.24,
369240848,369240849,1020,34b8b39fb6c603216a391d7c0ad11a526c7cb152,python,ok,5,python,pytest,true,false,780,0,780,0,,,,"",212.1,
369240848,369240850,1020,34b8b39fb6c603216a391d7c0ad11a526c7cb152,python,ok,8,python,pytest,true,false,780,0,780,0,,,,"",284.66,
369240848,369240851,1020,34b8b39fb6c603216a391d7c0ad11a526c7cb152,python,ok,9,python,pytest,true,false,780,0,780,0,,,,"",255.66,
369240848,369240852,1020,34b8b39fb6c603216a391d7c0ad11a526c7cb152,python,ok,5,python,pytest,true,false,780,0,780,0,,,,"",214.92,
369243284,369243285,1021,cffe284ca9cdde037d85f4a7864e60a9c25e11e0,python,ok,6,python,pytest,true,false,779,0,779,0,,,,"",289.99,
369243284,369243286,1021,cffe284ca9cdde037d85f4a7864e60a9c25e11e0,python,ok,6,python,pytest,true,false,779,0,779,0,,,,"",235.56,
369243284,369243287,1021,cffe284ca9cdde037d85f4a7864e60a9c25e11e0,python,ok,5,python,pytest,true,false,779,0,779,0,,,,"",212.11,
369243284,369243288,1021,cffe284ca9cdde037d85f4a7864e60a9c25e11e0,python,ok,7,python,pytest,true,false,779,0,779,0,,,,"",380.47,
369251125,369251126,1022,d38a703651389ae81f65a515ea88b94d0323f192,python,ok,6,python,pytest,true,false,779,0,779,0,,,,"",235.81,
369251125,369251127,1022,d38a703651389ae81f65a515ea88b94d0323f192,python,ok,7,python,pytest,true,false,779,0,779,0,,,,"",219.94,
369251125,369251128,1022,d38a703651389ae81f65a515ea88b94d0323f192,python,ok,10,python,pytest,true,false,779,0,779,0,,,,"",240.34,
369251125,369251129,1022,d38a703651389ae81f65a515ea88b94d0323f192,python,ok,8,python,pytest,true,false,779,0,779,0,,,,"",243.82,
369844102,369844103,1023,959581d41ded48a54b085acb6fc7de9237f61822,python,ok,4,python,pytest,true,false,779,0,779,0,,,,"",225.64,
369844102,369844104,1023,959581d41ded48a54b085acb6fc7de9237f61822,python,ok,5,python,pytest,true,false,779,0,779,0,,,,"",211.9,
369844102,369844105,1023,959581d41ded48a54b085acb6fc7de9237f61822,python,ok,5,python,pytest,true,false,779,0,779,0,,,,"",248.6,
369844102,369844106,1023,959581d41ded48a54b085acb6fc7de9237f61822,python,ok,8,python,pytest,true,false,779,0,779,0,,,,"",260.81,
370214438,370214439,1024,97e2fa5e9c39f1bc19d543e2961c185b472d3146,python,ok,11,python,pytest,true,false,779,0,779,0,,,,"",228.89,
370214438,370214440,1024,97e2fa5e9c39f1bc19d543e2961c185b472d3146,python,ok,7,python,pytest,true,false,779,0,779,0,,,,"",236.4,
370214438,370214441,1024,97e2fa5e9c39f1bc19d543e2961c185b472d3146,python,ok,7,python,pytest,true,false,779,0,779,0,,,,"",231.06,
370214438,370214442,1024,97e2fa5e9c39f1bc19d543e2961c185b472d3146,python,ok,10,python,pytest,true,false,779,0,779,0,,,,"",308.22,
370496270,370496271,1025,ec0fa9a085093e1ae3de6dd4e889256b368e58be,python,ok,7,python,pytest,true,false,781,0,781,0,,,,"",219.97,
370496270,370496272,1025,ec0fa9a085093e1ae3de6dd4e889256b368e58be,python,ok,9,python,pytest,true,false,781,0,781,0,,,,"",392.42,
370496270,370496273,1025,ec0fa9a085093e1ae3de6dd4e889256b368e58be,python,ok,9,python,pytest,true,false,781,0,781,0,,,,"",238.67,
370496270,370496274,1025,ec0fa9a085093e1ae3de6dd4e889256b368e58be,python,ok,9,python,pytest,true,false,781,0,781,0,,,,"",383.29,
370700323,370700326,1026,0b9ad6ecc56da44289f0179d5025757186ef99cf,python,ok,7,python,pytest,true,false,781,0,781,0,,,,"",299.24,
370700323,370700327,1026,0b9ad6ecc56da44289f0179d5025757186ef99cf,python,ok,6,python,pytest,true,false,781,0,781,0,,,,"",281.49,
370700323,370700328,1026,0b9ad6ecc56da44289f0179d5025757186ef99cf,python,ok,5,python,pytest,true,false,781,0,781,0,,,,"",208.06,
