build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
731675197,4d6835909e77d92222c344addcfb9b66bcc06fd5,15,master,errored,26,2020-09-30 17:22:14 UTC,731675198,pull_request
719004856,799ae806075a6278c200d038827c8c6bb92c3173,14,master,errored,25,2020-08-18 15:37:26 UTC,719004857,pull_request
718487581,9b2e525935bb61494e74525377e1d42f1d816ea8,13,master,errored,25,2020-08-17 02:52:12 UTC,718487582,pull_request
311369204,735ec5b1ab416d0ab662c5e06c25746f97d08fbb,7,master,failed,39,2017-12-04 15:34:13 UTC,311369205,pull_request
225593994,00762e9ee9e5713cb61ca8734236d05d6e424da9,,master,passed,54,2017-04-25 12:57:32 UTC,225593995,push
225536126,f9a267a93f95f0cd49a0f5248d4124ac728d2a0f,5,master,failed,50,2017-04-25 09:37:37 UTC,225536127,pull_request
94655324,a46650cb7125530983d3ebba3db2321d6546b035,,master,passed,46,2015-12-03 15:12:34 UTC,94655325,push
46570309,7fba2b270fd3dcaa60bb30222def1b137ff349c5,,master,passed,43,2015-01-10 18:46:42 UTC,46570310,push
46414038,545127d4a4b6bb5e4dddbbc6e3e4ff939ae16568,,master,passed,35,2015-01-09 07:40:01 UTC,46414039,push
46411236,18695bf405b0691e976b11fbfdf81c263def2ff5,,master,passed,33,2015-01-09 06:47:17 UTC,46411237,push
46411166,06a948b2159d8a22dd97387690e0929b0707087a,,part30,passed,46,2015-01-09 06:45:49 UTC,46411167,push
46408808,06a948b2159d8a22dd97387690e0929b0707087a,,master,passed,35,2015-01-09 05:51:14 UTC,46408809,push
46408563,711760f9c9658e1229e9354de2fe5b0629bffb22,,master,passed,36,2015-01-09 05:48:45 UTC,46408564,push
46408510,336d5f3d414c0bffecbe6d8a4b502e75a7f550ee,,master,failed,25,2015-01-09 05:44:23 UTC,46408511,push
46407858,7870bf131c7b414fc20d6a55604c71ba61ed358e,,master,failed,4,2015-01-09 05:31:57 UTC,46407859,push
46246823,35f4b9202d1fe0957dde24bb8c7b52b0f7f74a06,,master,passed,40,2015-01-07 21:37:03 UTC,46246824,push
46245697,f26f9259000a0298b164fa096f803feb856143ce,,master,passed,51,2015-01-07 21:28:57 UTC,46245698,push
46245247,9b0c07795c4d8f8cb1f9e42c299722383c69397c,,master,failed,31,2015-01-07 21:24:55 UTC,46245248,push
46244317,779a1f76efbdd78278f8347c7e35d72d92ca0741,,master,failed,35,2015-01-07 21:16:31 UTC,46244318,push
46243417,98fdf7a54020538ea69ad68cb789f6b00adb0c84,,master,failed,33,2015-01-07 21:09:18 UTC,46243418,push
46242190,ed74d5fa76d1ebfb08c47e1f7007c63f187d0fc0,,master,failed,28,2015-01-07 21:05:51 UTC,46242191,push
46241976,b2283c151aa3267d909c5014277fb2e83fe69779,,master,failed,32,2015-01-07 20:59:07 UTC,46241977,push
