tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
661363226,661363227,1011,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,pytest,true,false,44,0,44,0,,,,"",0.81,
661363226,661363228,1011,40440c85763a29083e8823472bb205763f96b473,python,broken,1,python,"",false,,,,,,,,,"",,
661363226,661363229,1011,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,"",false,,,,,,,,,"",,
662277423,662277424,1012,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,pytest,true,false,44,0,44,0,,,,"",0.76,
662277423,662277425,1012,40440c85763a29083e8823472bb205763f96b473,python,broken,1,python,"",false,,,,,,,,,"",,
662277423,662277426,1012,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,"",false,,,,,,,,,"",,
662596980,662596981,1013,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,pytest,true,false,44,0,44,0,,,,"",0.74,
662596980,662596982,1013,40440c85763a29083e8823472bb205763f96b473,python,broken,1,python,"",false,,,,,,,,,"",,
662596980,662596983,1013,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,"",false,,,,,,,,,"",,
662901389,662901390,1014,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,pytest,true,false,44,0,44,0,,,,"",0.72,
662901389,662901391,1014,40440c85763a29083e8823472bb205763f96b473,python,broken,1,python,"",false,,,,,,,,,"",,
662901389,662901392,1014,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,"",false,,,,,,,,,"",,
663341512,663341513,1015,40440c85763a29083e8823472bb205763f96b473,python,ok,1,python,pytest,true,false,44,0,44,0,,,,"",0.72,
