tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
54080692,54080693,10,2620d13efab14ea9a0a7b3db8a840abf31d0ea4b,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54081695,54081696,11,bec93e370d7d947fd46e59a6fa449321d63211fb,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54082096,54082097,12,dd63ab471f7a795492f14008cdeeffa20d9ff575,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54369560,54369561,13,cba26f31f7f1a15243b08c6ca4ef126b781427ee,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54370912,54370913,14,1dae56fd305d302ec1efb6e7a5098e3e5a105b7e,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54373552,54373553,15,a83e25b210550d4933ff21676baa35cd9886e214,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54416590,54416591,16,a09ff1e413a7d300627ee4ba228e4c98c4603e4a,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54417388,54417389,17,dfb6c7863595fc2131a8256e032da4bbc7168a9f,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54432652,54432653,18,f3972661a1a730a5ec3e49ff84b07e604484ee66,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54433288,54433289,19,d261ecf9bd90963a6073e2398568a82b28786339,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
37717650,37717651,1,8062fc55cd1aac9eba613d2a6ce7596efc08256f,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
54433433,54433434,20,ea233a6c7a2f68b49b65bfd2166dec73546fa9de,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54435053,54435054,21,e2b97a42aeb10dd347189ee1a178d87151ed8d8f,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54435408,54435409,22,7e807a709deb1bb399b403c79c74033b3c050ae5,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
54435414,54435415,23,89f4313a6c1704cec391495e5becf442d7b327b5,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
37717683,37717684,2,8062fc55cd1aac9eba613d2a6ce7596efc08256f,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
37717713,37717714,3,ea53111601320eba3bfee13a25c9b878e1a443d8,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
37717752,37717753,4,1b01390e8dde7147a7fba32e67aef26c84c6f532,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
37717837,37717838,5,f1f7cad3ba3a835de43d72b26212c8ff7f632c4b,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
37718387,37718388,6,05e79707c684b3a841e5f466f3d464f73f0816d6,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
37718414,37718415,7,91a03bcdde268eb489fcb9263e8bfd2d01d1b695,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
37718466,37718467,8,67299ff2e618aa0bd8043c5984ac9aeea6b852f8,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
37718488,37718489,9,b3a76640483cf287a83dd4e9bc648ae7a81d8889,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
