build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
580544596,79510055cad6164fcc754dfa0ee032f97383a72c,201,master,errored,35,2019-09-04 04:37:35 UTC,580544597,580544599,pull_request
535550846,7640f9ba480d35223a4458164796fcdcf2bc5bab,198,master,errored,83,2019-05-21 23:46:17 UTC,535550847,535550848,pull_request
483418347,a9f8840b899f6242da72ac5ffe4f1bfb68e17159,197,master,errored,94,2019-01-23 14:13:05 UTC,483418348,483418349,pull_request
468910939,7d0acfd6cd6d1866771d5bc50e5e572b8c811fe7,195,master,errored,87,2018-12-17 08:43:42 UTC,468910940,468910941,pull_request
458290302,f169bed496d09453e647e8c2f10669b837356aa6,194,master,passed,523,2018-11-22 07:47:29 UTC,458290303,458290304,pull_request
458284606,cf606276e17635633b86717c79f80dc259a390d4,194,master,failed,500,2018-11-22 07:19:50 UTC,458284607,458284608,pull_request
458283588,c28b3b04c6c0b3770429cf676e5731a229dd4df2,194,master,failed,73,2018-11-22 07:15:06 UTC,458283589,458283590,pull_request
458279238,9a3c69599d309ccbd7bce4a95e8b349a82236067,194,master,errored,51,2018-11-22 06:51:05 UTC,458279239,458279240,pull_request
407986196,6ec53fa0c77b6e8e182d16d991c2019d92e20968,192,master,errored,36,2018-07-25 09:48:10 UTC,407986197,407986198,pull_request
393144438,85e1d0a4c6e84f4de01a21d913379a4d5e3bffca,191,master,errored,55,2018-06-16 19:45:45 UTC,393144439,393144440,pull_request
392741191,3ffc027310584dd6da1c8d6fea21e895662191bb,191,master,errored,62,2018-06-15 14:32:53 UTC,392741192,392741193,pull_request
392738815,867ff7abd13fb60b8d88570b25096334cac0675d,191,master,errored,53,2018-06-15 14:26:42 UTC,392738816,392738817,pull_request
377123504,3a311cc395d5a4ebdcc986fdaee53a6389bbe66d,189,master,errored,60,2018-05-10 03:33:34 UTC,377123505,377123506,pull_request
368130852,0bad2760066d0ebe3baf00fbc20b1b3408cb1381,182,master,passed,533,2018-04-18 12:44:14 UTC,368130853,368130854,pull_request
363197071,a3d074c023eba90a1f2804e16a932958f59a569f,187,master,errored,67,2018-04-06 16:39:35 UTC,363197072,363197073,pull_request
326317083,3ddddc7ee9fca560ef5915ef56545ac3d5c0209d,184,master,errored,58,2018-01-08 11:18:26 UTC,326317084,326317085,pull_request
311297115,eec09ed276580d938104f26937bfc101f5cae055,182,master,passed,504,2017-12-04 13:09:49 UTC,311297118,311297121,pull_request
311290498,762bbca0eea7d58fdda97ea40f189fc742ad90c1,182,master,failed,80,2017-12-04 12:55:20 UTC,311290499,311290502,pull_request
311288490,dc141f8679112102894a7555ee79bbd92ccf70a5,182,master,failed,63,2017-12-04 12:50:12 UTC,311288491,311288493,pull_request
311286523,6dcc751610b386e9cef7d2cb2baf5e0e30603b8b,182,master,failed,55,2017-12-04 12:45:13 UTC,311286525,311286526,pull_request
311135545,8c1151fd5b9fcd9de27bcd78dc179f83de4bdb32,182,master,errored,90,2017-12-04 05:13:36 UTC,311135546,311135547,pull_request
311134444,30842f75ae60f917172917693b0fa3ca85c54330,181,master,errored,59,2017-12-04 05:08:28 UTC,311134445,311134446,pull_request
311134048,68cb6667357632545d1a3a1c2e30f0d085d45df4,181,master,errored,58,2017-12-04 05:06:41 UTC,311134049,311134050,pull_request
309499509,b3c12585fd1d282ed7d1dd009ab7b0f019a8d3f2,180,master,errored,105,2017-11-30 13:07:56 UTC,309499510,309499511,pull_request
307791251,e4d62386592138c1d7375859a5f3274cd61ab5e7,179,master,errored,48,2017-11-27 08:57:57 UTC,307791252,307791254,pull_request
272988029,38794f1a1c6e5241b3fad654e8d4b78bea1e7911,174,master,passed,492,2017-09-07 17:16:34 UTC,272988031,272988034,pull_request
271975456,c87cc9269e26c3b0281814cbbdae400878bdd8eb,175,master,errored,47,2017-09-05 09:10:19 UTC,271975457,271975458,271975459,pull_request
266736309,0e135367107209eff8748250335b59eb50591f88,174,master,failed,481,2017-08-21 09:45:42 UTC,266736310,266736311,pull_request
266734737,fe65e2ecf584b95b0fbbea69db79ec76ad84798a,174,master,errored,37,2017-08-21 09:40:15 UTC,266734741,266734742,pull_request
266043777,c44169c4f47ceea50cf54a0d7919876664ac84ed,173,master,errored,37,2017-08-18 16:52:18 UTC,266043778,266043779,pull_request
225689401,c50de2943aa5631bef0ac6e9e9719205ea86abbe,169,master,errored,68,2017-04-25 17:15:13 UTC,225689402,225689403,pull_request
208548699,5018dd7a6359315c08ed58c65e389b7ccecb1856,166,master,errored,53,2017-03-07 11:11:03 UTC,208548700,208548701,pull_request
