build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
757811017,3fd394637f5566c4cf6369eecae08c4d27f93cda,,master,errored,1899,2021-02-06 12:41:35 UTC,757811018,757811019,push
757810934,a747d3085fdb07039c06a353d07c1cb7854ea770,,master,passed,1516,2021-02-06 12:31:58 UTC,757810935,757810936,push
757810825,e06583600ca749b171d6848c0f7cdc3c71c2b1dd,,master,passed,1542,2021-02-06 12:29:56 UTC,757810826,757810827,push
756387177,33af4176227a517c24aff64161c6d1804a63aca2,728,master,passed,3068,2021-01-27 09:22:21 UTC,756387179,756387180,pull_request
750994405,e177c6b218698419a79377833e5701d788421371,720,master,passed,1550,2020-12-22 09:22:33 UTC,750994406,750994407,pull_request
749808207,879560955cb7afbdfd1ad6b6e67e2123b31b69c7,719,master,errored,1923,2020-12-15 12:50:19 UTC,749808208,749808209,pull_request
746764446,95be3fccb5df17c467924cf7941ae8dd9bdd1d33,716,master,passed,1512,2020-11-30 15:19:27 UTC,746764447,746764448,pull_request
746256351,084ea6679d6480a25da1264ccb980bc592f73ecc,715,master,failed,265,2020-11-27 12:50:42 UTC,746256352,746256353,pull_request
744796546,1d81ea9bd81da997cbc0552a58cda3fef4da6cd6,714,master,failed,334,2020-11-20 02:41:08 UTC,744796547,744796548,pull_request
744417876,02ad3abafcbad3fbdad59354d0ab86bd33be3f80,712,master,failed,320,2020-11-18 13:24:12 UTC,744417877,744417878,pull_request
702971434,054d83d4bbc71b8c9e38d757728add7fdb01746b,689,master,passed,1530,2020-06-28 21:30:03 UTC,702971435,702971436,pull_request
702967342,a0551708cc4c3b6c39aaafdaa5d15e8f16997e91,689,master,failed,267,2020-06-28 21:11:15 UTC,702967343,702967344,pull_request
702967017,3f10fc31e1ba7809fa43ba9548477aa7b678d420,689,master,failed,277,2020-06-28 21:10:18 UTC,702967018,702967019,pull_request
700756324,c9ac259c224a5822d906ad767aa1ca427707ed4e,687,master,passed,1548,2020-06-22 05:56:45 UTC,700756325,700756326,pull_request
697526130,fb12ae80086699d23465cacbcc6dc5b291dd2af2,,master,passed,1494,2020-06-12 07:59:29 UTC,697526131,697526132,push
697525956,c4c0a4ec352638b939ad8d551230ff5e4e13678f,,master,passed,1507,2020-06-12 07:59:03 UTC,697525957,697525958,push
697362774,7644fa9c58e094d35c1c8b5a8a875360a3a848ba,681,master,passed,1544,2020-06-11 19:40:30 UTC,697362775,697362776,pull_request
697362620,6f036d3a20dfab1aa0e1ef42ba4e0f14f5026682,,install-instructions,passed,1604,2020-06-11 19:35:18 UTC,697362621,697362622,push
697360635,bd95c7bb8eddce397545ab852a2543c2f1f107e3,680,master,passed,1548,2020-06-11 19:29:48 UTC,697360636,697360637,pull_request
697360333,ae0aeb2f2044d3a6285f3a022dae048e7b3ad55e,,zxhn-h168n-ssh-creds,passed,1514,2020-06-11 19:28:52 UTC,697360334,697360335,push
697032674,a4d04dafc4ca795f8a873ee0e3deae774da3d7f3,,master,passed,1528,2020-06-10 22:39:36 UTC,697032675,697032676,push
