build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
233451564,68665f879f965583c261cbe8b9dd0463393b6b3e,,master,failed,33,2017-05-18 00:38:55 UTC,233451565,push
233450668,3b6da45e6247db63685dfaecd5c14a8811feabb1,,ruby,failed,85,2017-05-18 00:35:27 UTC,233450669,push
167308639,153d8c79821cc65295a211a5cbef9d532353aed4,,develop,passed,65,2016-10-13 10:07:57 UTC,167308640,push
167227401,cd9a03fab3dc6b2aebb1505b33f90a7f9c689f23,24,develop,passed,80,2016-10-13 01:12:34 UTC,167227402,pull_request
167226164,c857bd215b1857650006856f98a8a4e8b67c27eb,,develop,passed,62,2016-10-13 01:03:59 UTC,167226165,push
166962315,ab4ee349aaa0a27df7caef30ab40060e83740425,23,develop,passed,70,2016-10-12 06:14:57 UTC,166962316,pull_request
166928175,3b310e0b09426356db6cf8d46f42eed26c7d892e,,develop,passed,66,2016-10-12 01:33:41 UTC,166928176,push
166664459,c4145cebfd861f03a750e10cfc84f996845515c5,22,develop,passed,67,2016-10-11 07:43:39 UTC,166664460,pull_request
166657692,a3db612003d994a87b05abc80583177b197c231a,22,develop,passed,98,2016-10-11 07:14:27 UTC,166657693,pull_request
166648519,bad669c133fa8bc7d1744ce705647df50d59782d,22,develop,passed,87,2016-10-11 06:38:09 UTC,166648520,pull_request
165112980,0987181b6f7b6672b5e3ecf3972705e03ce8af9e,,develop,passed,76,2016-10-05 00:47:55 UTC,165112981,push
164865977,2a9dd1a041005d30a662297f29e302cfa6b60441,19,develop,passed,77,2016-10-04 08:27:04 UTC,164865978,pull_request
164570618,53e607b025f4745be99e31bbb552c9bf573afc0a,19,develop,passed,82,2016-10-03 08:26:03 UTC,164570619,pull_request
164547743,280b1992601446fc4bf9cf58e476cd5c19e73383,19,develop,passed,83,2016-10-03 04:56:12 UTC,164547744,pull_request
164541177,7bd2f9e7e13195096a35590c73bb1781403c923b,,develop,passed,76,2016-10-03 03:48:29 UTC,164541178,push
164540946,cc226c7081c462e153c79df4d78994dceff5b156,21,develop,passed,71,2016-10-03 03:46:16 UTC,164540947,pull_request
164538483,3b6da45e6247db63685dfaecd5c14a8811feabb1,,master,passed,89,2016-10-03 03:21:30 UTC,164538484,push
164537695,dca7ef80a9f03e8b288bba1567ff9fb2674a94b0,19,master,passed,80,2016-10-03 03:14:37 UTC,164537696,pull_request
