tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
472960679,472960680,4677,8b0b72eae0fd1de2fd605c76acf3d22b0f2b48bf,ruby,broken,55,ruby,rspec,true,false,1267,0,1267,0,,,,"",9.99,
472960679,472960681,4677,8b0b72eae0fd1de2fd605c76acf3d22b0f2b48bf,ruby,broken,51,ruby,rspec,true,false,1267,0,1267,0,,,,"",10.12,
472967205,472967206,4678,c0496b31e34cd5c9838f52abf3d2ceb6156de550,ruby,broken,52,ruby,rspec,true,false,1267,0,1267,0,,,,"",10.04,
472967205,472967209,4678,c0496b31e34cd5c9838f52abf3d2ceb6156de550,ruby,broken,55,ruby,rspec,true,false,1267,0,1267,0,,,,"",11.41,
482501693,482501694,4764,416392501afebd81bb4c4357ca23830880f5da24,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
482501693,482501695,4764,416392501afebd81bb4c4357ca23830880f5da24,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
482501693,482501696,4764,416392501afebd81bb4c4357ca23830880f5da24,unknown,unknown,,plain,"",false,,,,,,,,,"",,
482501693,482501697,4764,416392501afebd81bb4c4357ca23830880f5da24,unknown,unknown,,plain,"",false,,,,,,,,,"",,
482502332,482502333,4765,5afec0cee93cf0bbdf1cccc4be011392d173eda5,ruby,unknown,11,ruby,"",false,,,0,,,,,,"",,
482502332,482502334,4765,5afec0cee93cf0bbdf1cccc4be011392d173eda5,ruby,unknown,0,ruby,"",false,,,0,,,,,,"",,
482502332,482502335,4765,5afec0cee93cf0bbdf1cccc4be011392d173eda5,unknown,unknown,,plain,"",false,,,,,,,,,"",,
482503480,482503481,4766,ac5277dc61b3313ae4e6de4da30fca76fb1432e4,ruby,unknown,54,ruby,"",true,false,,0,,,,,,"",,
