build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
719405213,c531722a1124e7414d8159fa0fe35f4386779985,,master,errored,39,2020-08-19 20:42:51 UTC,719405214,push
713293139,58943fc67ed52794705f2a448bdd0d085ea1482a,,master,errored,38,2020-07-30 13:07:18 UTC,713293140,push
711340933,c5bef1a6208963edbafddabc57bce0babbea455d,,master,errored,42,2020-07-24 03:57:27 UTC,711340934,push
710932849,9b42c3e49d9b0472307283f66a0efc0966a72cf0,,master,errored,37,2020-07-22 23:51:05 UTC,710932850,push
710150191,7ccff15e935ef055a118f155c80aaa0601456dbf,,master,errored,43,2020-07-20 20:38:15 UTC,710150192,push
708731108,63fa80f15eba7147559ab307b1cda382d8593a65,,master,errored,38,2020-07-16 13:03:04 UTC,708731109,push
706733301,a5d0d2fda889e8acace3f7fa2bbd05b995d1a720,,master,errored,37,2020-07-10 01:50:26 UTC,706733302,push
700068173,e1f8287472c0e4c1f427d4b8cc78452914afdbbb,,master,errored,35,2020-06-19 13:31:03 UTC,700068174,push
697057809,04d1073544137de77447da8aa00586123194c9cd,,master,errored,38,2020-06-11 00:38:27 UTC,697057810,push
696186362,f5bce9e2b1ee58e59301a57e2a1db4fa0d946f73,,master,errored,39,2020-06-08 19:48:54 UTC,696186363,push
695266852,b88f150bc3e0559bbed0402b2c232809e0933457,,master,errored,39,2020-06-06 00:59:09 UTC,695266853,push
694881818,388dc145c314dcabf693d3664f76a6a5e44f376d,,master,errored,40,2020-06-05 02:45:31 UTC,694881819,push
694870947,7c7ed180252a41b2800f5249fb9d7337c1c9db0d,,master,errored,35,2020-06-05 01:39:31 UTC,694870948,push
686390435,5d395da00c905044963ee191a9fdd9390bc6c0cc,,master,errored,44,2020-05-13 02:11:36 UTC,686390436,push
681775691,7051c7023b10b740cd0afdec08886319d039f351,,master,errored,44,2020-05-01 02:11:38 UTC,681775692,push
681768685,b74fab3ec0840b938060661a9b5ded40bd88ee60,,master,errored,48,2020-05-01 01:41:45 UTC,681768686,push
681411159,4e74c1bd3c8f9b0e13cc02906f9b538e0c97bae3,,master,errored,46,2020-04-30 09:53:23 UTC,681411160,push
673234284,6b262f8d75b24a27cba714570c62aee34fd3a077,,master,errored,45,2020-04-10 00:28:54 UTC,673234285,push
672444722,5635117159e8c561d2bfdef062deee0d6071f534,,master,errored,43,2020-04-08 10:06:10 UTC,672444723,push
669510999,ea6789b6d089a223089a6dc5655bf7011d564ccd,,master,errored,50,2020-04-01 02:07:24 UTC,669511000,push
669108287,9b285280679894782a0966e3b9d56ebc61d2bd0f,,master,errored,43,2020-03-31 07:02:34 UTC,669108288,push
669032809,148b1bcd92dff245ec451e98e41ab666fa622a01,,master,errored,48,2020-03-31 00:53:36 UTC,669032810,push
626699458,b0f0ebdc2d0b390a9ff960b1d8cc9fe689b8cfe6,,master,errored,44,2019-12-18 13:47:52 UTC,626699459,push
624422139,29dc0cc25629e0c2ede43ec0cf08f21659943b49,,master,errored,53,2019-12-13 01:22:32 UTC,624422140,push
