tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
48398534,48398535,106,7fa8a825a31dd426ff4e48fd9a37375218da5f4e,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",15.03,
48398933,48398935,107,078c0ca21f737b9e1a72816154089c88b34a86b1,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",17.56,
48398940,48398941,108,078c0ca21f737b9e1a72816154089c88b34a86b1,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",26.27,
48399116,48399117,109,63c62cfdf516a10bf7eae67c384537d00ca9bd04,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",11.47,
38485671,38485672,10,8b0a3ecae331d92d732904e4074004d07bcfac99,ruby,ok,0,ruby,rspec,true,false,11,0,11,0,,,,"",53.3,
48399118,48399119,110,63c62cfdf516a10bf7eae67c384537d00ca9bd04,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",21.42,
48399757,48399758,111,413eb79751555727deb8fba7919b9470a2225974,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",15.01,
48399759,48399760,112,413eb79751555727deb8fba7919b9470a2225974,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",14.05,
48399912,48399913,113,b5243b5a2557e5edb21218e1b2e106c960c7bd22,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",31.31,
48399929,48399930,114,b5243b5a2557e5edb21218e1b2e106c960c7bd22,ruby,broken,0,ruby,rspec,true,true,8,1,9,0,,,,"",14.33,
48400232,48400233,115,53108b2d695cf27d8eaed9d67e1c1c7e6f41d7c6,ruby,broken,0,ruby,rspec,true,true,8,1,9,0,,,,"",20.25,
48400236,48400237,116,53108b2d695cf27d8eaed9d67e1c1c7e6f41d7c6,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",14.99,
48400563,48400564,117,8893221ba3ad74e88474383429262613aa167fd5,ruby,unknown,1,ruby,rspec,true,true,8,1,9,0,,,,"",53.95,
48400995,48400996,118,53108b2d695cf27d8eaed9d67e1c1c7e6f41d7c6,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",21.24,
48543769,48543770,119,8b03b9b5162f2c96bed3802f89385047d3f15cac,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",19.6,
38485874,38485875,11,a87c19685c7b1c1a54b163a3e5d82166680709c3,ruby,ok,0,ruby,rspec,true,false,11,0,11,0,,,,"",0.21,
48562915,48562916,120,dc1c317b04512d5200d1b55a8d3137486e7b8a1a,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",0.2,
48562917,48562918,121,d0336dce9970355caef25de1848ec1daafa0eec8,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",54.48,
48562919,48562920,121,cf4fa87d23af0388c7dcdae3ecd7289bf752f254,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",46.4,
48562921,48562924,122,b889fdbd7ba63cb769e44b221111794d0ca8c75a,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",9.5,
48562922,48562923,122,a94829ff1ab8d6c5f4674278c2615b27fde80a8d,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",37.38,
48562925,48562928,122,dc11e6e289867e9a2b903dbed345b654941874f6,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",32.78,
48562926,48562927,122,afe5844261bc728c64f4fb0782539ef19b19cf04,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",24.64,
48562929,48562930,123,8d5f580a8945ccfae7a8129243aa1095f4cd3103,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",28.8,
48562931,48562932,123,565d1de78f6bfe34102c0c285023a56f18ae0cb0,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",21.05,
48562933,48562934,124,565d1de78f6bfe34102c0c285023a56f18ae0cb0,ruby,unknown,1,ruby,rspec,true,true,8,1,9,0,,,,"",36.41,
48562935,48562936,124,2b30880b4a4409680537f676c5debdc46d04542a,ruby,unknown,0,ruby,rspec,true,true,8,1,9,0,,,,"",19.58,
38485997,38485998,12,8b0a3ecae331d92d732904e4074004d07bcfac99,ruby,ok,0,ruby,rspec,true,false,11,0,11,0,,,,"",46.2,
48623454,48623455,134,867a5230cccc0099023f423dce740fc4e28044fc,ruby,unknown,0,ruby,rspec,true,true,9,1,10,0,,,,"",2.41,
48626458,48626459,135,0cf3ef0847e305190920ffc44b456dccdf7bdf2a,ruby,unknown,0,ruby,rspec,true,true,18,1,19,0,,,,"",48.1,
48632861,48632862,136,6cd4017407f9a6e6e6da126f126703f114f6013e,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",51.8,
48688593,48688594,137,9409c14fae39fd2bfa8bfc9c74d205bbb111dcd0,ruby,unknown,2,ruby,"",false,,,0,,,,,,"",,
48691310,48691311,138,4c84bc409243ddb5cef169787ab07bd3bd64ac12,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
48692338,48692340,139,31026fdeecb77bdb75bf62bfbf05a7a39e68a9f1,ruby,unknown,1,ruby,rspec,true,false,16,0,16,0,,,,"",30.6,
38486441,38486442,13,a87c19685c7b1c1a54b163a3e5d82166680709c3,ruby,ok,0,ruby,rspec,true,false,11,0,11,0,,,,"",0.7,
48694278,48694279,140,8e5def2043053d443f087592571d5ae64de25471,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",39.6,
48694302,48694303,141,ea6df420fcb4b022cfda170ab97fe4bf607b5bd2,ruby,unknown,1,ruby,rspec,true,false,16,0,16,0,,,,"",0.72,
48694304,48694305,141,66279bdb69b8b49f56eaa92551accf5f30f33c69,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",30.4,
48694306,48694308,141,875c6d59b3b6759e2df24627aa3ac813e61bdd7d,ruby,unknown,6,ruby,rspec,true,false,16,0,16,0,,,,"",24.4,
48694307,48694309,142,17cae7dc7866c1526e9a87c6eb97dcf460916c77,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",21.4,
48694310,48694311,142,5d438fd1bb41dec7ba5aeec32ae30750d353f8bf,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",38.5,
48694312,48694313,143,14c0ed1ceb453d7561b0d1a058125cfbdb8a6ba0,ruby,unknown,1,ruby,rspec,true,false,16,0,16,0,,,,"",49.2,
48694314,48694316,143,2a6a77ee5fc74f1cc71245f7674e304754c44887,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",29.9,
48694315,48694317,143,875c6d59b3b6759e2df24627aa3ac813e61bdd7d,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",31.8,
48694318,48694319,143,efa8f11c3b2791c849e6696cefa4e9f61de39cef,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",52.5,
48694320,48694322,144,b8559be48954101b69d1f915a5bafc9556b8cf06,ruby,unknown,0,ruby,rspec,true,false,16,0,16,0,,,,"",38.9,
48694321,48694323,144,17de69c628419efd224cb0873a54ed41e061ef7d,ruby,unknown,2,ruby,rspec,true,false,16,0,16,0,,,,"",48.3,
