build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761067676,7f32299aa6f0ad031dee612540b40bcb95b98bb8,346,master,errored,308,2021-03-02 03:54:24 UTC,761067677,761067678,pull_request
761067661,5544a2a965af56323de109dae95c68ba26ed44d9,,dependabot/bundler/activerecord-5.2.4.5,errored,304,2021-03-02 03:54:21 UTC,761067662,761067663,push
759147255,292bbf478562facd02e032f69f865e0a215b413e,345,master,passed,529,2021-02-16 04:25:06 UTC,759147256,759147257,pull_request
759147250,074d32b5e960064f2a2721b5c6e44a2d6695fe07,,snyk-fix-65401fa5618cb7c048bb41066fc26bfd,passed,536,2021-02-16 04:25:07 UTC,759147251,759147252,push
759147245,1bd5c3385ec0d4a863d3ec5cb2586fe05039ebb5,,snyk-fix-65401fa5618cb7c048bb41066fc26bfd,canceled,0,,759147246,759147247,push
752924994,f95e734084792bb747eb583151932d020d007912,344,master,passed,532,2021-01-05 04:23:33 UTC,752924995,752924996,pull_request
752924986,342b5690bf7622c03440667337033af5bbf0c8ed,,snyk-fix-6ff18d62c4878007004c5b7602162910,passed,529,2021-01-05 04:23:28 UTC,752924987,752924988,push
752924981,1bd5c3385ec0d4a863d3ec5cb2586fe05039ebb5,,snyk-fix-6ff18d62c4878007004c5b7602162910,canceled,0,,752924982,752924983,push
748933466,baa5d72520e4d1c15900dc5277d3c63d4f21fdc6,343,master,passed,525,2020-12-11 05:57:47 UTC,748933467,748933468,pull_request
748933461,a781ab87841303883170938ba6abe71b36226c5c,,dependabot/npm_and_yarn/ini-1.3.7,passed,559,2020-12-11 05:54:56 UTC,748933462,748933463,push
726236856,ddcf29000bfbc52dfb2e491213f0227687958eea,340,master,passed,527,2020-09-11 11:08:46 UTC,726236857,726236858,pull_request
726236853,be06ea025425a320e0d13a8cff73e2ab52272599,,dependabot/npm_and_yarn/node-fetch-2.6.1,passed,529,2020-09-11 11:08:43 UTC,726236854,726236855,push
724974204,2c1d1e9328dc83d9fc387d686a31e6f58c2f77d7,339,master,passed,539,2020-09-07 15:40:55 UTC,724974205,724974206,pull_request
