tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
8182537,8182538,100,7cd92e1700b3321542fa8facdec9b9e4391231eb,ruby,ok,,ruby,rspec,true,false,145,0,145,0,,,,"",0.17,
8182537,8182539,100,7cd92e1700b3321542fa8facdec9b9e4391231eb,ruby,ok,,ruby,rspec,true,false,145,0,145,0,,,,"",0.11,
8182537,8182540,100,7cd92e1700b3321542fa8facdec9b9e4391231eb,java,ok,,java-ant,"",false,,,,,,,,,"",,
8182537,8182541,100,7cd92e1700b3321542fa8facdec9b9e4391231eb,ruby,ok,,ruby,rspec,true,false,145,0,145,0,,,,"",0.5,
8182650,8182651,101,7cd92e1700b3321542fa8facdec9b9e4391231eb,ruby,ok,,ruby,rspec,true,false,145,0,145,0,,,,"",0.12,
8182650,8182652,101,7cd92e1700b3321542fa8facdec9b9e4391231eb,ruby,ok,,ruby,rspec,true,false,145,0,145,0,,,,"",0.08,
8182650,8182653,101,7cd92e1700b3321542fa8facdec9b9e4391231eb,java,ok,,java-ant,"",false,,,,,,,,,"",,
8182650,8182654,101,7cd92e1700b3321542fa8facdec9b9e4391231eb,ruby,ok,,ruby,rspec,true,false,145,0,145,0,,,,"",0.45,
8184390,8184391,102,319ac4daa63b3aeb342aa2dde4e1cbca750e7c46,ruby,ok,,ruby,rspec,true,false,146,0,146,0,,,,"",0.1,
8184390,8184392,102,319ac4daa63b3aeb342aa2dde4e1cbca750e7c46,ruby,ok,,ruby,rspec,true,false,146,0,146,0,,,,"",0.07,
8184390,8184393,102,319ac4daa63b3aeb342aa2dde4e1cbca750e7c46,java,ok,,java-ant,"",false,,,,,,,,,"",,
8184390,8184394,102,319ac4daa63b3aeb342aa2dde4e1cbca750e7c46,ruby,ok,,ruby,rspec,true,false,146,0,146,0,,,,"",0.35,
8208749,8208750,103,77fb231fc3dec7296ec96e8589eab5a7d81d20d1,ruby,ok,,ruby,rspec,true,false,147,0,147,0,,,,"",0.11,
8208749,8208751,103,77fb231fc3dec7296ec96e8589eab5a7d81d20d1,ruby,ok,,ruby,rspec,true,false,147,0,147,0,,,,"",0.09,
8208749,8208752,103,77fb231fc3dec7296ec96e8589eab5a7d81d20d1,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
8208749,8208753,103,77fb231fc3dec7296ec96e8589eab5a7d81d20d1,unknown,unknown,,plain,"",false,,,,,,,,,"",,
