tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
35164387,35164388,100,3b2c1e207ec593e55f0102b504bb458d2ed607ef,ruby,ok,,ruby,rspec,true,false,28,0,28,0,,,,"",1.28,
35164387,35164389,100,3b2c1e207ec593e55f0102b504bb458d2ed607ef,ruby,ok,,ruby,rspec,true,false,28,0,28,0,,,,"",1.21,
35164387,35164390,100,3b2c1e207ec593e55f0102b504bb458d2ed607ef,ruby,ok,,ruby,rspec,true,false,28,0,28,0,,,,"",2.72,
35166001,35166002,101,0acf001cceecc22b15cede049d0ec7c0a2cfe790,ruby,ok,,ruby,rspec,true,false,28,0,28,0,,,,"",2.59,
35166001,35166003,101,0acf001cceecc22b15cede049d0ec7c0a2cfe790,ruby,ok,,ruby,rspec,true,false,28,0,28,0,,,,"",1.59,
35166001,35166004,101,0acf001cceecc22b15cede049d0ec7c0a2cfe790,ruby,ok,,ruby,rspec,true,false,28,0,28,0,,,,"",1.81,
35168376,35168377,102,7f37cd3e9d243c82d35b9b276ad3fde826fb3547,ruby,broken,,ruby,rspec,true,true,28,2,30,0,,,,"",2.08,
35168376,35168378,102,7f37cd3e9d243c82d35b9b276ad3fde826fb3547,ruby,broken,,ruby,rspec,true,true,28,2,30,0,,,,"",1.27,
35168376,35168379,102,7f37cd3e9d243c82d35b9b276ad3fde826fb3547,ruby,broken,,ruby,rspec,true,true,28,2,30,0,,,,"",1.63,
35174536,35174537,103,8071e45f687542e6a2de6b788364ef27d94b9bb0,ruby,broken,,ruby,rspec,true,true,29,1,30,0,,,,"",1.38,
35174536,35174538,103,8071e45f687542e6a2de6b788364ef27d94b9bb0,ruby,broken,,ruby,rspec,true,true,29,1,30,0,,,,"",1.98,
35174536,35174539,103,8071e45f687542e6a2de6b788364ef27d94b9bb0,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
