build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761251087,eec6af436afce46a65264ce9766cad6aad3d05dc,,master,errored,47,2021-03-03 07:06:46 UTC,761251088,push
706712912,0ba1dedab0e10ceb165a80117475be2c5a700f2e,266,master,failed,75,2020-07-09 23:54:45 UTC,706712913,pull_request
706711126,d1c9983aa4332d2adf8678d76313b5f080e2241a,265,master,passed,77,2020-07-09 23:44:45 UTC,706711127,pull_request
700152345,6c8c9f3b1514fc18e116cea061752f70b70a165d,259,master,failed,80,2020-06-19 17:13:15 UTC,700152346,pull_request
699533076,37e403a7c6d44f585b56a086245e41566a8d6fe1,,master,failed,75,2020-06-18 01:11:38 UTC,699533077,push
699028639,1aea9c3cb660feada1b69f9fbfbe71ff8050f33a,264,master,failed,82,2020-06-16 18:06:29 UTC,699028640,pull_request
697425934,4ebc8d2eadb0fa0a01317d4c56b84c3af988b219,,master,failed,79,2020-06-11 23:05:21 UTC,697425935,push
696643468,881c97dc671a04ede6eee609a88e477b14c50666,263,master,failed,77,2020-06-09 22:14:06 UTC,696643469,pull_request
696244565,bcc5b4e6522043b4ca401e90858811ce632822f7,263,master,passed,79,2020-06-08 22:47:30 UTC,696244566,pull_request
696237269,e7ee0b64a09afb2d87056681123f0e04e6663c70,263,master,passed,81,2020-06-08 22:21:10 UTC,696237270,pull_request
696236298,181175795ec31022723cdffa96b49f5c22828946,263,master,passed,83,2020-06-08 22:17:25 UTC,696236299,pull_request
694429885,5f9af3d7014f49a499d6ab027238b7ae2d0cddad,263,master,failed,82,2020-06-03 21:30:01 UTC,694429886,pull_request
690751884,e3eac5b8568fdfcfbd204da061af3c64f4d72860,261,master,passed,82,2020-05-24 23:31:43 UTC,690751885,pull_request
681789087,a78590ce8c5544082cf53b1c48b541b43babc217,260,master,passed,85,2020-05-01 03:09:18 UTC,681789088,pull_request
676554591,151d265f93a96199c010ea98f56fb133ec58b44f,259,master,failed,79,2020-04-18 12:15:33 UTC,676554592,pull_request
665100848,d01856c9dd1e75538c30923ae430cdf501475b69,258,master,failed,80,2020-03-21 02:34:20 UTC,665100849,pull_request
662953177,9214cd027422df8dc31eb67c60032fbbf8fc100b,,master,passed,78,2020-03-16 07:44:07 UTC,662953178,push
654003167,5a8f9abed8b7cd61fa39ab3ff78ce0120b0fad4a,256,master,errored,163,2020-02-23 06:55:23 UTC,654003168,654003169,pull_request
645368077,81180ea258df044afa55655724a47b3b3f4016e0,248,master,passed,80,2020-02-03 09:41:14 UTC,645368078,pull_request
645368054,0456dcb58f62191a1eb39a0fd3913c04f98310e7,,v2.2,failed,85,2020-02-03 09:41:11 UTC,645368055,push
636599323,ed82d37da7bc61c3aeb79f7e8a23830cd2e54214,253,master,errored,170,2020-01-13 22:23:26 UTC,636599324,636599325,pull_request
626701427,28a8d87ea7c053d8eb3a4a1fc147ade4b285eb67,251,v2.2,passed,90,2019-12-18 13:52:05 UTC,626701430,pull_request
626700263,1af1bc549a8e40fc8bc599a595fca453d4293dd3,251,v2.2,passed,106,2019-12-18 13:49:39 UTC,626700264,pull_request
626317100,d007554a06dd7d66611e7f63b05bf9edc860b245,251,v2.2,passed,99,2019-12-17 17:52:23 UTC,626317101,pull_request
626299214,f1d396142c86033289bc09f522a15cdd83ee6ba8,251,v2.2,passed,89,2019-12-17 17:10:42 UTC,626299215,pull_request
626298923,7dd92c15d82703e6aa51327b08affbe09c4d77f4,251,v2.2,passed,104,2019-12-17 17:10:24 UTC,626298924,pull_request
626242567,483f34e19fa5712e6361487761ca9da2a73a2730,251,v2.2,passed,75,2019-12-17 15:13:25 UTC,626242568,pull_request
625872013,e1fa0ca40a1c9ef0f7a975c8fbd21a7178040fa8,251,v2.2,failed,100,2019-12-16 20:50:48 UTC,625872015,pull_request
625862645,e0de4d1deb7764f5d49a367b8e8a0ca77a845fb1,251,v2.2,passed,79,2019-12-16 20:25:57 UTC,625862646,pull_request
625854752,f3e8c092d48e1d8af2a153ea1fe5c66af88efd7d,251,v2.2,passed,98,2019-12-16 20:07:25 UTC,625854753,pull_request
625853112,c7794cb68ecebf5ec8f46c98e30fbf2833482cb3,251,v2.2,passed,75,2019-12-16 20:03:04 UTC,625853113,pull_request
625850575,3d0ef43eebf1c38d021a49cdf9034ff3cf46bd55,251,master,failed,184,2019-12-16 19:56:32 UTC,625850576,625850577,pull_request
625842001,ca331c2649ac4605a1218d7d4cfff03978202f74,251,master,failed,199,2019-12-16 19:35:48 UTC,625842003,625842005,pull_request
625819282,bbd89e158a94d94762464a9da4edbb75c0f5f02d,251,master,failed,167,2019-12-16 18:41:41 UTC,625819283,625819284,pull_request
624464344,8fde514e3017ddb83a48ab861cf43a6684f676d2,248,master,passed,100,2019-12-13 04:50:50 UTC,624464345,pull_request
624464337,883c5b33ce719816b2bd8958df13b115e75cf165,,v2.2,passed,98,2019-12-13 04:50:54 UTC,624464338,push
623799631,1dd4280a80d67a650095f2d25a168d0d6c592ff1,,master,failed,183,2019-12-11 18:27:39 UTC,623799632,623799633,push
623012455,b6c7924c60b5be7b7ef52138fb1ac0d271cc1b1b,248,master,passed,104,2019-12-10 04:28:31 UTC,623012456,pull_request
623012445,f8fc1de96a137d6a4da263c76aaaaa6b55036813,,v2.2,passed,101,2019-12-10 04:28:31 UTC,623012446,push
622928747,bdb8eef5788ec8f0e5233ebc35717342dc733db5,248,master,passed,103,2019-12-09 23:00:18 UTC,622928748,pull_request
622928738,086e6dbb7a283c7f7e3406f272fd053fa96dde20,,v2.2,passed,83,2019-12-09 23:04:43 UTC,622928739,push
622919450,a2b8ab7cd0640d10bcefb22987655809db120abf,248,master,passed,100,2019-12-09 22:37:38 UTC,622919451,pull_request
622919361,32be7a7bb2d92826f3a28829e4afb2a6cb21fdb6,,v2.2,passed,104,2019-12-09 22:37:36 UTC,622919362,push
622615508,625bb9567f05b5067c50a8504ef9b08a94b69c8d,248,master,passed,87,2019-12-09 11:44:15 UTC,622615509,pull_request
622615506,496b44f2bbaf74bd198ae26d505910a42c832848,,v2.2,passed,80,2019-12-09 11:36:14 UTC,622615507,push
622603269,0302ef2b5fdc9ae1f6e2813cfd0d43c23b9df531,248,master,passed,99,2019-12-09 11:03:55 UTC,622603270,pull_request
622603246,83bb8c990dd54823d0b403789f2657b35121f576,,v2.2,passed,103,2019-12-09 11:03:53 UTC,622603247,push
622599980,49c71833a36b082dd2f28ea2588aaf299cfe10b4,248,master,failed,197,2019-12-09 10:57:14 UTC,622599981,622599982,pull_request
622599977,27a240d9c218e8c370c7d79837002718ac1f4c9b,,v2.2,passed,194,2019-12-09 10:57:32 UTC,622599978,622599979,push
622467147,0e7aad1ac3932cb331c39a2b7e8b81aa352fdd8c,248,master,passed,202,2019-12-09 03:56:07 UTC,622467148,622467149,pull_request
622467144,0d8ae6471d838bddbf55e2b76f41eabbad5e9959,,v2.2,passed,216,2019-12-09 03:56:08 UTC,622467145,622467146,push
622462659,1976a0455a8c033257522c58ca18bcc4571d7bfc,248,master,passed,191,2019-12-09 03:32:08 UTC,622462660,622462661,pull_request
622462656,2371dac998c36bdf2e9fa5817c3599488f054554,,v2.2,passed,183,2019-12-09 03:32:06 UTC,622462657,622462658,push
622437265,a406263a31bbef49b6bdf818e58292ca690beff6,248,master,failed,195,2019-12-09 01:16:57 UTC,622437266,622437267,pull_request
622436838,c995fab5180edf508b78f9ae87171519788ee08e,,v2.2,failed,197,2019-12-09 01:15:04 UTC,622436839,622436840,push
622431777,21f457f7a48a941d28729caae354c6fba4313ecf,,master,failed,182,2019-12-09 00:46:36 UTC,622431778,622431779,push
621338345,0bbfbc0fb62fabb6916421e177c6e04f91a1dacf,,master,passed,185,2019-12-05 22:10:20 UTC,621338348,621338351,push
585119383,84d3e54b9a8f1e9701097207a8d3135d5a9e64c1,,master,passed,189,2019-09-15 04:37:10 UTC,585119384,585119385,push
585119223,19afa3935706391094841258ba937372c01f6090,,master,passed,200,2019-09-15 04:35:44 UTC,585119224,585119225,push
576348127,badd20f0a8161e793efbd4206b981897953266f5,,master,errored,186,2019-08-25 02:52:29 UTC,576348128,576348129,push
576348007,f932749fa5c722d2e0d3c6ef65d4dfe80acc54b9,,master,errored,187,2019-08-25 02:51:40 UTC,576348008,576348009,push
570890232,ce3de9b962db0f38a3aa9de44d150517828081a5,243,master,errored,194,2019-08-12 15:06:30 UTC,570890233,570890234,pull_request
566840327,01e71b3d700d7a6dc652e9fd8c3e71d53bb5f5ed,242,master,passed,268,2019-08-02 08:14:21 UTC,566840328,566840329,pull_request
566819808,d45591791271bed2b3e2c5dcf7ab5ae480d617fb,242,master,failed,455,2019-08-02 07:01:15 UTC,566819809,566819810,pull_request
566806284,1d2b646074a07b49cb3db2dd35c9786d5b967ccc,242,master,passed,234,2019-08-02 06:07:06 UTC,566806285,566806286,pull_request
566416703,fc8eba005c9f15452356e421bdfe537071569879,242,master,passed,206,2019-08-01 11:04:27 UTC,566416704,566416705,pull_request
566409996,61f37e5decf33b2ba2ca9a9d13534eaa92bc8d8e,242,master,passed,269,2019-08-01 10:44:01 UTC,566409997,566409998,pull_request
566405478,ee7de9930576b9d00f7b129cae6ef9275ff7948e,242,master,failed,332,2019-08-01 10:30:34 UTC,566405479,566405480,pull_request
566402261,6de824179570ce4723a9af95a1eb75a78105de7f,242,master,failed,209,2019-08-01 10:21:13 UTC,566402262,566402263,pull_request
566395632,f97c60d636223b080f40be7a051b0372f9fb906d,242,master,errored,338,2019-08-01 10:02:25 UTC,566395633,566395634,pull_request
