build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
750062804,5227a659d82d95d720c852348a91bd058c2eb9d3,3009,master,passed,405,2020-12-16 20:10:38 UTC,750062805,pull_request
750059610,0e47b9e777b084376ee54230131dfdbc1240e345,3009,master,canceled,0,,750059612,pull_request
750018390,3d4fa08941a5dd14780994c42b1f1f728cf077a1,2960,master,failed,429,2020-12-16 13:58:59 UTC,750018391,pull_request
750017602,dfdcd514773d5d00dd264cc5c80f87c977bbc2cb,,pull/2960,errored,50,2020-12-16 15:14:45 UTC,750017603,push
750000315,2490fdc4961c2b78c8dd57db4ee29431dedde2ef,,master,passed,431,2020-12-16 11:37:50 UTC,750000316,push
749622291,384ac4610262157e13f5a3d2656ac5023f35beea,,master,passed,410,2020-12-14 15:20:10 UTC,749622292,push
749614687,2168ad210840bf3d0df0b80dfceae92a26e6c970,,master,passed,392,2020-12-14 14:38:37 UTC,749614688,push
749320688,19fa465b512fe52660f76ed98442c04e1e440f73,2409,master,passed,857,2020-12-12 20:38:33 UTC,749320689,749320690,pull_request
749319213,d4d0d54a21c6f8305b7ef535bade3f5913231dd5,2409,master,canceled,0,,749319214,749319215,pull_request
748770330,6e686135459dea81808f49d444b651cf0c2965b6,,master,passed,410,2020-12-10 15:20:00 UTC,748770331,push
748753529,0297cec87b3cbf7f33c544c53fdac4a213e1bd00,,master,passed,428,2020-12-10 13:27:08 UTC,748753530,push
748562993,88ba316abeecffccd1cb51c63ce5594c95023624,,master,passed,449,2020-12-09 15:34:41 UTC,748562994,push
748559288,be6c531c7fa78ad6b70d16054f054d8d064aa2d2,2999,master,errored,59,2020-12-09 15:07:08 UTC,748559289,pull_request
748359479,fec3b35762cab056611590702f03d27ef8d3914f,,master,passed,443,2020-12-08 16:24:58 UTC,748359480,push
748350295,1985142ff5c4dbca888403f5e9ac3015e7cb88bb,,master,passed,413,2020-12-08 15:34:31 UTC,748350296,push
748340222,ad89d675565be9c7face1e6fd12e19d785ae84d5,2997,master,failed,450,2020-12-08 14:21:40 UTC,748340223,pull_request
748140197,f8f327179c3241159cf3fd13fd064512fe13994d,,master,failed,453,2020-12-07 16:04:24 UTC,748140198,push
