tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
10642647,10642648,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10642647,10642649,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.85,
10642647,10642650,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10642647,10642651,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.93,
10642647,10642652,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,java,ok,,java-ant,"",false,,,,,,,,,"",,
10642647,10642653,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,java,broken,,java-ant,"",false,,,,,,,,,"",,
10642647,10642654,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10642647,10642655,100,ec4e6d9e5aed3f56daacf61112fde415ba1535ad,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,6.45,
10646173,10646174,101,f78f22b0a623689d9a505a4757a24593ec85afec,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10646173,10646175,101,f78f22b0a623689d9a505a4757a24593ec85afec,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.79,
10646173,10646176,101,f78f22b0a623689d9a505a4757a24593ec85afec,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
10646173,10646177,101,f78f22b0a623689d9a505a4757a24593ec85afec,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.56,
10646173,10646178,101,f78f22b0a623689d9a505a4757a24593ec85afec,java,ok,,java-ant,"",false,,,,,,,,,"",,
10646173,10646179,101,f78f22b0a623689d9a505a4757a24593ec85afec,java,broken,,java-ant,"",false,,,,,,,,,"",,
10646173,10646180,101,f78f22b0a623689d9a505a4757a24593ec85afec,unknown,ok,,plain,"",false,,,,,,,,,"",,
10646173,10646181,101,f78f22b0a623689d9a505a4757a24593ec85afec,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,3.3,
11909060,11909061,102,474595a329bdaa845bd0ab0d98738824081aafaa,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
11909060,11909062,102,474595a329bdaa845bd0ab0d98738824081aafaa,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.74,
11909060,11909063,102,474595a329bdaa845bd0ab0d98738824081aafaa,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
11909060,11909064,102,474595a329bdaa845bd0ab0d98738824081aafaa,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.49,
11909060,11909065,102,474595a329bdaa845bd0ab0d98738824081aafaa,java,ok,,java-ant,"",false,,,,,,,,,"",,
11909060,11909066,102,474595a329bdaa845bd0ab0d98738824081aafaa,java,broken,,java-ant,"",false,,,,,,,,,"",,
11909060,11909067,102,474595a329bdaa845bd0ab0d98738824081aafaa,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
11909060,11909068,102,474595a329bdaa845bd0ab0d98738824081aafaa,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,2.52,
11909707,11909708,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
11909707,11909709,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.72,
11909707,11909710,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
11909707,11909711,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.58,
11909707,11909712,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,java,ok,,java-ant,"",false,,,,,,,,,"",,
11909707,11909713,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,java,broken,,java-ant,"",false,,,,,,,,,"",,
11909707,11909714,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
11909707,11909715,103,dc41dca6c61c27f96d2df10550c48d33c58ab3c1,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,4.18,
12227176,12227177,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
12227176,12227178,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.85,
12227176,12227179,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
12227176,12227180,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,0.59,
12227176,12227181,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,java,ok,,java-ant,"",false,,,,,,,,,"",,
12227176,12227182,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,java,broken,,java-ant,"",false,,,,,,,,,"",,
12227176,12227183,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
12227176,12227184,104,d9279a9550b72c701d31ad4c6094bccef7d3d580,ruby,broken,,ruby,testunit,true,true,14,6,20,0,,,,ApiApplicationTest,3.26,
14249535,14249536,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
14249535,14249537,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
14249535,14249538,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
14249535,14249539,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
14249535,14249540,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,java,ok,,java-ant,"",false,,,,,,,,,"",,
14249535,14249541,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,java,unknown,,java-ant,"",false,,,,,,,,,"",,
14249535,14249542,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,ruby,ok,,ruby,"",false,,,0,,,,,,"",,
14249535,14249543,105,bc5e28e20836f446d66e01c32d4f9d5f2745e14a,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
