tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
33216052,33216053,100,e96cb2da143030eb3136a9c7bf9154d16345a7d0,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,SignedGlobalIDTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#GlobalLocatorTest,1.49,
33216052,33216054,100,e96cb2da143030eb3136a9c7bf9154d16345a7d0,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,GlobalLocatorTest#SignedGlobalIDTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest,1.19,
33216052,33216055,100,e96cb2da143030eb3136a9c7bf9154d16345a7d0,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,SignedGlobalIDTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#GlobalLocatorTest,0.96,
33216052,33216056,100,e96cb2da143030eb3136a9c7bf9154d16345a7d0,ruby,broken,,ruby,testunit,true,true,63,8,71,0,,,,SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#GlobalIDTest#GlobalIDTest#GlobalLocatorTest#GlobalLocatorTest#SignedGlobalIDTest,0.91,
33216052,33216057,100,e96cb2da143030eb3136a9c7bf9154d16345a7d0,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,SignedGlobalIDTest#GlobalLocatorTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest,7.0,
33216052,33216058,100,e96cb2da143030eb3136a9c7bf9154d16345a7d0,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
33216395,33216396,101,6776640b9e92aad9ad799b41ca3b2b6b07af5e85,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#GlobalLocatorTest#SignedGlobalIDTest,1.71,
33216395,33216397,101,6776640b9e92aad9ad799b41ca3b2b6b07af5e85,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,GlobalLocatorTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDTest,1.03,
33216395,33216398,101,6776640b9e92aad9ad799b41ca3b2b6b07af5e85,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,GlobalLocatorTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDTest,0.77,
33216395,33216399,101,6776640b9e92aad9ad799b41ca3b2b6b07af5e85,ruby,broken,,ruby,testunit,true,true,63,8,71,0,,,,GlobalIDTest#GlobalIDTest#SignedGlobalIDTest#GlobalLocatorTest#GlobalLocatorTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest,0.8,
33216395,33216400,101,6776640b9e92aad9ad799b41ca3b2b6b07af5e85,ruby,broken,,ruby,testunit,true,true,67,4,71,0,,,,GlobalLocatorTest#SignedGlobalIDTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest,5.76,
33216395,33216401,101,6776640b9e92aad9ad799b41ca3b2b6b07af5e85,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
33235454,33235456,102,b94156da2f3bb1742416035156becbeb69d59ae3,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",1.85,
33235454,33235458,102,b94156da2f3bb1742416035156becbeb69d59ae3,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",0.96,
33235454,33235459,102,b94156da2f3bb1742416035156becbeb69d59ae3,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",0.86,
33235454,33235460,102,b94156da2f3bb1742416035156becbeb69d59ae3,ruby,broken,,ruby,testunit,true,true,72,6,78,0,,,,GlobalLocatorTest#GlobalIDTest#GlobalIDTest,1.03,
33235454,33235461,102,b94156da2f3bb1742416035156becbeb69d59ae3,ruby,broken,,ruby,"",true,false,0,0,0,0,,,,"",5.7,
33235454,33235462,102,b94156da2f3bb1742416035156becbeb69d59ae3,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
33235791,33235792,103,b3fa817d2493a91b131808704a93b52fc683aebc,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",1.22,
33235791,33235793,103,b3fa817d2493a91b131808704a93b52fc683aebc,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",1.03,
33235791,33235794,103,b3fa817d2493a91b131808704a93b52fc683aebc,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",0.99,
33235791,33235795,103,b3fa817d2493a91b131808704a93b52fc683aebc,ruby,broken,,ruby,testunit,true,true,66,12,78,0,,,,GlobalIDTest#GlobalIDTest#GlobalLocatorTest#GlobalIDCreationTest#GlobalIDCreationTest#GlobalIDCreationTest#GlobalIDCreationTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest,1.35,
33235791,33235796,103,b3fa817d2493a91b131808704a93b52fc683aebc,ruby,broken,,ruby,"",true,false,0,0,0,0,,,,"",4.63,
33235791,33235797,103,b3fa817d2493a91b131808704a93b52fc683aebc,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
33240266,33240267,104,1923a3c189817ab106c7428e62d66987812f315a,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240266,33240268,104,1923a3c189817ab106c7428e62d66987812f315a,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240266,33240269,104,1923a3c189817ab106c7428e62d66987812f315a,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240266,33240270,104,1923a3c189817ab106c7428e62d66987812f315a,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240266,33240271,104,1923a3c189817ab106c7428e62d66987812f315a,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240266,33240272,104,1923a3c189817ab106c7428e62d66987812f315a,java,broken,,java-ant,"",false,,,,,,,,,"",,
33240350,33240351,105,75fdfcff832fb207b8740ae34dfbbbfb2dafb5b7,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240350,33240352,105,75fdfcff832fb207b8740ae34dfbbbfb2dafb5b7,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240350,33240353,105,75fdfcff832fb207b8740ae34dfbbbfb2dafb5b7,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240350,33240354,105,75fdfcff832fb207b8740ae34dfbbbfb2dafb5b7,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240350,33240355,105,75fdfcff832fb207b8740ae34dfbbbfb2dafb5b7,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
33240350,33240356,105,75fdfcff832fb207b8740ae34dfbbbfb2dafb5b7,java,broken,,java-ant,"",false,,,,,,,,,"",,
33252290,33252291,106,c3467a8836040661339173482507bc0e28c67755,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",1.21,
33252290,33252292,106,c3467a8836040661339173482507bc0e28c67755,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",0.99,
33252290,33252293,106,c3467a8836040661339173482507bc0e28c67755,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",0.8,
33252290,33252294,106,c3467a8836040661339173482507bc0e28c67755,ruby,broken,,ruby,testunit,true,true,72,6,78,0,,,,GlobalLocatorTest#GlobalIDTest#GlobalIDTest,0.84,
33252290,33252295,106,c3467a8836040661339173482507bc0e28c67755,ruby,broken,,ruby,"",true,false,0,0,0,0,,,,"",4.8,
33252290,33252296,106,c3467a8836040661339173482507bc0e28c67755,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
33278806,33278807,107,ed2fa17f18e0a3dacd093a129a069803157f7f7a,ruby,broken,,ruby,testunit,true,true,75,5,80,0,,,,SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest#SignedGlobalIDTest,1.19,
33278806,33278808,107,ed2fa17f18e0a3dacd093a129a069803157f7f7a,ruby,broken,,ruby,testunit,true,true,75,5,80,0,,,,SignedGlobalIDTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest,1.11,
33278806,33278809,107,ed2fa17f18e0a3dacd093a129a069803157f7f7a,ruby,broken,,ruby,testunit,true,true,75,5,80,0,,,,SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest#SignedGlobalIDTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest,0.84,
33278806,33278810,107,ed2fa17f18e0a3dacd093a129a069803157f7f7a,ruby,broken,,ruby,testunit,true,true,69,11,80,0,,,,GlobalIDTest#GlobalIDTest#GlobalLocatorTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest#SignedGlobalIDTest,1.2,
33278806,33278811,107,ed2fa17f18e0a3dacd093a129a069803157f7f7a,ruby,broken,,ruby,"",true,false,0,0,0,0,,,,"",5.79,
33278806,33278812,107,ed2fa17f18e0a3dacd093a129a069803157f7f7a,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
33278941,33278942,108,32adafb7c36f10cf4b9247c05bae20531420cdf9,ruby,broken,,ruby,testunit,true,true,75,5,80,0,,,,SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDTest,1.08,
33278941,33278944,108,32adafb7c36f10cf4b9247c05bae20531420cdf9,ruby,broken,,ruby,testunit,true,true,75,5,80,0,,,,SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDTest,0.91,
33278941,33278945,108,32adafb7c36f10cf4b9247c05bae20531420cdf9,ruby,broken,,ruby,testunit,true,true,75,5,80,0,,,,SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest,1.08,
33278941,33278947,108,32adafb7c36f10cf4b9247c05bae20531420cdf9,ruby,broken,,ruby,testunit,true,true,69,11,80,0,,,,GlobalLocatorTest#SignedGlobalIDTest#GlobalIDTest#GlobalIDTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest#SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest,0.83,
33278941,33278948,108,32adafb7c36f10cf4b9247c05bae20531420cdf9,ruby,broken,,ruby,testunit,true,true,75,5,80,0,,,,SignedGlobalIDVerifierTest#SignedGlobalIDVerifierTest#SignedGlobalIDTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest,5.95,
33278941,33278949,108,32adafb7c36f10cf4b9247c05bae20531420cdf9,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
33282813,33282814,109,9084ed901a94ffccce30909af13519f8ff506bb3,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",1.25,
33282813,33282815,109,9084ed901a94ffccce30909af13519f8ff506bb3,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",1.16,
33282813,33282816,109,9084ed901a94ffccce30909af13519f8ff506bb3,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",0.98,
33282813,33282817,109,9084ed901a94ffccce30909af13519f8ff506bb3,ruby,broken,,ruby,testunit,true,true,69,9,78,0,,,,GlobalIDTest#GlobalIDTest#SignedGlobalIDTest#GlobalLocatorTest#SignedGlobalIDPurposeTest#SignedGlobalIDPurposeTest,1.0,
33282813,33282818,109,9084ed901a94ffccce30909af13519f8ff506bb3,ruby,ok,,ruby,testunit,true,false,78,0,78,0,,,,"",9.46,
33282813,33282819,109,9084ed901a94ffccce30909af13519f8ff506bb3,ruby,broken,,ruby,"",true,false,,0,,,,,,"",,
32821578,32821579,10,912683c740ca0d1140308522e3498f8219103f44,ruby,ok,,ruby,testunit,true,false,24,0,24,0,,,,"",0.01,
32821578,32821580,10,912683c740ca0d1140308522e3498f8219103f44,ruby,ok,,ruby,testunit,true,false,24,0,24,0,,,,"",0.01,
32821578,32821581,10,912683c740ca0d1140308522e3498f8219103f44,ruby,ok,,ruby,testunit,true,false,24,0,24,0,,,,"",0.01,
32821578,32821582,10,912683c740ca0d1140308522e3498f8219103f44,ruby,ok,,ruby,testunit,true,false,24,0,24,0,,,,"",0.01,
32821578,32821583,10,912683c740ca0d1140308522e3498f8219103f44,ruby,ok,,ruby,testunit,true,false,24,0,24,0,,,,"",0.04,
32821578,32821584,10,912683c740ca0d1140308522e3498f8219103f44,ruby,ok,,ruby,testunit,true,false,24,0,24,0,,,,"",1.46,
33286305,33286306,110,9079c9b1bcf045b8d937032047d984aa4d0254f2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
33286305,33286307,110,9079c9b1bcf045b8d937032047d984aa4d0254f2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
33286305,33286308,110,9079c9b1bcf045b8d937032047d984aa4d0254f2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
33286305,33286309,110,9079c9b1bcf045b8d937032047d984aa4d0254f2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
33286305,33286310,110,9079c9b1bcf045b8d937032047d984aa4d0254f2,unknown,unknown,,plain,"",false,,,,,,,,,"",,
