tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
559839636,559839637,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
559839636,559839638,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
559839636,559839639,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,rspec,true,false,820,0,820,0,,,,"",2.17,
559839636,559839640,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,rspec,true,false,820,0,820,0,,,,"",2.31,
559839636,559839641,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,rspec,true,false,820,0,820,0,,,,"",2.02,
559839636,559839642,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,rspec,true,false,820,0,820,0,,,,"",2.17,
559839636,559839643,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,rspec,true,false,820,0,820,0,,,,"",1.8,
559839636,559839644,1033,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
560359795,560359796,1034,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
560359795,560359797,1034,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,unknown,1,ruby,"",false,,,0,,,,,,"",,
560359795,560359798,1034,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,rspec,true,false,820,0,820,0,,,,"",2.34,
560359795,560359799,1034,e61c0b8a21cf3b52d803e6450276b7554c877052,ruby,ok,1,ruby,rspec,true,false,820,0,820,0,,,,"",2.12,
