tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
6362321,6362322,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,ruby,ok,,ruby,rspec,true,false,1232,0,1232,2,,,,"",1.44,
6362321,6362323,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,ruby,ok,,ruby,rspec,true,false,1233,0,1233,2,,,,"",1.18,
6362321,6362324,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,ruby,ok,,ruby,rspec,true,false,1233,0,1233,2,,,,"",1.95,
6362321,6362327,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,ruby,ok,,ruby,rspec,true,false,1211,0,1211,2,,,,"",1.06,
6362321,6362329,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,ruby,ok,,ruby,rspec,true,false,1211,0,1211,2,,,,"",1.03,
6362321,6362331,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,java,ok,,java-ant,"",false,,,,,,,,,"",,
6362321,6362332,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,java,ok,,java-ant,"",false,,,,,,,,,"",,
6362321,6362333,101,6593fbff2c52ff47f0cca1c1ef5fe43c79732d91,ruby,ok,,ruby,rspec,true,false,1232,0,1232,2,,,,"",1.97,
6362405,6362406,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1234,0,1234,2,,,,"",1.21,
6362405,6362407,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1235,0,1235,2,,,,"",1.47,
6362405,6362408,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1235,0,1235,2,,,,"",1.12,
6362405,6362409,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1212,0,1212,2,,,,"",1.05,
6362405,6362410,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1212,0,1212,2,,,,"",1.89,
6362405,6362411,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,java,ok,,java-ant,"",false,,,,,,,,,"",,
6362405,6362412,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,java,ok,,java-ant,"",false,,,,,,,,,"",,
6362405,6362413,102,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1234,0,1234,2,,,,"",1.41,
6362422,6362423,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1234,0,1234,2,,,,"",1.38,
6362422,6362424,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1235,0,1235,2,,,,"",1.36,
6362422,6362425,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1235,0,1235,2,,,,"",1.06,
6362422,6362426,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1212,0,1212,2,,,,"",1.6,
6362422,6362427,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1212,0,1212,2,,,,"",1.15,
6362422,6362428,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,java,ok,,java-ant,"",false,,,,,,,,,"",,
6362422,6362429,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,java,ok,,java-ant,"",false,,,,,,,,,"",,
6362422,6362430,103,f47caa4f4a181fd6784f4e6fadc02b0345bd05df,ruby,ok,,ruby,rspec,true,false,1234,0,1234,2,,,,"",1.46,
6567197,6567198,104,267185a295773d0acf1f05487067d9d85a812a22,ruby,ok,,ruby,rspec,true,false,1234,0,1234,2,,,,"",1.39,
6567197,6567199,104,267185a295773d0acf1f05487067d9d85a812a22,ruby,ok,,ruby,rspec,true,false,1235,0,1235,2,,,,"",1.3,
6567197,6567200,104,267185a295773d0acf1f05487067d9d85a812a22,ruby,ok,,ruby,rspec,true,false,1235,0,1235,2,,,,"",1.42,
6567197,6567201,104,267185a295773d0acf1f05487067d9d85a812a22,ruby,ok,,ruby,rspec,true,false,1212,0,1212,2,,,,"",1.46,
6567197,6567202,104,267185a295773d0acf1f05487067d9d85a812a22,ruby,ok,,ruby,rspec,true,false,1212,0,1212,2,,,,"",1.16,
6567197,6567203,104,267185a295773d0acf1f05487067d9d85a812a22,java,ok,,java-ant,"",false,,,,,,,,,"",,
6567197,6567204,104,267185a295773d0acf1f05487067d9d85a812a22,java,ok,,java-ant,"",false,,,,,,,,,"",,
6567197,6567205,104,267185a295773d0acf1f05487067d9d85a812a22,ruby,ok,,ruby,rspec,true,false,1234,0,1234,2,,,,"",1.29,
6580440,6580441,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,ruby,ok,,ruby,rspec,true,false,1193,0,1193,1,,,,"",1.21,
6580440,6580442,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,ruby,ok,,ruby,rspec,true,false,1194,0,1194,1,,,,"",1.09,
6580440,6580443,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,ruby,ok,,ruby,rspec,true,false,1194,0,1194,1,,,,"",1.22,
6580440,6580444,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,ruby,ok,,ruby,rspec,true,false,1172,0,1172,1,,,,"",1.09,
6580440,6580445,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,ruby,ok,,ruby,rspec,true,false,1172,0,1172,1,,,,"",1.18,
6580440,6580446,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,java,ok,,java-ant,"",false,,,,,,,,,"",,
6580440,6580447,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,java,ok,,java-ant,"",false,,,,,,,,,"",,
6580440,6580448,105,319512b7193052089467d98e5e3bdb9e7d7fbd4c,ruby,ok,,ruby,rspec,true,false,1193,0,1193,1,,,,"",1.41,
6601658,6601659,106,977d8a23b2a742dce917546787d04be24b904722,ruby,ok,,ruby,rspec,true,false,1239,0,1239,2,,,,"",1.39,
6601658,6601660,106,977d8a23b2a742dce917546787d04be24b904722,ruby,ok,,ruby,rspec,true,false,1240,0,1240,2,,,,"",1.5,
6601658,6601661,106,977d8a23b2a742dce917546787d04be24b904722,ruby,ok,,ruby,rspec,true,false,1240,0,1240,2,,,,"",1.42,
6601658,6601662,106,977d8a23b2a742dce917546787d04be24b904722,ruby,ok,,ruby,rspec,true,false,1217,0,1217,2,,,,"",1.24,
6601658,6601663,106,977d8a23b2a742dce917546787d04be24b904722,ruby,ok,,ruby,rspec,true,false,1217,0,1217,2,,,,"",1.24,
6601658,6601664,106,977d8a23b2a742dce917546787d04be24b904722,java,ok,,java-ant,"",false,,,,,,,,,"",,
6601658,6601665,106,977d8a23b2a742dce917546787d04be24b904722,java,ok,,java-ant,"",false,,,,,,,,,"",,
6601658,6601666,106,977d8a23b2a742dce917546787d04be24b904722,ruby,ok,,ruby,rspec,true,false,1239,0,1239,2,,,,"",1.38,
6607960,6607961,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,ruby,ok,,ruby,rspec,true,false,1239,0,1239,2,,,,"",1.37,
6607960,6607962,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,ruby,ok,,ruby,rspec,true,false,1240,0,1240,2,,,,"",1.27,
6607960,6607963,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,ruby,ok,,ruby,rspec,true,false,1240,0,1240,2,,,,"",1.28,
6607960,6607964,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,ruby,ok,,ruby,rspec,true,false,1217,0,1217,2,,,,"",2.28,
6607960,6607965,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,ruby,ok,,ruby,rspec,true,false,1217,0,1217,2,,,,"",1.25,
6607960,6607966,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,java,ok,,java-ant,"",false,,,,,,,,,"",,
6607960,6607967,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,java,ok,,java-ant,"",false,,,,,,,,,"",,
6607960,6607968,107,5821456ea8903b6bf442844fd8c899dc15d53ed5,ruby,ok,,ruby,rspec,true,false,1239,0,1239,2,,,,"",1.12,
6619524,6619525,108,13f987c847782a714530477f133bdd267e50c3f1,ruby,ok,,ruby,rspec,true,false,1243,0,1243,2,,,,"",1.12,
6619524,6619526,108,13f987c847782a714530477f133bdd267e50c3f1,ruby,ok,,ruby,rspec,true,false,1244,0,1244,2,,,,"",1.35,
6619524,6619527,108,13f987c847782a714530477f133bdd267e50c3f1,ruby,ok,,ruby,rspec,true,false,1244,0,1244,2,,,,"",1.17,
6619524,6619528,108,13f987c847782a714530477f133bdd267e50c3f1,ruby,ok,,ruby,rspec,true,false,1221,0,1221,2,,,,"",1.12,
6619524,6619529,108,13f987c847782a714530477f133bdd267e50c3f1,ruby,ok,,ruby,rspec,true,false,1221,0,1221,2,,,,"",1.23,
6619524,6619530,108,13f987c847782a714530477f133bdd267e50c3f1,java,ok,,java-ant,"",false,,,,,,,,,"",,
6619524,6619531,108,13f987c847782a714530477f133bdd267e50c3f1,java,ok,,java-ant,"",false,,,,,,,,,"",,
6619524,6619532,108,13f987c847782a714530477f133bdd267e50c3f1,ruby,ok,,ruby,rspec,true,false,1243,0,1243,2,,,,"",2.1,
6644496,6644497,109,b6346ef14543a328580bdcc48f02bc83a42ef478,ruby,ok,,ruby,rspec,true,false,1243,0,1243,2,,,,"",2.09,
6644496,6644498,109,b6346ef14543a328580bdcc48f02bc83a42ef478,ruby,unknown,,ruby,rspec,true,false,1244,0,1244,2,,,,"",1.34,
6644496,6644499,109,b6346ef14543a328580bdcc48f02bc83a42ef478,ruby,ok,,ruby,rspec,true,false,1244,0,1244,2,,,,"",2.6,
6644496,6644500,109,b6346ef14543a328580bdcc48f02bc83a42ef478,ruby,ok,,ruby,rspec,true,false,1221,0,1221,2,,,,"",1.39,
6644496,6644501,109,b6346ef14543a328580bdcc48f02bc83a42ef478,ruby,ok,,ruby,rspec,true,false,1221,0,1221,2,,,,"",1.33,
6644496,6644502,109,b6346ef14543a328580bdcc48f02bc83a42ef478,java,ok,,java-ant,"",false,,,,,,,,,"",,
6644496,6644503,109,b6346ef14543a328580bdcc48f02bc83a42ef478,java,ok,,java-ant,"",false,,,,,,,,,"",,
6644496,6644504,109,b6346ef14543a328580bdcc48f02bc83a42ef478,ruby,ok,,ruby,rspec,true,false,1243,0,1243,2,,,,"",2.52,
1228292,1228293,10,5c0b2bf61f9c8b9ff5244c3283460fc2139a371a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
1228292,1228294,10,5c0b2bf61f9c8b9ff5244c3283460fc2139a371a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
1228292,1228295,10,5c0b2bf61f9c8b9ff5244c3283460fc2139a371a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
1228292,1228296,10,5c0b2bf61f9c8b9ff5244c3283460fc2139a371a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
1228292,1228297,10,5c0b2bf61f9c8b9ff5244c3283460fc2139a371a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
1228292,1228298,10,5c0b2bf61f9c8b9ff5244c3283460fc2139a371a,unknown,unknown,,plain,"",false,,,,,,,,,"",,
6710796,6710797,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,ruby,ok,,ruby,rspec,true,false,1251,0,1251,2,,,,"",1.31,
6710796,6710798,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,ruby,ok,,ruby,rspec,true,false,1252,0,1252,2,,,,"",1.27,
6710796,6710799,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,ruby,ok,,ruby,rspec,true,false,1252,0,1252,2,,,,"",1.38,
6710796,6710800,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,ruby,ok,,ruby,rspec,true,false,1229,0,1229,2,,,,"",1.54,
6710796,6710801,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,ruby,ok,,ruby,rspec,true,false,1229,0,1229,2,,,,"",1.12,
6710796,6710802,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,java,ok,,java-ant,"",false,,,,,,,,,"",,
6710796,6710803,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,java,ok,,java-ant,"",false,,,,,,,,,"",,
6710796,6710804,110,645c7b40b78f47d5531f9d079b2889dfd14195d9,ruby,ok,,ruby,rspec,true,false,1251,0,1251,2,,,,"",1.42,
6711967,6711968,111,f98ffa29f7747198cb4e1b4e5766a9df07f869f9,ruby,broken,,ruby,rspec,true,true,1198,3,1201,1,,,,"",1.11,
6711967,6711969,111,f98ffa29f7747198cb4e1b4e5766a9df07f869f9,ruby,broken,,ruby,rspec,true,true,1199,3,1202,1,,,,"",0.98,
6711967,6711970,111,f98ffa29f7747198cb4e1b4e5766a9df07f869f9,ruby,broken,,ruby,rspec,true,true,1199,3,1202,1,,,,"",1.39,
6711967,6711971,111,f98ffa29f7747198cb4e1b4e5766a9df07f869f9,ruby,broken,,ruby,rspec,true,true,1177,3,1180,1,,,,"",1.24,
6711967,6711972,111,f98ffa29f7747198cb4e1b4e5766a9df07f869f9,ruby,broken,,ruby,rspec,true,true,1177,3,1180,1,,,,"",1.49,
6711967,6711973,111,f98ffa29f7747198cb4e1b4e5766a9df07f869f9,java,broken,,java-ant,"",false,,,,,,,,,"",,
