tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
8792657,8792658,10,38ab44f0968c23509912680a04f903fe4ad5c068,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",12.170000000000002,
8792657,8792659,10,38ab44f0968c23509912680a04f903fe4ad5c068,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",9.99,
8792657,8792660,10,38ab44f0968c23509912680a04f903fe4ad5c068,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",7.05,
8792657,8792661,10,38ab44f0968c23509912680a04f903fe4ad5c068,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",6.57,
8863251,8863252,11,c843700d7de23bba0d41a69bf936f7ef1688bdc6,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",12.940000000000001,
8863251,8863253,11,c843700d7de23bba0d41a69bf936f7ef1688bdc6,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",15.53,
8863251,8863254,11,c843700d7de23bba0d41a69bf936f7ef1688bdc6,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",8.38,
8863251,8863255,11,c843700d7de23bba0d41a69bf936f7ef1688bdc6,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",9.34,
9188871,9188873,12,479b77c4e8ad755d3e591ddd629a33a805beb585,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",13.399999999999999,
9188871,9188876,12,479b77c4e8ad755d3e591ddd629a33a805beb585,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",11.54,
9188871,9188880,12,479b77c4e8ad755d3e591ddd629a33a805beb585,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",9.69,
9188871,9188881,12,479b77c4e8ad755d3e591ddd629a33a805beb585,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",7.49,
9421494,9421495,13,feb4f5561c4c42610ce0a5918e6e0e08a8a75530,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
9421494,9421496,13,feb4f5561c4c42610ce0a5918e6e0e08a8a75530,ruby,broken,,ruby,rspec#cucumber,true,true,3,6,9,0,,,,features/at_exit_during_each_run.feature#features/spork_debugger.feature#features/spork_debugger.feature#features/unknown_app_framework.feature,18.53,
9421494,9421497,13,feb4f5561c4c42610ce0a5918e6e0e08a8a75530,ruby,broken,,ruby,rspec#cucumber,true,true,3,6,9,0,,,,features/at_exit_during_each_run.feature#features/spork_debugger.feature#features/spork_debugger.feature#features/unknown_app_framework.feature,15.4,
9421494,9421498,13,feb4f5561c4c42610ce0a5918e6e0e08a8a75530,ruby,broken,,ruby,rspec#cucumber,true,true,3,6,9,0,,,,features/at_exit_during_each_run.feature#features/spork_debugger.feature#features/spork_debugger.feature#features/unknown_app_framework.feature,15.44,
10137672,10137673,14,15327671035c932af92e529e4d2a4825cb71ecda,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
10137672,10137674,14,15327671035c932af92e529e4d2a4825cb71ecda,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",10.35,
10137672,10137675,14,15327671035c932af92e529e4d2a4825cb71ecda,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",8.28,
10137672,10137676,14,15327671035c932af92e529e4d2a4825cb71ecda,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",6.72,
10673383,10673384,15,2d81158698036a7a82b993a7a1cb075bfe3b5618,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
10673383,10673385,15,2d81158698036a7a82b993a7a1cb075bfe3b5618,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",15.55,
10673383,10673386,15,2d81158698036a7a82b993a7a1cb075bfe3b5618,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",7.55,
10673383,10673387,15,2d81158698036a7a82b993a7a1cb075bfe3b5618,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",6.9,
11355719,11355720,16,2ec6f52709ed5fd481a35c8d98dc59124ba3be54,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
11355719,11355721,16,2ec6f52709ed5fd481a35c8d98dc59124ba3be54,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",9.71,
11355719,11355722,16,2ec6f52709ed5fd481a35c8d98dc59124ba3be54,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",6.07,
11355719,11355723,16,2ec6f52709ed5fd481a35c8d98dc59124ba3be54,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",8.4,
11356055,11356056,17,63944fdf2a7b578c8d530252a516d3d70c243e1a,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",10.05,
11356055,11356057,17,63944fdf2a7b578c8d530252a516d3d70c243e1a,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",6.74,
11356055,11356059,17,63944fdf2a7b578c8d530252a516d3d70c243e1a,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",6.23,
11356935,11356936,18,a94412c9493a07b7a000e35777b0f76b94de9061,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",9.96,
11356935,11356937,18,a94412c9493a07b7a000e35777b0f76b94de9061,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",7.41,
11356935,11356938,18,a94412c9493a07b7a000e35777b0f76b94de9061,ruby,ok,,ruby,cucumber,true,false,7,0,7,0,,,,"",7.64,
