tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
77180928,77180929,100,5042095649d03f8773b977466d2156e2e9759035,ruby,ok,0,ruby,rspec,true,false,447,0,447,0,,,,"",4.27,
77180928,77180931,100,5042095649d03f8773b977466d2156e2e9759035,ruby,ok,0,ruby,rspec,true,false,447,0,447,0,,,,"",3.72,
77180928,77180932,100,5042095649d03f8773b977466d2156e2e9759035,ruby,ok,0,ruby,rspec,true,false,447,0,447,0,,,,"",4.23,
77180928,77180933,100,5042095649d03f8773b977466d2156e2e9759035,ruby,ok,0,ruby,rspec,true,false,447,0,447,0,,,,"",6.88,
77419759,77419762,101,bbd5ed68cc97b3c95a0230327137a3b80c4ddd45,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.87,
77419759,77419767,101,bbd5ed68cc97b3c95a0230327137a3b80c4ddd45,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",5.03,
77419759,77419771,101,bbd5ed68cc97b3c95a0230327137a3b80c4ddd45,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.92,
77419759,77419772,101,bbd5ed68cc97b3c95a0230327137a3b80c4ddd45,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",5.51,
77423249,77423251,102,24656bf29d629cb28ea8b314a7f32d7aa598908a,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.6,
77423249,77423252,102,24656bf29d629cb28ea8b314a7f32d7aa598908a,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.59,
77423249,77423254,102,24656bf29d629cb28ea8b314a7f32d7aa598908a,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",4.54,
77423249,77423256,102,24656bf29d629cb28ea8b314a7f32d7aa598908a,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",5.84,
77423800,77423801,103,3a3fd3964ffd8c1dca6bcc155f0a21df740a21ea,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",4.26,
77423800,77423802,103,3a3fd3964ffd8c1dca6bcc155f0a21df740a21ea,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.79,
77423800,77423803,103,3a3fd3964ffd8c1dca6bcc155f0a21df740a21ea,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.67,
77423800,77423804,103,3a3fd3964ffd8c1dca6bcc155f0a21df740a21ea,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",6.03,
78137290,78137291,104,bbdbbcce6e236fb1a7d0ca768573ebbd661c22c0,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.81,
78137290,78137292,104,bbdbbcce6e236fb1a7d0ca768573ebbd661c22c0,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.58,
78137290,78137293,104,bbdbbcce6e236fb1a7d0ca768573ebbd661c22c0,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.89,
78137290,78137294,104,bbdbbcce6e236fb1a7d0ca768573ebbd661c22c0,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",5.46,
78138515,78138516,105,0b8c9fcaf10ecc4eba8c40b467e3824b9ccb6ef7,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.7,
78138515,78138517,105,0b8c9fcaf10ecc4eba8c40b467e3824b9ccb6ef7,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",3.65,
78138515,78138518,105,0b8c9fcaf10ecc4eba8c40b467e3824b9ccb6ef7,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",4.53,
78138515,78138519,105,0b8c9fcaf10ecc4eba8c40b467e3824b9ccb6ef7,ruby,ok,0,ruby,rspec,true,false,458,0,458,0,,,,"",5.73,
78138998,78138999,106,ed191cf3e4fdc4dbfa56e10f52e77a2a06b48092,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",3.21,
78138998,78139001,106,ed191cf3e4fdc4dbfa56e10f52e77a2a06b48092,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",3.01,
78138998,78139003,106,ed191cf3e4fdc4dbfa56e10f52e77a2a06b48092,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",4.2,
78138998,78139005,106,ed191cf3e4fdc4dbfa56e10f52e77a2a06b48092,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",4.57,
78139356,78139359,107,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",3.31,
78139356,78139364,107,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",3.01,
78139356,78139368,107,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",4.6,
78139356,78139372,107,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",5.56,
78139380,78139381,108,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",3.05,
78139380,78139383,108,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",2.96,
78139380,78139385,108,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",3.03,
78139380,78139390,108,06f44cf0b8b1af4b1b591772e8024f0f4d4d0c56,ruby,ok,0,ruby,rspec,true,false,352,0,352,0,,,,"",4.79,
78674710,78674711,109,b72e9432cf535837f757729da0414b47ced88e3e,ruby,ok,0,ruby,rspec,true,false,470,0,470,0,,,,"",4.2,
78674710,78674712,109,b72e9432cf535837f757729da0414b47ced88e3e,ruby,ok,0,ruby,rspec,true,false,470,0,470,0,,,,"",3.89,
