tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
610510787,610510788,100,1688cfa4de0cef12989b3ad3bd6a356dc928a3d3,general,broken,161,plain,"",false,,,,,,,,,"",,
610510787,610510789,100,1688cfa4de0cef12989b3ad3bd6a356dc928a3d3,general,broken,163,plain,"",false,,,,,,,,,"",,
610510787,610510790,100,1688cfa4de0cef12989b3ad3bd6a356dc928a3d3,general,broken,160,plain,"",false,,,,,,,,,"",,
610510787,610510791,100,1688cfa4de0cef12989b3ad3bd6a356dc928a3d3,general,broken,148,plain,"",false,,,,,,,,,"",,
610510787,610510792,100,1688cfa4de0cef12989b3ad3bd6a356dc928a3d3,general,broken,150,plain,"",false,,,,,,,,,"",,
610510787,610510794,100,1688cfa4de0cef12989b3ad3bd6a356dc928a3d3,general,broken,150,plain,"",false,,,,,,,,,"",,
610510787,610510795,100,1688cfa4de0cef12989b3ad3bd6a356dc928a3d3,general,broken,151,plain,"",false,,,,,,,,,"",,
610516985,610516986,101,fa984b4573bf78db88950951bac84bc67985d96d,general,broken,158,plain,"",false,,,,,,,,,"",,
610516985,610516987,101,fa984b4573bf78db88950951bac84bc67985d96d,general,broken,164,plain,"",false,,,,,,,,,"",,
610516985,610516988,101,fa984b4573bf78db88950951bac84bc67985d96d,general,broken,160,plain,"",false,,,,,,,,,"",,
610516985,610516989,101,fa984b4573bf78db88950951bac84bc67985d96d,general,broken,150,plain,"",false,,,,,,,,,"",,
610516985,610516990,101,fa984b4573bf78db88950951bac84bc67985d96d,general,broken,150,plain,"",false,,,,,,,,,"",,
610516985,610516991,101,fa984b4573bf78db88950951bac84bc67985d96d,general,broken,150,plain,"",false,,,,,,,,,"",,
610516985,610516992,101,fa984b4573bf78db88950951bac84bc67985d96d,general,broken,150,plain,"",false,,,,,,,,,"",,
610524083,610524084,102,c8869096c5f36ad1ff429b743e6d5ae559e085cd,general,broken,165,plain,"",false,,,,,,,,,"",,
610524083,610524085,102,c8869096c5f36ad1ff429b743e6d5ae559e085cd,general,broken,158,plain,"",false,,,,,,,,,"",,
610524083,610524086,102,c8869096c5f36ad1ff429b743e6d5ae559e085cd,general,broken,160,plain,"",false,,,,,,,,,"",,
610524083,610524087,102,c8869096c5f36ad1ff429b743e6d5ae559e085cd,general,broken,151,plain,"",false,,,,,,,,,"",,
610524083,610524088,102,c8869096c5f36ad1ff429b743e6d5ae559e085cd,general,broken,148,plain,"",false,,,,,,,,,"",,
610524083,610524089,102,c8869096c5f36ad1ff429b743e6d5ae559e085cd,general,broken,150,plain,"",false,,,,,,,,,"",,
610524083,610524090,102,c8869096c5f36ad1ff429b743e6d5ae559e085cd,general,broken,145,plain,"",false,,,,,,,,,"",,
610536576,610536577,103,ad061c212be056a9dd08ddeae76d8fb13a767f93,general,broken,160,plain,"",false,,,,,,,,,"",,
610536576,610536578,103,ad061c212be056a9dd08ddeae76d8fb13a767f93,general,broken,159,plain,"",false,,,,,,,,,"",,
610536576,610536579,103,ad061c212be056a9dd08ddeae76d8fb13a767f93,general,broken,177,plain,"",false,,,,,,,,,"",,
610536576,610536580,103,ad061c212be056a9dd08ddeae76d8fb13a767f93,general,broken,141,plain,"",false,,,,,,,,,"",,
610536576,610536581,103,ad061c212be056a9dd08ddeae76d8fb13a767f93,general,broken,152,plain,"",false,,,,,,,,,"",,
610536576,610536582,103,ad061c212be056a9dd08ddeae76d8fb13a767f93,general,broken,151,plain,"",false,,,,,,,,,"",,
610536576,610536583,103,ad061c212be056a9dd08ddeae76d8fb13a767f93,general,broken,147,plain,"",false,,,,,,,,,"",,
610538762,610538763,104,c3c1a0f9e3a64c6234f350136891fa1bd96f92fb,general,broken,162,plain,"",false,,,,,,,,,"",,
610538762,610538764,104,c3c1a0f9e3a64c6234f350136891fa1bd96f92fb,general,broken,164,plain,"",false,,,,,,,,,"",,
