tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
112692840,112692842,100,8c354057870079894eb557d7e1554039ec74e048,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
112694543,112694544,101,72646ef86a886f71cb49238ff98a8c9bf1aa8647,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
113718776,113718777,102,45474a9b25793b65f90da5e25190b714c2bf1953,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
114099341,114099342,103,acbf0f42ddc52c7e57f26c79b99f6a58e7708b0e,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
114103572,114103573,104,34b52501bde875853375c4e2b968a56b4168e790,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
148692435,148692436,105,5800b89ce9817f99b805776fe86046e2a26dc536,go,ok,10,go,"",false,,,,,,,,,"",,
148692476,148692477,106,a002f678cc0cc546eba8819a70dffde4ee49d3cf,go,ok,7,go,"",false,,,,,,,,,"",,
148693579,148693580,107,a5617823b012e94b9775ab865da29785cd6909d1,go,ok,9,go,"",false,,,,,,,,,"",,
148699906,148699907,108,34b52501bde875853375c4e2b968a56b4168e790,go,ok,7,go,"",false,,,,,,,,,"",,
148699954,148699955,109,6e9648cac63a02c95dbc2b49fe49a7c456d8454c,go,ok,7,go,"",false,,,,,,,,,"",,
89265022,89265025,10,c211cc9bef035b616be31e391df556734f118803,go,ok,9,go,gotest,true,false,0,0,,0,1,1,0,"",0.0,
148699981,148699982,110,ce93ad2d558de21f88739ba1cd289e8e1708a4d9,go,ok,6,go,"",false,,,,,,,,,"",,
148700139,148700140,111,34954f45cec4632059c6aa8ca6f769a748464cf7,go,ok,8,go,"",false,,,,,,,,,"",,
158642856,158642857,112,f882700b723834ad1371307b81930cde4b81c0aa,go,ok,7,go,"",false,,,,,,,,,"",,
158642929,158642930,113,c1a295e458be5b3f4711945712aaf8ea739a2aae,go,ok,8,go,"",false,,,,,,,,,"",,
159765338,159765339,114,e6fdb157e91f007265d9db6bbc7029d18bab4f6b,go,ok,6,go,"",false,,,,,,,,,"",,
166300447,166300448,115,12fa37d10d7e48cd451f4da1facc9b4ec8d631fa,go,ok,7,go,"",false,,,,,,,,,"",,
166300581,166300582,116,ed72ce6bfc4e650ab627b9c43a965aa0de7ab8ff,go,ok,6,go,"",false,,,,,,,,,"",,
166300826,166300827,117,03900620e2d015e9573ac7a20e71ed091a308ba0,go,ok,7,go,"",false,,,,,,,,,"",,
166300828,166300829,118,cfb301b879462dae79f0d9f8e75d347d6936831d,go,ok,6,go,"",false,,,,,,,,,"",,
166576751,166576752,119,7c77c70f8528a7b3310820aeec46d56a5be1ba70,go,ok,5,go,"",false,,,,,,,,,"",,
89266986,89266987,11,3bcc30f8fefe10a730e0df3a30ce1eb3c54b0861,go,ok,11,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
194672863,194672864,120,21eeec9dff5aeec5056630a1f331b8ee847f9a13,go,ok,9,go,"",false,,,,,,,,,"",,
194681407,194681408,121,216f61710be8e1a2d505b8f05f3fe5bf6905f1ec,go,ok,6,go,"",false,,,,,,,,,"",,
194876712,194876713,122,bf73829f30862b02fc610e8f9991747a850f4197,go,ok,9,go,"",false,,,,,,,,,"",,
199438329,199438330,123,27e8e9a42e9de3fa67e9e3e4c1f07f24f321804b,go,ok,7,go,"",false,,,,,,,,,"",,
199678740,199678741,124,872c516b9db383ce844d5494962deecde07ba499,go,ok,6,go,"",false,,,,,,,,,"",,
199910780,199910781,125,ca7099adbfe72bfe3ba2e27caef7b657ab0bb319,go,broken,6,go,gotest,true,true,0,5,,0,0,-4,4,TestEnvironmentVariable#TestEnvironmentVariableOverrideName#TestEnvironmentVariableError#TestEnvironmentVariableRequired#github.com/alexflint/go-arg,0.01,
200076576,200076577,126,b658405f709bae83d82b39f2669c6f9138f1b12c,go,ok,6,go,"",false,,,,,,,,,"",,
200173845,200173846,127,ec576f9765c4a5918918921e35a82f0907d77d36,go,ok,6,go,"",false,,,,,,,,,"",,
200173862,200173863,128,4908c73a6c2f8bd69cd3e6f80b5fd9c8e114d353,go,ok,6,go,"",false,,,,,,,,,"",,
200227687,200227688,129,765ccf745937c16486999600ecf789c646ac2e6c,go,ok,6,go,"",false,,,,,,,,,"",,
89271978,89271995,12,9111061915102e12f0e3481c3bf88aa23a3d7324,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.0,
202105132,202105133,130,6859799559dab59729eb5fefeb53080db9b92545,go,ok,6,go,"",false,,,,,,,,,"",,
202105222,202105223,131,548bc521fb8e0a5a72e8f111c960c9c519685f13,go,ok,7,go,"",false,,,,,,,,,"",,
202105739,202105740,132,38c51f4cabd18d77e57fc41ee52f9b3b47430cdb,go,ok,6,go,"",false,,,,,,,,,"",,
202105745,202105746,133,e7bf7ec6564d1cf62ce6ba22c721f0af9d59705f,go,ok,8,go,"",false,,,,,,,,,"",,
202107524,202107525,134,44a8b85d8250005629dd43d78b3e305bc57e1e24,go,ok,6,go,"",false,,,,,,,,,"",,
202107528,202107529,135,c5cb3352af9a78ee6dbca910b1be06fed74b3818,go,ok,9,go,"",false,,,,,,,,,"",,
202856596,202856597,136,2c249ee1fcc1d48bb2e8071c3396f7c97a383dd3,go,ok,6,go,"",false,,,,,,,,,"",,
203624581,203624582,137,62e677f4f879572fb6632115f521e585d1d66293,go,ok,6,go,"",false,,,,,,,,,"",,
203884914,203884915,138,c4c162448c8e84495e6fe7435c73291c05530f6d,go,ok,6,go,"",false,,,,,,,,,"",,
203885480,203885481,139,d7d8b7112fc8ffb5f80a4fbf5615517f7afc7e1b,go,ok,6,go,"",false,,,,,,,,,"",,
89272107,89272196,13,3a22e1c974cff26155032a6914be809aebfe59ee,go,ok,7,go,gotest,true,false,0,0,,0,1,1,0,"",0.0,
204264280,204264281,140,8488cf10ceffaa0c78f84ce82b38374c3e546940,go,ok,6,go,"",false,,,,,,,,,"",,
207344919,207344920,141,46219e08313acf908c5d05a8e572579743fec887,go,ok,6,go,"",false,,,,,,,,,"",,
207361048,207361049,142,19a7f4e6a7fb07fb13adf3875c353dacd8fa0b29,go,ok,6,go,"",false,,,,,,,,,"",,
207474880,207474881,143,e8907647177b70214ba2f4c7fe1b9f7e4f035bf3,go,ok,6,go,"",false,,,,,,,,,"",,
207478300,207478301,144,8a9d7cef1b671c9cb0dae0531f72c7c8be04779e,go,ok,6,go,"",false,,,,,,,,,"",,
207484555,207484556,145,5728529c3fbd6237fcf3dc75dcdb9fc0d5313509,go,broken,9,go,gotest,true,true,0,3,,0,0,-2,2,TestWriteUsage#TestUsageWithVersion#github.com/alexflint/go-arg,0.03,
207495026,207495027,146,a1646a68279f0df6b345984d6be753102a6ad113,go,ok,6,go,"",false,,,,,,,,,"",,
207583573,207583574,147,5ee4abe041a72061cb08369aa883abf742247974,go,ok,6,go,"",false,,,,,,,,,"",,
209089333,209089336,148,7e4ed10922d19799cb29b2876ad5cb2034327f24,go,broken,10,go,gotest,true,true,0,6,,0,0,-5,5,TestWriteUsage#TestUsageLongPositionalWithHelp#TestUsageWithProgramName#TestUsageWithVersion#TestUsageWithDescription#github.com/alexflint/go-arg,0.01,
209095172,209095173,149,49b7a753fde61d4b6d2df096b778d3cc4c93c3e2,go,ok,7,go,"",false,,,,,,,,,"",,
89275116,89275117,14,16cae5fe0c3b87c46d5367c328f57a481375f9f0,go,ok,11,go,gotest,true,false,0,0,,0,1,1,0,"",0.0,
209097150,209097151,150,3ee07dd68152eea50fa1e2f2c5302d07628a234d,go,ok,6,go,"",false,,,,,,,,,"",,
209233964,209233965,151,e6e0f59a1777b399abbd2ad840811ad5d6bab04e,go,ok,6,go,"",false,,,,,,,,,"",,
209437915,209437916,152,c9c92e7a0001ac4ed34ea47fe25cbdce7e6f2f5c,go,ok,6,go,"",false,,,,,,,,,"",,
209632064,209632065,153,8111804d1774e2f9e2f7f734a15d2fb9ca684685,go,ok,6,go,"",false,,,,,,,,,"",,
216888257,216888258,154,6ae78b48d0b49f923cf77e4e365b1de17163f6db,go,ok,6,go,"",false,,,,,,,,,"",,
216938721,216938722,155,cef6506c97e5731da728c374ff3523e481026423,go,ok,6,go,"",false,,,,,,,,,"",,
276224310,276224311,156,f10811859459af432cabd11929956e793372beb0,go,ok,6,go,"",false,,,,,,,,,"",,
280630890,280630891,157,398a01ebab8b6260be8714a39ad19ecb0db58dc1,go,ok,5,go,"",false,,,,,,,,,"",,
282249676,282249677,158,1c27698e36f7a344f5d86a6953ed1d5a43b3e14d,go,ok,10,go,"",false,,,,,,,,,"",,
282253030,282253031,159,c0d89e156beb8b2a5c41e6a0fb33868508436bd3,go,ok,6,go,"",false,,,,,,,,,"",,
89279536,89279538,15,70c56eff661a679ce7a9826e1d8062a524099355,go,ok,9,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
282502648,282502649,160,59fccacb2679dde66e0b20ed65bd26178fcbf54e,go,ok,5,go,"",false,,,,,,,,,"",,
328571470,328571471,161,a0df5f33915247a80a077ec48ed14a8ad5579da4,go,ok,8,go,"",false,,,,,,,,,"",,
328571543,328571544,162,52dd55d730b7f7735295b891c6b85514452f9e8d,go,ok,6,go,"",false,,,,,,,,,"",,
337668051,337668052,163,0cc8e30fd64c8c71d094be299ad424da93ef9aed,go,ok,6,go,"",false,,,,,,,,,"",,
365945710,365945711,164,31e50a97019d153b194940606f03442a046b8ecc,go,ok,9,go,"",false,,,,,,,,,"",,
366951869,366951870,165,b92a05c1e0b531acd62227caed90b482eef8e499,go,ok,6,go,"",false,,,,,,,,,"",,
366956462,366956463,166,b1eda2c7b64c118d56472c1944054bf9235d6c48,go,ok,11,go,"",false,,,,,,,,,"",,
368474162,368474163,167,b9375a2e66525c12064e8bcd3b2ff68711182ecc,go,ok,9,go,"",false,,,,,,,,,"",,
368474280,368474281,168,c096c9eae13d499e46a9b7384301f21559022bc6,go,ok,11,go,"",false,,,,,,,,,"",,
368474568,368474569,169,4d71204936cbe2b4d7ebeb5b8a4d25432599eb17,go,ok,11,go,"",false,,,,,,,,,"",,
89279609,89279614,16,0ba146b3289935fcc14b41b9e31c0f87712d5834,go,ok,9,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
368474570,368474571,170,85da351c81378a9714ed7fa2f993ba9cff4b3b26,go,ok,6,go,"",false,,,,,,,,,"",,
369174841,369174842,171,074ee5f759999d103724b5594e33901adeb28e73,go,ok,16,go,"",false,,,,,,,,,"",,
371692932,371692933,172,d8a316b1199cbb1ad44b96ad0386f80e36d837d0,go,ok,9,go,"",false,,,,,,,,,"",,
371702262,371702263,173,d8a316b1199cbb1ad44b96ad0386f80e36d837d0,go,ok,11,go,"",false,,,,,,,,,"",,
373388012,373388013,174,776d45acb8c081c7ab88b92707a24aae852c3480,go,ok,7,go,"",false,,,,,,,,,"",,
378879014,378879015,175,9381fea576bee76188cb87835ddfb158f48adc34,go,ok,6,go,"",false,,,,,,,,,"",,
379851593,379851594,176,f7c0423bd11ee80ab81d25c6d46f492998af8547,go,ok,7,go,"",false,,,,,,,,,"",,
392556034,392556035,177,296d0b97a7531d93cd018db7ff0baea34c179c59,go,ok,10,go,"",false,,,,,,,,,"",,
457366158,457366159,178,5423bb72fc2e44268d3678da3f19e23fd5cb0ea6,go,ok,8,go,"",false,,,,,,,,,"",,
457592703,457592704,179,fb7d95b61ba8d5860c76afb69243586dff37ae85,go,ok,9,go,"",false,,,,,,,,,"",,
89284774,89284776,17,4ca36520b385766662a07ed2854cf4cbfb2d1027,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
457626885,457626886,180,d7246f2485afaca12c2d4c1b04aca2e3d4d9a27b,go,ok,10,go,"",false,,,,,,,,,"",,
457627506,457627507,181,ba4955583d43d953df04883c7bcb624118fcb410,go,ok,9,go,"",false,,,,,,,,,"",,
457659652,457659653,182,e85cc7a2e22c960a656bed477f00d86a9a2c72ca,go,ok,10,go,"",false,,,,,,,,,"",,
457659652,457659654,182,e85cc7a2e22c960a656bed477f00d86a9a2c72ca,go,ok,21,go,"",false,,,,,,,,,"",,
457659652,457659655,182,e85cc7a2e22c960a656bed477f00d86a9a2c72ca,go,ok,21,go,"",false,,,,,,,,,"",,
457659695,457659696,183,a90b56c8a854a68a3832d2e326b6f57591979589,go,ok,10,go,"",false,,,,,,,,,"",,
457659695,457659697,183,a90b56c8a854a68a3832d2e326b6f57591979589,go,ok,21,go,"",false,,,,,,,,,"",,
457659695,457659698,183,a90b56c8a854a68a3832d2e326b6f57591979589,go,ok,19,go,"",false,,,,,,,,,"",,
472744146,472744147,184,f40417ef119019b1c94b79f3f18b7f66b9fb6bce,go,ok,9,go,"",false,,,,,,,,,"",,
472744146,472744148,184,f40417ef119019b1c94b79f3f18b7f66b9fb6bce,go,ok,22,go,"",false,,,,,,,,,"",,
472744146,472744149,184,f40417ef119019b1c94b79f3f18b7f66b9fb6bce,go,ok,14,go,"",false,,,,,,,,,"",,
472744609,472744610,185,f40417ef119019b1c94b79f3f18b7f66b9fb6bce,go,ok,9,go,"",false,,,,,,,,,"",,
472744609,472744611,185,f40417ef119019b1c94b79f3f18b7f66b9fb6bce,go,ok,21,go,"",false,,,,,,,,,"",,
472744609,472744612,185,f40417ef119019b1c94b79f3f18b7f66b9fb6bce,go,ok,20,go,"",false,,,,,,,,,"",,
472753996,472753997,186,f8987d11059a6a868a8e179832e7dfaeaac854f0,go,ok,14,go,"",false,,,,,,,,,"",,
472753996,472753998,186,f8987d11059a6a868a8e179832e7dfaeaac854f0,go,ok,24,go,"",false,,,,,,,,,"",,
472753996,472753999,186,f8987d11059a6a868a8e179832e7dfaeaac854f0,go,ok,14,go,"",false,,,,,,,,,"",,
472754505,472754506,187,52ef94fc0a0109aa4e438451582b863517069916,go,ok,8,go,"",false,,,,,,,,,"",,
472754505,472754507,187,52ef94fc0a0109aa4e438451582b863517069916,go,ok,17,go,"",false,,,,,,,,,"",,
472754505,472754508,187,52ef94fc0a0109aa4e438451582b863517069916,go,ok,13,go,"",false,,,,,,,,,"",,
472765807,472765808,188,57836b82be062adc498c947cc923538cf7698b77,go,ok,10,go,"",false,,,,,,,,,"",,
472765807,472765809,188,57836b82be062adc498c947cc923538cf7698b77,go,ok,22,go,"",false,,,,,,,,,"",,
472765807,472765810,188,57836b82be062adc498c947cc923538cf7698b77,go,ok,14,go,"",false,,,,,,,,,"",,
508979394,508979395,189,1d8e4da9ccf78c605bd4eacf073e9efa4f71bbcf,go,ok,9,go,"",false,,,,,,,,,"",,
508979394,508979396,189,1d8e4da9ccf78c605bd4eacf073e9efa4f71bbcf,go,unknown,35,go,"",false,,,,,,,,,"",,
508979394,508979397,189,1d8e4da9ccf78c605bd4eacf073e9efa4f71bbcf,go,ok,22,go,"",false,,,,,,,,,"",,
89285155,89285159,18,239d0c1c6fb1a30aabaf46ac937ad1e061dccd7d,go,ok,8,go,gotest,true,false,0,0,,0,1,1,0,"",0.01,
508979914,508979916,190,091ea6e81cb2e3ba1dd20e6ccc87e8016b4404ce,go,ok,8,go,"",false,,,,,,,,,"",,
508979914,508979918,190,091ea6e81cb2e3ba1dd20e6ccc87e8016b4404ce,go,unknown,28,go,"",false,,,,,,,,,"",,
508979914,508979920,190,091ea6e81cb2e3ba1dd20e6ccc87e8016b4404ce,go,ok,23,go,"",false,,,,,,,,,"",,
515794240,515794241,191,6b4ab7355c15a6935d03ca04bcdce6b77530c1b9,go,ok,9,go,"",false,,,,,,,,,"",,
515794240,515794242,191,6b4ab7355c15a6935d03ca04bcdce6b77530c1b9,go,ok,23,go,"",false,,,,,,,,,"",,
515794240,515794243,191,6b4ab7355c15a6935d03ca04bcdce6b77530c1b9,go,ok,18,go,"",false,,,,,,,,,"",,
515794797,515794798,192,f466bd20ec414038b75e277407a71b0c39feea3c,go,ok,10,go,"",false,,,,,,,,,"",,
515794797,515794799,192,f466bd20ec414038b75e277407a71b0c39feea3c,go,ok,24,go,"",false,,,,,,,,,"",,
515794797,515794800,192,f466bd20ec414038b75e277407a71b0c39feea3c,go,ok,16,go,"",false,,,,,,,,,"",,
