tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
140186226,140186228,100,e69f43e0719ef5ffcd702066ec762ba0753c04ae,java,broken,6,java-maven,junit,true,true,3731,3,3734,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#test_maxWaitThread(com.alibaba.druid.bvt.pool.DruidDataSourceTest_notEmptyWait2)#,66.70000000000032,
140188327,140188329,101,7808fe9118978ce914325912de5a3ab9440329d1,java,broken,8,java-maven,junit,true,true,3733,2,3735,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,66.80000000000034,
140193870,140193871,102,ee31a42afcbed1341580ebfc1dd648b07d444d39,java,broken,6,java-maven,junit,true,true,3735,2,3737,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.96000000000024,
140195610,140195611,103,6ac06f39a0a0972fee645a92520d519a2294c08a,java,broken,6,java-maven,junit,true,true,3736,2,3738,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.44000000000028,
140221069,140221070,104,4e28685e231cfd9d479306fa8a31a2252581cf2c,java,broken,7,java-maven,junit,true,true,3737,2,3739,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,68.2200000000003,
140232867,140232868,105,f27d3595e6adf8353fa355c75e92f526ca442303,java,broken,6,java-maven,junit,true,true,3738,3,3741,0,,,,test_0(com.alibaba.druid.bvt.pool.PasswordCallbackTest)#test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.86000000000024,
140234905,140234906,106,556f8a76d4ca2c8edda75a29974d3413686d09cc,java,broken,6,java-maven,junit,true,true,3739,3,3742,0,,,,test_0(com.alibaba.druid.bvt.pool.PasswordCallbackTest)#test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.31000000000029,
140872100,140872101,107,eb5c8d708e59d58661f81a2227315ab65419cf59,java,broken,8,java-maven,junit,true,true,3739,5,3744,0,,,,test_column_comment_2(com.alibaba.druid.bvt.sql.odps.OdpsFormatCommentTest18)#test_0(com.alibaba.druid.bvt.sql.db2.DB2SelectTest_10)#test_0(com.alibaba.druid.bvt.pool.PasswordCallbackTest)#test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,67.32000000000029,
140877771,140877776,108,493f69c64e459b752af2424da93baf3ba372db44,java,broken,10,java-maven,junit,true,true,3741,3,3744,0,,,,test_0(com.alibaba.druid.bvt.pool.PasswordCallbackTest)#test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,67.76000000000028,
140882375,140882376,109,c565260990372be880cfe0123d3f482ab56073cf,java,broken,9,java-maven,junit,true,true,3742,2,3744,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,66.9200000000003,
125307959,125307960,10,e27c9c77bf3be86d79e67330859be6dba6930f25,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
141017390,141017391,110,022c0fe6202d68949002e7473f59496d2d5a5a3d,java,broken,7,java-maven,junit,true,true,3746,2,3748,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,67.85000000000032,
141118176,141118178,111,7345e67f4a7463e4fed668846688b5b35e8aaef8,java,broken,6,java-maven,junit,true,true,3747,2,3749,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.65000000000032,
141120899,141120908,112,521192c39abb51bc704f8ec7fe60fc76ad242a41,java,broken,8,java-maven,junit,true,true,3748,2,3750,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,67.14000000000028,
141122084,141122097,113,fc96c0c424be484b56b369a361603f87b5fd1cdf,java,broken,6,java-maven,junit,true,true,3749,2,3751,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,64.28000000000031,
141126312,141126325,114,52003d473f0d49891db19c887be74024b20019cd,java,broken,10,java-maven,junit,true,true,3750,2,3752,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.49000000000031,
141129129,141129131,115,6f30a6c3ed1285876c03553cb40760d535a1e1d6,java,broken,6,java-maven,junit,true,true,3751,2,3753,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.54000000000023,
141130094,141130101,116,4f7c3aec899d25bab1b3524535e834eb6818e853,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
141134495,141134500,117,33f5970ed17206bda259a49d94167104d5bcb949,java,unknown,7,java-ant,"",false,,,,,,,,,"",,
141135335,141135344,118,a5154e3ca33963e288c3c45751f7b4efa9697ff1,java,broken,7,java-maven,junit,true,true,3734,2,3736,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,62.38000000000032,
141137617,141137628,119,f744f260eef69ab5fcea49df4a89436b24bc8b94,java,broken,6,java-maven,junit,true,true,3734,2,3736,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,63.9400000000003,
125308092,125308093,11,c729ddd24c56a53d1dfbac2eb271ed0572dd157f,java,unknown,7,java-ant,"",false,,,,,,,,,"",,
141138729,141138743,120,f744f260eef69ab5fcea49df4a89436b24bc8b94,java,broken,6,java-maven,junit,true,true,3734,2,3736,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,95.9400000000003,
141244675,141244676,121,627b8cf9aa3957af7002ea80de45d019c85d31ca,java,broken,5,java-maven,junit,true,true,3734,2,3736,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,70.15000000000043,
141500991,141500992,122,c82d751da5768977da5bb6a47333293e8efaadf8,java,broken,6,java-maven,junit,true,true,3734,2,3736,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,94.84000000000034,
143399339,143399343,123,2ccd7cf22e0780f98b75291b4f9342dd225eea5a,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
143428034,143428035,124,552e090d11c2cbce1633a06f17ab8a01c7c4bd9b,java,unknown,7,java-ant,"",false,,,,,,,,,"",,
143530047,143530048,125,aeacdb649a88d78d865af7f3fef38198471ed8c2,java,unknown,8,java-ant,"",false,,,,,,,,,"",,
143542055,143542056,126,64e0794dd3592e797328696ece26f2753dce0a45,java,unknown,7,java-ant,"",false,,,,,,,,,"",,
143659328,143659330,127,22f3891d2c5a4335a2e3754a8433a8fe4b9cc0b9,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
143682008,143682009,128,670600b8c2fe8fb9ab5bd0f0abf87f1515838069,java,unknown,6,java-ant,"",false,,,,,,,,,"",,
143683812,143683814,129,2fd69e21230f3ad7dc488997c2faa268795cf8a1,java,broken,6,java-maven,junit,true,true,3754,2,3756,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,66.40000000000029,
125311571,125311572,12,7179a2c453f9b1731d8a2eb4e42dabf806290f48,java,unknown,4,java-ant,"",false,,,,,,,,,"",,
143685475,143685476,130,2fd69e21230f3ad7dc488997c2faa268795cf8a1,java,broken,6,java-maven,junit,true,true,3754,2,3756,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,63.95000000000019,
143685665,143685666,131,f526bf594365f8b583cbe968066dec6d93f92e95,java,broken,7,java-maven,junit,true,true,3754,2,3756,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,68.72000000000034,
144337102,144337104,132,11ff35f4aea5e95b670694411574d2438c5e8d54,java,broken,6,java-maven,junit,true,true,3756,2,3758,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,63.46000000000027,
145018188,145018204,133,3c81a2813a7648eb720ad833b04a4429c8234450,java,broken,7,java-maven,junit,true,true,3759,2,3761,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.96000000000028,
145032828,145032837,134,454b60938cc6d14c2b26c90723bb71d77632e0be,java,broken,6,java-maven,junit,true,true,3760,2,3762,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,63.940000000000346,
145157877,145157878,135,d88e5e6b702dff331fdd7030888c9444ba98b978,java,broken,5,java-maven,junit,true,true,3760,2,3762,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,67.77000000000031,
145176779,145176780,136,c6abf24e650f535904c5900b4f0f5c30e86d9c2c,java,broken,7,java-maven,junit,true,true,3760,2,3762,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.5100000000002,
145198073,145198074,137,2830b8d50ae07e9b2d201466b921636ca56cf7fd,java,broken,6,java-maven,junit,true,true,3762,2,3764,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,64.12000000000019,
146828877,146828878,138,0c224ad8c5bbf29b249d493345d9dd96680bfdad,java,broken,6,java-maven,junit,true,true,3763,2,3765,0,,,,test_close(com.alibaba.druid.bvt.pool.TestClose_0)#,65.36000000000021,
