tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
730061612,730061613,2044,8efe6b4473be005cf092fe2e820629d3a86fb2e5,ruby,ok,73,ruby,testunit,true,false,390,0,390,12,,,,"",0,
730061612,730061614,2044,8efe6b4473be005cf092fe2e820629d3a86fb2e5,ruby,ok,17,ruby,testunit,true,false,390,0,390,13,,,,"",0,
730061612,730061615,2044,8efe6b4473be005cf092fe2e820629d3a86fb2e5,ruby,ok,22,ruby,testunit,true,false,390,0,390,13,,,,"",0,
730061612,730061616,2044,8efe6b4473be005cf092fe2e820629d3a86fb2e5,ruby,ok,15,ruby,testunit,true,false,390,0,390,12,,,,"",0,
730061612,730061617,2044,8efe6b4473be005cf092fe2e820629d3a86fb2e5,ruby,ok,71,ruby,testunit,true,false,390,0,390,16,,,,"",0,
730061612,730061618,2044,8efe6b4473be005cf092fe2e820629d3a86fb2e5,ruby,ok,68,ruby,testunit,true,false,390,0,390,16,,,,"",0,
733128876,733128877,2045,3113e439206c3f9584cc8986829867afcbf51f79,ruby,ok,23,ruby,testunit,true,false,391,0,391,12,,,,"",0,
733128876,733128878,2045,3113e439206c3f9584cc8986829867afcbf51f79,ruby,ok,21,ruby,testunit,true,false,391,0,391,13,,,,"",0,
733128876,733128879,2045,3113e439206c3f9584cc8986829867afcbf51f79,ruby,ok,22,ruby,testunit,true,false,391,0,391,13,,,,"",0,
733128876,733128880,2045,3113e439206c3f9584cc8986829867afcbf51f79,ruby,ok,16,ruby,testunit,true,false,391,0,391,12,,,,"",0,
733128876,733128881,2045,3113e439206c3f9584cc8986829867afcbf51f79,ruby,ok,23,ruby,testunit,true,false,391,0,391,16,,,,"",0,
733128876,733128882,2045,3113e439206c3f9584cc8986829867afcbf51f79,ruby,ok,23,ruby,testunit,true,false,391,0,391,16,,,,"",0,
738136114,738136118,2046,7c00054a41ff93b5d014b51cd2096a20d2303463,ruby,ok,23,ruby,testunit,true,false,390,0,390,12,,,,"",0,
738136114,738136119,2046,7c00054a41ff93b5d014b51cd2096a20d2303463,ruby,ok,22,ruby,testunit,true,false,390,0,390,13,,,,"",0,
738136114,738136120,2046,7c00054a41ff93b5d014b51cd2096a20d2303463,ruby,ok,50,ruby,testunit,true,false,390,0,390,13,,,,"",0,
738136114,738136121,2046,7c00054a41ff93b5d014b51cd2096a20d2303463,ruby,ok,16,ruby,testunit,true,false,390,0,390,12,,,,"",0,
738136114,738136122,2046,7c00054a41ff93b5d014b51cd2096a20d2303463,ruby,ok,70,ruby,testunit,true,false,390,0,390,16,,,,"",0,
738136114,738136123,2046,7c00054a41ff93b5d014b51cd2096a20d2303463,ruby,ok,65,ruby,testunit,true,false,390,0,390,16,,,,"",0,
