tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
75853546,75853547,10,aa1fee144a49b8c9f31aaa7b74689f881d0f5bcd,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
75853546,75853548,10,aa1fee144a49b8c9f31aaa7b74689f881d0f5bcd,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
75853546,75853549,10,aa1fee144a49b8c9f31aaa7b74689f881d0f5bcd,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
75853866,75853867,11,5e028964c7ded1c1ae8e4dda79087b14ee8d95be,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
75853866,75853868,11,5e028964c7ded1c1ae8e4dda79087b14ee8d95be,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
75853866,75853869,11,5e028964c7ded1c1ae8e4dda79087b14ee8d95be,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83501293,83501294,12,e833b79e08fffc67bfa56023adf486a164200a8d,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83501293,83501295,12,e833b79e08fffc67bfa56023adf486a164200a8d,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83501293,83501296,12,e833b79e08fffc67bfa56023adf486a164200a8d,go,broken,0,go,gotest,true,true,8,2,10,0,0,-1,1,TestSubcribeOnceAsync-2 (0.00#github.com/asaskevich/EventBus,1.0,
83501916,83501917,13,e833b79e08fffc67bfa56023adf486a164200a8d,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83501916,83501919,13,e833b79e08fffc67bfa56023adf486a164200a8d,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83501916,83501928,13,e833b79e08fffc67bfa56023adf486a164200a8d,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83580049,83580050,14,64cae489ec1f20e2e480e267058e24b55aca4b05,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83580049,83580051,14,64cae489ec1f20e2e480e267058e24b55aca4b05,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83580049,83580052,14,64cae489ec1f20e2e480e267058e24b55aca4b05,go,ok,0,go,gotest,true,false,9,0,9,0,1,1,0,"",0,
83616802,83616803,15,8fec249ff89e6b0d256640c2efc6b671f45e14e9,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
83616802,83616804,15,8fec249ff89e6b0d256640c2efc6b671f45e14e9,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
83616802,83616805,15,8fec249ff89e6b0d256640c2efc6b671f45e14e9,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
83616926,83616927,16,2125ed685ee6e8dec49c6b28ca766c595cccb216,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
83616926,83616928,16,2125ed685ee6e8dec49c6b28ca766c595cccb216,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
83616926,83616930,16,2125ed685ee6e8dec49c6b28ca766c595cccb216,go,ok,0,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
98319657,98319658,17,6aeba3018f7eb0db36867d53376c9ab2933292d4,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
98319657,98319659,17,6aeba3018f7eb0db36867d53376c9ab2933292d4,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
98319657,98319660,17,6aeba3018f7eb0db36867d53376c9ab2933292d4,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
98335126,98335127,18,ab9e5ceb2cc1ca6f36a5813c928c534e837681c2,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
98335126,98335128,18,ab9e5ceb2cc1ca6f36a5813c928c534e837681c2,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
98335126,98335129,18,ab9e5ceb2cc1ca6f36a5813c928c534e837681c2,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
211332622,211332623,19,556068ab55c819323d634127b72673bc97e8a0a1,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
211332622,211332624,19,556068ab55c819323d634127b72673bc97e8a0a1,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
211332622,211332625,19,556068ab55c819323d634127b72673bc97e8a0a1,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
44822174,44822176,1,f875c7485b97053c001c99999801a00c805c132e,go,ok,0,go,gotest,true,false,6,0,6,0,1,1,0,"",0,
44822174,44822178,1,f875c7485b97053c001c99999801a00c805c132e,go,ok,0,go,gotest,true,false,6,0,6,0,1,1,0,"",0,
44822174,44822179,1,f875c7485b97053c001c99999801a00c805c132e,go,ok,0,go,gotest,true,false,6,0,6,0,1,1,0,"",0,
211867170,211867171,20,52a0dcfcbd8299da13aad44b96a6642dd79cbb08,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
211867170,211867172,20,52a0dcfcbd8299da13aad44b96a6642dd79cbb08,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
211867170,211867173,20,52a0dcfcbd8299da13aad44b96a6642dd79cbb08,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
218035113,218035114,21,0fcc794fa76f17b075c19408769639c025590dcc,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
218035113,218035116,21,0fcc794fa76f17b075c19408769639c025590dcc,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
218035113,218035117,21,0fcc794fa76f17b075c19408769639c025590dcc,go,ok,1,go,gotest,true,false,15,0,15,0,1,1,0,"",0,
218570538,218570539,22,19aa834f438c7a1b9c20baa22b2c10d7369cf974,go,ok,1,go,gotest,true,false,16,0,16,0,1,1,0,"",0,
218570538,218570540,22,19aa834f438c7a1b9c20baa22b2c10d7369cf974,go,ok,1,go,gotest,true,false,16,0,16,0,1,1,0,"",0,
218570538,218570541,22,19aa834f438c7a1b9c20baa22b2c10d7369cf974,go,ok,1,go,gotest,true,false,16,0,16,0,1,1,0,"",0,
220383733,220383734,23,b76dd69e4808975bfbe19d37ed261c0134db7c32,go,ok,1,go,gotest,true,false,16,0,16,0,1,1,0,"",0,
