build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
615876231,b1dcb90924b1e422bea7691a2cb3072cc96dbce4,,master,passed,67,2019-11-23 04:27:20 UTC,615876232,push
615452886,32021d45b4893a5b2c5d554e0f1f7797021b47fd,,master,passed,57,2019-11-22 09:00:00 UTC,615452887,push
615452877,f66b2a9f53521bbabf9a0c70b2bb91d4de5085bb,,latke-parent-3.0.17,passed,65,2019-11-22 08:59:53 UTC,615452878,push
615452849,f66b2a9f53521bbabf9a0c70b2bb91d4de5085bb,,master,canceled,0,,615452850,push
615452585,2f7ffc8a86aafe5715c579cef966fefd4739b123,,master,passed,59,2019-11-22 08:59:21 UTC,615452586,push
615452141,fe69aaef9d1daf94fb36b2edcdeb4b6059e4f5fb,,master,passed,64,2019-11-22 08:57:29 UTC,615452142,push
615377036,a4c6b52b41e12afa9fa06089d5ee63df3a83ecc0,,master,passed,65,2019-11-22 03:57:40 UTC,615377037,push
615377016,1eb36e10e5bf71039488bc6c2203febc79b02587,,latke-parent-3.0.16,passed,60,2019-11-22 03:57:36 UTC,615377017,push
615376786,1eb36e10e5bf71039488bc6c2203febc79b02587,,master,canceled,0,,615376787,push
615376589,05436eededdcaacb6cefafd697e7144d36936a69,,master,passed,59,2019-11-22 03:56:17 UTC,615376590,push
615376091,cccee5eb327482f085a96bab456b693fc701496d,,master,passed,59,2019-11-22 03:53:27 UTC,615376092,push
615376057,351427e2c4170020591a751723b22807d759c38c,,latke-parent-3.0.15,passed,60,2019-11-22 03:53:16 UTC,615376058,push
615376025,351427e2c4170020591a751723b22807d759c38c,,master,canceled,0,,615376026,push
615375661,b9eb7bcb49e0506584a53dabf855bd73632f8bf1,,master,passed,70,2019-11-22 03:51:18 UTC,615375662,push
614328230,828408e0d5cee3044c6fd4148904bc8587aefb88,,master,passed,64,2019-11-20 02:36:55 UTC,614328231,push
614298177,d8b3533f0a3829f7c44c15e403a0f9f3a53e4bee,,master,passed,64,2019-11-20 00:35:22 UTC,614298178,push
610127288,b2689ca196be595a13c777bc84ceb20b2164d2f0,,master,passed,53,2019-11-11 02:00:29 UTC,610127289,push
610127261,9e41398b2f1d4b5ba691dc9907cd9b8d052cacc4,,latke-parent-3.0.14,passed,56,2019-11-11 02:00:25 UTC,610127262,push
610127238,9e41398b2f1d4b5ba691dc9907cd9b8d052cacc4,,master,canceled,0,,610127239,push
610127036,7aa66cac92ce61d9f20d62bb490dfe39d7d2081b,,master,passed,58,2019-11-11 01:59:43 UTC,610127037,push
610126905,e17ae6225437872cd9e6bbdd23f586c651c91e08,,master,passed,61,2019-11-11 01:59:16 UTC,610126906,push
610119019,4ed21c67e9e726866bbdf4ad017d4c0a305390d2,,master,passed,56,2019-11-11 01:15:19 UTC,610119020,push
610119013,c5ff2e7ffdf855f88e6cc81eb413c00e38d5984a,,latke-parent-3.0.13,passed,60,2019-11-11 01:15:15 UTC,610119014,push
610119001,c5ff2e7ffdf855f88e6cc81eb413c00e38d5984a,,master,canceled,0,,610119002,push
610118741,2fb7b2fe5d847573451e8dfbcaad266f0128446d,,master,passed,62,2019-11-11 01:13:18 UTC,610118742,push
610116336,d22461591d2d762766768e2337865a616d06eeb3,,master,passed,56,2019-11-11 01:00:32 UTC,610116337,push
609673896,829486bb6dc90690cce61f2467d850a475c80582,,latke-parent-3.0.12,passed,68,2019-11-09 15:33:18 UTC,609673897,push
609673855,26e5b52efb0b2260e51f91c30197d8e52f4df4a1,,master,passed,58,2019-11-09 15:33:17 UTC,609673856,push
609673759,829486bb6dc90690cce61f2467d850a475c80582,,master,canceled,0,,609673760,push
609673116,79fbae864e14e70077eecd2d4f4ad20dbea24be8,,master,passed,60,2019-11-09 15:30:40 UTC,609673117,push
609519003,8803b953e2f96d0acacb8321297b7be01be68d80,,master,passed,63,2019-11-09 02:30:00 UTC,609519004,push
609516242,53d04b3abded5df8d2379441d31780ea4d94faa4,,master,passed,64,2019-11-09 02:17:26 UTC,609516243,push
609226808,aa807a71cde6f795f414235c742fbda98a85085e,,master,passed,54,2019-11-08 13:12:15 UTC,609226809,push
609226776,d7561e0923444f3febe138b2c3e386524b252b7a,,latke-parent-3.0.11,passed,59,2019-11-08 13:12:13 UTC,609226777,push
609226753,d7561e0923444f3febe138b2c3e386524b252b7a,,master,canceled,0,,609226754,push
609226432,4f1b7a4ec7aa8b6106a4c751ef103e5dbc4a2039,,master,passed,55,2019-11-08 13:11:21 UTC,609226433,push
609216758,f38290faa9da35ec18e592f77df0f00934a188b1,,master,passed,60,2019-11-08 12:44:46 UTC,609216759,push
609165005,5cb3642915987bd424687e033a1a17441d59bde0,,master,passed,60,2019-11-08 10:18:54 UTC,609165006,push
609129021,d981cca5e03b5d0921d80e0ea6f842dccd658416,,master,passed,60,2019-11-08 08:35:18 UTC,609129022,push
609129002,50a2858f61c997a5b6ba44f084f82c815ace3735,,latke-parent-3.0.10,passed,58,2019-11-08 08:35:05 UTC,609129003,push
609128996,50a2858f61c997a5b6ba44f084f82c815ace3735,,master,canceled,0,,609128998,push
609128535,9e9e79297d2c78378d85088b58b34161777e8ec0,,master,passed,58,2019-11-08 08:34:24 UTC,609128536,push
609127752,730244f0d77fcd5cde0757554b886a845e2a09bc,,master,passed,59,2019-11-08 08:32:33 UTC,609127753,push
609120670,5a4bcd11bd0de72470c9379d5de0db1b5e7a02d7,,master,passed,57,2019-11-08 08:11:40 UTC,609120671,push
609120642,2de0a103c3c3282c72ab278d0808b3f4082a83a1,,latke-parent-3.0.9,passed,58,2019-11-08 08:11:39 UTC,609120643,push
609120626,2de0a103c3c3282c72ab278d0808b3f4082a83a1,,master,canceled,0,,609120627,push
609082968,40f6c40ffb2e66f8e838ef6363c57f6f3dff9c46,,master,passed,63,2019-11-08 05:36:25 UTC,609082969,push
609068458,fe8ffb3df3499b28f6c262ab0d45b2ba3eb79e7c,,master,passed,62,2019-11-08 04:20:39 UTC,609068459,push
609056866,98e50a113fc196377215a0717cec9546e806e7ef,,master,passed,61,2019-11-08 03:16:22 UTC,609056867,push
609056860,8e4cb5e2db713f61f29ab084f37a4ff90039e721,,latke-parent-3.0.8,passed,63,2019-11-08 03:16:23 UTC,609056861,push
609056858,8e4cb5e2db713f61f29ab084f37a4ff90039e721,,master,canceled,0,,609056859,push
609056353,3d56aaf0e1978e9384b5c0948a35982317d1c742,,master,passed,59,2019-11-08 03:13:01 UTC,609056354,push
609056283,042040e68636e50392a16660874e5123820b93a9,,master,passed,61,2019-11-08 03:12:30 UTC,609056284,push
609049783,77a7a7dacf5bac2ecbf35689eb346d555407c159,,master,passed,59,2019-11-08 02:41:26 UTC,609049784,push
609048161,096f30311020f840a779306ea5dbb19d0dd4ce9e,,master,passed,57,2019-11-08 02:35:22 UTC,609048162,push
609046240,279a86d13731e6cb88d7924b3cd5915032c7ff1e,,master,passed,57,2019-11-08 02:27:42 UTC,609046241,push
609046223,b26875fbf6c0c7683b399da9060c38b5f66e8d09,,latke-parent-3.0.7,passed,58,2019-11-08 02:27:41 UTC,609046224,push
609046216,b26875fbf6c0c7683b399da9060c38b5f66e8d09,,master,canceled,0,,609046217,push
