tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
646005660,646005662,2397,ca63b8c3e2ebdf029a5cf3af5a54dc6a58937ce0,java,ok,1,java-ant,"",false,,,,,,,,,"",,29.3
646005660,646005663,2397,ca63b8c3e2ebdf029a5cf3af5a54dc6a58937ce0,java,ok,1,java-ant,"",false,,,,,,,,,"",,35.1
646005660,646005664,2397,ca63b8c3e2ebdf029a5cf3af5a54dc6a58937ce0,java,ok,4,java-ant,"",false,,,,,,,,,"",,35.22
646005660,646005665,2397,ca63b8c3e2ebdf029a5cf3af5a54dc6a58937ce0,java,ok,1,java-ant,"",false,,,,,,,,,"",,37.36
646014971,646014972,2398,3ed5003e5e14af33f94d655ecc757556eaba24b9,java,ok,1,java-ant,"",false,,,,,,,,,"",,27.95
646014971,646014973,2398,3ed5003e5e14af33f94d655ecc757556eaba24b9,java,ok,1,java-ant,"",false,,,,,,,,,"",,32.69
646014971,646014974,2398,3ed5003e5e14af33f94d655ecc757556eaba24b9,java,ok,1,java-ant,"",false,,,,,,,,,"",,34.7
646014971,646014975,2398,3ed5003e5e14af33f94d655ecc757556eaba24b9,java,ok,1,java-ant,"",false,,,,,,,,,"",,36.14
646016019,646016020,2399,284128dc75db3ac084f7aba3f76d53d9cce592fd,java,ok,1,java-ant,"",false,,,,,,,,,"",,28.16
646016019,646016021,2399,284128dc75db3ac084f7aba3f76d53d9cce592fd,java,ok,1,java-ant,"",false,,,,,,,,,"",,32.39
646016019,646016023,2399,284128dc75db3ac084f7aba3f76d53d9cce592fd,java,ok,2,java-ant,"",false,,,,,,,,,"",,36.74
646016019,646016024,2399,284128dc75db3ac084f7aba3f76d53d9cce592fd,java,ok,1,java-ant,"",false,,,,,,,,,"",,35.4
646236590,646236591,2400,8085a860ea4cbbc336f3c148fe37a31d52a30202,unknown,unknown,,plain,"",false,,,,,,,,,"",,
646236590,646236592,2400,8085a860ea4cbbc336f3c148fe37a31d52a30202,unknown,unknown,,plain,"",false,,,,,,,,,"",,
646236590,646236593,2400,8085a860ea4cbbc336f3c148fe37a31d52a30202,unknown,unknown,,plain,"",false,,,,,,,,,"",,
646236590,646236594,2400,8085a860ea4cbbc336f3c148fe37a31d52a30202,unknown,unknown,,plain,"",false,,,,,,,,,"",,
646236603,646236604,2401,8085a860ea4cbbc336f3c148fe37a31d52a30202,java,ok,1,java-ant,"",false,,,,,,,,,"",,29.01
646236603,646236605,2401,8085a860ea4cbbc336f3c148fe37a31d52a30202,java,ok,1,java-ant,"",false,,,,,,,,,"",,32.4
646236603,646236606,2401,8085a860ea4cbbc336f3c148fe37a31d52a30202,java,ok,3,java-ant,"",false,,,,,,,,,"",,35.0
646236603,646236607,2401,8085a860ea4cbbc336f3c148fe37a31d52a30202,java,ok,1,java-ant,"",false,,,,,,,,,"",,32.65
646236618,646236619,2402,ef32debbd2568b1a441155bcfb261096e2ad02c0,java,ok,2,java-ant,"",false,,,,,,,,,"",,29.17
646236618,646236620,2402,ef32debbd2568b1a441155bcfb261096e2ad02c0,java,ok,1,java-ant,"",false,,,,,,,,,"",,34.33
646236618,646236621,2402,ef32debbd2568b1a441155bcfb261096e2ad02c0,java,ok,1,java-ant,"",false,,,,,,,,,"",,36.92
646236618,646236622,2402,ef32debbd2568b1a441155bcfb261096e2ad02c0,java,ok,1,java-ant,"",false,,,,,,,,,"",,35.07
646529846,646529847,2403,1ae2bfa3fbde1860942757ee32e2eeeaaf6fff98,java,ok,1,java-ant,"",false,,,,,,,,,"",,30.58
