build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
747438391,27dbb788feaed0fc00590cad9440dfb06f44bee1,40,master,failed,29,2020-12-03 16:41:03 UTC,747438394,pull_request
701332699,6fea5ae6fcdc962b34249a60525cb2f463f387de,,master,passed,28,2020-06-23 16:00:16 UTC,701332700,push
690026746,46bc84d549683cf06c5ca17e22a69c7ba613905a,39,master,passed,34,2020-05-22 13:22:07 UTC,690026747,pull_request
470319024,f71efcad7c046849670ae67e8cfb3303ec3e3c7a,,master,passed,61,2018-12-20 02:27:42 UTC,470319025,push
470318165,259ffb10fd672b7b65c010101a8199555a99e926,,v0.5.0,passed,46,2018-12-20 02:23:18 UTC,470318166,push
470318118,259ffb10fd672b7b65c010101a8199555a99e926,,master,passed,69,2018-12-20 02:23:06 UTC,470318119,push
470316927,e94a772a1c82f33a553e4b0ef0e492e3425d0591,,feature/ReleasingMarkdown,failed,15,2018-12-20 02:18:28 UTC,470316928,push
470106325,2f820e254bd37d62ba63fa0b8e602f78193d4cc4,,master,passed,129,2018-12-19 16:35:35 UTC,470106326,push
470104938,096a2e6a2832a30b25c63aa7fd433e761de04519,35,master,passed,67,2018-12-19 16:33:02 UTC,470104939,pull_request
470104921,f243c1de480dcaa468d93f3041124b0a5587cca5,,danger-changelog-0.4.0,passed,62,2018-12-19 16:33:27 UTC,470104924,push
470103269,03912897705d6048516f0140f9a12b5dbfef8468,35,master,errored,71,2018-12-19 16:30:36 UTC,470103270,pull_request
470103137,81136455fefd061112d67161769b3457b8daa0a4,,danger-changelog-0.4.0,passed,80,2018-12-19 16:29:56 UTC,470103138,push
469790760,c1177b741e68fb45817a957487d77ed3c3a2e5b7,34,master,errored,42,2018-12-19 00:07:18 UTC,469790761,pull_request
469528754,bac8c7efc8268162b9bf306ec084923b49e08332,,master,passed,64,2018-12-18 14:04:28 UTC,469528755,push
469291450,02193040955c357f10e2b3aac66eb9d7b040d710,33,master,passed,98,2018-12-18 00:20:38 UTC,469291451,pull_request
469187379,06fcc8176705111216cdf2d2c3da5a047ff96ed7,,master,passed,50,2018-12-17 19:56:17 UTC,469187380,push
468806542,cd2dc19a40c6b351846939423a80a64b0798bc7d,33,master,passed,68,2018-12-17 00:05:01 UTC,468806543,pull_request
468805612,ed0476f2cdf662272e39bf9567c25d9ea44b6f6e,33,master,passed,76,2018-12-17 00:00:22 UTC,468805613,pull_request
468800423,a300b2e43a6e17a500edf0f6a105b3b84fbf4a44,32,master,passed,64,2018-12-16 23:34:23 UTC,468800424,pull_request
468797928,28246f48d3d8328405122ab4ae9a7a1c6596d25e,32,master,failed,67,2018-12-16 23:22:37 UTC,468797929,pull_request
468667311,6549351764ee3738370401319ba1addb15598d2a,,master,passed,62,2018-12-16 14:48:52 UTC,468667312,push
468666896,48305d2a080ba420a1a201da3e139586ae5995ab,31,master,passed,52,2018-12-16 14:46:57 UTC,468666897,pull_request
468666887,a58929171715c5a6e6df677c605edb52fa12d149,,added-danger,passed,71,2018-12-16 14:47:02 UTC,468666889,push
468666321,bac348ab3bc5de7fe70caaa102c61af2875b9409,31,master,errored,41,2018-12-16 14:45:21 UTC,468666322,pull_request
468666319,89e496cd40095d42aa670d0dbd5e1f6135d9fb44,,added-danger,passed,69,2018-12-16 14:45:18 UTC,468666320,push
468665956,8bc1c61e93f9fd16022d0c838b24ef8cb896fab1,31,master,passed,76,2018-12-16 14:43:55 UTC,468665957,pull_request
468665950,cab2835c276b7c30592dadaba9821ca6e33dafc3,,added-danger,passed,76,2018-12-16 14:43:51 UTC,468665951,push
468665744,b0a3ff94baf757044cf93d636987ddc1467bf7ea,31,master,passed,52,2018-12-16 14:43:02 UTC,468665745,pull_request
468665738,26afd407015c1d18f6334eec83fab83b7fafb38f,,added-danger,errored,37,2018-12-16 14:43:00 UTC,468665739,push
468665291,d6bac387155c4f760971e4a32cfe3ce817251ec6,31,master,errored,46,2018-12-16 14:41:09 UTC,468665292,pull_request
468665289,3166e6779f496d6c1bea10994e1e9f30c653a382,,added-danger,passed,67,2018-12-16 14:41:11 UTC,468665290,push
