tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
461834179,461834180,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,656,0,656,37,,,,"",368.4,
461834179,461834181,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,658,0,658,35,,,,"",375.93,
461834179,461834182,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",418.0,
461834179,461834183,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,4,python,pytest,true,false,662,0,662,31,,,,"",496.4,
461834179,461834184,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",501.83,
461834179,461834185,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,3,python,pytest,true,true,652,10,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,494.36,
461834179,461834186,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,652,10,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,699.89,
461834179,461834187,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,unknown,4,python,"",false,,,,,,,,,"",,
461834179,461834188,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,656,0,656,37,,,,"",475.82,
461834179,461834189,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,658,0,658,35,,,,"",378.43,
461834179,461834190,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",399.97,
461834179,461834191,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",523.33,
461834179,461834192,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",591.14,
461834179,461834193,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,6,python,pytest,true,true,652,10,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,716.14,
461834179,461834194,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,652,10,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,576.66,
461834179,461834195,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,unknown,3,python,"",false,,,,,,,,,"",,
461834179,461834196,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,656,0,656,37,,,,"",393.01,
461834179,461834199,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,658,0,658,35,,,,"",420.23,
461834179,461834200,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",406.48,
461834179,461834202,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",459.45,
461834179,461834203,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",590.64,
461834179,461834204,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,651,11,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestFailover.test_switch_leader_simple_consumer#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,706.21,
461834179,461834205,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,652,10,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,676.24,
461834179,461834206,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,602,4,606,23,,,,TestFailover.test_switch_leader#TestFailover.test_switch_leader_async#TestFailover.test_switch_leader_keyed_producer#TestFailover.test_switch_leader_simple_consumer,124.24,
461834179,461834207,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,656,0,656,37,,,,"",362.26,
461834179,461834208,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,658,0,658,35,,,,"",372.94,
461834179,461834209,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",394.69,
461834179,461834210,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",571.93,
461834179,461834211,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,ok,0,python,pytest,true,false,662,0,662,31,,,,"",620.02,
461834179,461834212,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,652,10,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,443.78,
461834179,461834213,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,652,10,662,31,,,,TestConsumerIntegration.test_simple_consumer_blocking#TestKafkaProducerIntegration.test_acks_cluster_commit#TestKafkaProducerIntegration.test_acks_local_write#TestKafkaProducerIntegration.test_acks_none#TestKafkaProducerIntegration.test_async_keyed_producer#TestKafkaProducerIntegration.test_async_simple_producer#TestKafkaProducerIntegration.test_hashed_partitioner#TestKafkaProducerIntegration.test_round_robin_partitioner#TestKafkaProducerIntegration.test_simple_producer,495.84,
461834179,461834214,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,broken,4,python,pytest,true,true,602,4,606,23,,,,TestFailover.test_switch_leader#TestFailover.test_switch_leader_async#TestFailover.test_switch_leader_keyed_producer#TestFailover.test_switch_leader_simple_consumer,184.78,
461834179,461834215,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,unknown,,python,"",false,,,,,,,,,"",,
461834179,461834216,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,unknown,,python,"",false,,,,,,,,,"",,
461834179,461834217,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,unknown,,python,"",false,,,,,,,,,"",,
461834179,461834218,2015,ab43cd70113d8057eb53d717b26ae3fc86136a3a,python,unknown,,python,"",false,,,,,,,,,"",,
