build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
757527718,fcd73525cf6a97ae7641df7d50d863c8e839cc4d,1531,master,passed,419,2021-02-04 09:54:52 UTC,757527719,757527720,pull_request
757061732,2b823d4eca03102d5fb7bdbe02fe8714cc79551c,1530,master,passed,245,2021-02-01 11:30:57 UTC,757061733,757061734,pull_request
754625198,1ab899ef42f33dd6db576f1f44f62df660c85f53,1528,master,passed,348,2021-01-15 13:24:08 UTC,754625199,754625200,pull_request
753134144,80d31a45b64a76739d3059ef80e7f735a2b15d9f,1527,master,passed,320,2021-01-06 06:16:52 UTC,753134145,753134146,pull_request
752923085,73b11eb550177c12549bca9a3ccaa4a5922546ed,,master,failed,221,2021-01-05 04:04:08 UTC,752923086,752923089,push
752223282,085112a209f41eb974e975d8d99738c14224f6bd,1526,master,failed,267,2020-12-31 02:37:45 UTC,752223283,752223284,pull_request
749947432,2ae32f931afac389183e52a312ed6fc6e51bf42f,1523,master,passed,319,2020-12-16 03:36:20 UTC,749947433,749947434,pull_request
748994947,4c64888398f106dea9513c7bd481d275dc93d87e,1519,master,passed,285,2020-12-11 08:43:47 UTC,748994948,748994949,pull_request
748994503,6281bc4bb0adfe0f4d8b5e5008b74d61bf22cdbd,1519,master,passed,251,2020-12-11 08:40:59 UTC,748994504,748994505,pull_request
747384704,43140e618e75abd72e8a99bfef78fa25d5c3ff44,1519,master,passed,267,2020-12-03 09:53:36 UTC,747384705,747384706,pull_request
747383514,7c29b888c14a1e902001a6c77c3c3571a543cb73,1519,master,passed,247,2020-12-03 09:45:51 UTC,747383515,747383516,pull_request
747379707,28d0e3c9448016d370a9c2a2172b22c01c848d9e,1519,master,passed,255,2020-12-03 09:18:09 UTC,747379708,747379709,pull_request
747143084,ccbf1c15cb3877514a74373607c1659d8e07a336,1518,master,passed,244,2020-12-02 07:32:19 UTC,747143085,747143086,pull_request
747142458,daa79aaf901c56a5693be80d30b1b8dbbd47c4a3,1518,master,passed,273,2020-12-02 06:36:56 UTC,747142461,747142462,pull_request
747142335,16508682d6818acf3f273030b1d134fbd8a2f8d3,1518,master,passed,286,2020-12-02 06:32:29 UTC,747142336,747142337,pull_request
747135392,f168eba7d6e2bd88f30aa0f3734184493901f880,1518,master,passed,244,2020-12-02 05:32:01 UTC,747135393,747135394,pull_request
747133379,52454126c63f8b8d76c620fad119a2f93c161f5d,1518,master,passed,248,2020-12-02 05:15:16 UTC,747133380,747133381,pull_request
747128854,210f6cad11350884a00890fefa6a3002890a871e,1518,master,passed,270,2020-12-02 05:12:45 UTC,747128855,747128856,pull_request
747126377,4bdc95ec53f86a8611e70a3f5636bd1ebafee856,1518,master,canceled,0,,747126378,747126379,pull_request
747125546,c7d8bfea2861871c827db89a52a5163a21734609,1518,master,canceled,0,,747125547,747125548,pull_request
747125439,854d44efaf4e5f6006ea1f2b997462b5e5a01206,1518,master,passed,241,2020-12-02 04:04:49 UTC,747125440,747125441,pull_request
747125309,14b7854411d57ba7e5e23b04ae3780a407bd3566,1518,master,passed,273,2020-12-02 04:02:02 UTC,747125310,747125311,pull_request
745995002,011e011526136f34e7c758669bda7daf1275b6ce,,master,passed,345,2020-11-26 01:51:10 UTC,745995003,745995004,push
745992784,8513cb5e1ca3282d9e2ad78d20acce891d499183,1515,master,errored,266,2020-11-26 01:25:23 UTC,745992785,745992786,pull_request
745779297,532e4fd1d608f6e2821372417788e021b695c351,1514,master,passed,339,2020-11-25 01:25:13 UTC,745779298,745779299,pull_request
745687109,6799156d3025f7fb6dd1283bf07ed7d153d8bb91,,master,passed,321,2020-11-24 17:04:20 UTC,745687110,745687111,push
744877728,249d68b29a9d9e56cc53520a36b39ed23ff8eef9,1513,master,passed,328,2020-11-20 12:53:04 UTC,744877729,744877730,pull_request
744869816,989a445861156569a27abd01262b269036c3b3b1,1513,master,failed,302,2020-11-20 12:00:52 UTC,744869817,744869818,pull_request
744869176,35ae98d5264ead205f7f9fa78d4b1a7c2f766122,1513,master,failed,323,2020-11-20 11:56:13 UTC,744869178,744869179,pull_request
