tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
714057029,714057030,1020,f6d8cea6971cfb3b25cc62446e2fba7099ed16f6,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057029,714057031,1020,f6d8cea6971cfb3b25cc62446e2fba7099ed16f6,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057029,714057032,1020,f6d8cea6971cfb3b25cc62446e2fba7099ed16f6,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057365,714057366,1021,344ce6c2e9ac539765a7e92ecfbbc29d4231f331,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057365,714057367,1021,344ce6c2e9ac539765a7e92ecfbbc29d4231f331,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057365,714057368,1021,344ce6c2e9ac539765a7e92ecfbbc29d4231f331,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057466,714057467,1022,cbcb983c79da5c3b3102930d3310024621fefa99,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714057466,714057468,1022,cbcb983c79da5c3b3102930d3310024621fefa99,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714057466,714057469,1022,cbcb983c79da5c3b3102930d3310024621fefa99,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714057970,714057971,1023,69cae4221c79c0f86ae98aeb134fd489e653130a,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057970,714057972,1023,69cae4221c79c0f86ae98aeb134fd489e653130a,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714057970,714057973,1023,69cae4221c79c0f86ae98aeb134fd489e653130a,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058034,714058035,1024,41cbe70cd99484918c21b136dc4d0a55dfa81d39,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058034,714058036,1024,41cbe70cd99484918c21b136dc4d0a55dfa81d39,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058034,714058037,1024,41cbe70cd99484918c21b136dc4d0a55dfa81d39,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058048,714058049,1025,0b0d79fb193b864d33df7e1e933d986fc61122df,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714058048,714058050,1025,0b0d79fb193b864d33df7e1e933d986fc61122df,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058048,714058051,1025,0b0d79fb193b864d33df7e1e933d986fc61122df,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714058429,714058430,1026,eeca3c5eb985aae6766cf4fd8b7d9e8c5abc4cb5,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058429,714058431,1026,eeca3c5eb985aae6766cf4fd8b7d9e8c5abc4cb5,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058429,714058432,1026,eeca3c5eb985aae6766cf4fd8b7d9e8c5abc4cb5,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714058433,714058434,1027,704437f9baa1684672142f883902b6cd919f5aa5,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714058433,714058435,1027,704437f9baa1684672142f883902b6cd919f5aa5,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714058433,714058436,1027,704437f9baa1684672142f883902b6cd919f5aa5,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714061826,714061832,1028,cbf5353895c8b8890e54a9b82e5f48d4bff827bf,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714061826,714061833,1028,cbf5353895c8b8890e54a9b82e5f48d4bff827bf,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714061826,714061834,1028,cbf5353895c8b8890e54a9b82e5f48d4bff827bf,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714062033,714062034,1029,8b6774460b5d24eadd33392e9b569d1122b891a8,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714062033,714062035,1029,8b6774460b5d24eadd33392e9b569d1122b891a8,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714062033,714062036,1029,8b6774460b5d24eadd33392e9b569d1122b891a8,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714062740,714062741,1030,10299680c0698ab29d5966caabe4d3370d787a8b,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
714062740,714062742,1030,10299680c0698ab29d5966caabe4d3370d787a8b,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
714062740,714062743,1030,10299680c0698ab29d5966caabe4d3370d787a8b,ruby,broken,1,ruby,"",false,,,0,,,,,,"",,
714062755,714062756,1031,3446abc18a7e4178a290076f5bea127052f5dc81,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
714062755,714062757,1031,3446abc18a7e4178a290076f5bea127052f5dc81,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
714062755,714062758,1031,3446abc18a7e4178a290076f5bea127052f5dc81,ruby,broken,0,ruby,"",false,,,0,,,,,,"",,
714063837,714063838,1032,fd954630bca7b885cb631eb1c2f39f6037623771,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714063837,714063839,1032,fd954630bca7b885cb631eb1c2f39f6037623771,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714063837,714063840,1032,fd954630bca7b885cb631eb1c2f39f6037623771,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714066848,714066849,1033,c8de723de269e4c392fe9572ef294e3a42d1e9fa,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714066848,714066850,1033,c8de723de269e4c392fe9572ef294e3a42d1e9fa,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714066848,714066851,1033,c8de723de269e4c392fe9572ef294e3a42d1e9fa,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714066870,714066871,1034,c75c882076b37b7d468d56f89ccb9a72f6bdaa54,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714066870,714066872,1034,c75c882076b37b7d468d56f89ccb9a72f6bdaa54,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714066870,714066873,1034,c75c882076b37b7d468d56f89ccb9a72f6bdaa54,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714069170,714069171,1035,932fa0339944fb3cb578f08559a27e48144ec317,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714069170,714069172,1035,932fa0339944fb3cb578f08559a27e48144ec317,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714069170,714069173,1035,932fa0339944fb3cb578f08559a27e48144ec317,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714069193,714069194,1036,66e74543dbad793a7a856f1724fc6e133328844f,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714069193,714069195,1036,66e74543dbad793a7a856f1724fc6e133328844f,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714069193,714069196,1036,66e74543dbad793a7a856f1724fc6e133328844f,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
714070136,714070137,1037,9f1f81977ad674600fc454e4582a1548c0cff005,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714070136,714070138,1037,9f1f81977ad674600fc454e4582a1548c0cff005,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
714070136,714070139,1037,9f1f81977ad674600fc454e4582a1548c0cff005,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
717390665,717390666,1038,fc8008b10d40413f0055d7f25a221f47bf457b54,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717390665,717390667,1038,fc8008b10d40413f0055d7f25a221f47bf457b54,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717390665,717390668,1038,fc8008b10d40413f0055d7f25a221f47bf457b54,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717390836,717390837,1039,81052ad3c9ecb04da033557788b5f33ab03a35f9,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717390836,717390838,1039,81052ad3c9ecb04da033557788b5f33ab03a35f9,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717390836,717390839,1039,81052ad3c9ecb04da033557788b5f33ab03a35f9,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717480234,717480235,1040,ea7bea74a381e864bcb0ef4ed3af53f922d5a4f4,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
717480234,717480236,1040,ea7bea74a381e864bcb0ef4ed3af53f922d5a4f4,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
717480234,717480237,1040,ea7bea74a381e864bcb0ef4ed3af53f922d5a4f4,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
717480310,717480311,1041,b876927f093435fecb2aea7cb4618ea943bed261,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717480310,717480312,1041,b876927f093435fecb2aea7cb4618ea943bed261,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717480310,717480313,1041,b876927f093435fecb2aea7cb4618ea943bed261,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
717489190,717489191,1042,0e54226575938e8998e7d5b1f64206adfb1d614e,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
717489190,717489192,1042,0e54226575938e8998e7d5b1f64206adfb1d614e,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
717489190,717489193,1042,0e54226575938e8998e7d5b1f64206adfb1d614e,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
718018436,718018437,1043,750d51e1e8b93864623574980b25844aadb30f3c,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
718018436,718018438,1043,750d51e1e8b93864623574980b25844aadb30f3c,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
718018436,718018439,1043,750d51e1e8b93864623574980b25844aadb30f3c,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
718046187,718046188,1044,b3cb8fef109339fa711e36e86855fe59f81623c7,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
