build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
742508767,97ce8703cc9810fef1bc52bf604a68f0be4b0419,,feat/upgrade,failed,181,2020-11-09 18:41:38 UTC,742508768,push
742142782,d94ea1cd42ca37d0df8297fceed70f6cfc2abd47,,feat/upgrade,failed,172,2020-11-07 21:49:36 UTC,742142783,push
741515553,e428035a2a10eefc70e765f0657c6055d71880ac,,feat/upgrade,failed,179,2020-11-05 00:09:55 UTC,741515554,push
741513342,bd430693ffc31a60be3258acc8f523d9e9e65510,,master,failed,130,2020-11-04 23:56:57 UTC,741513343,push
676103416,3268075edb640877082a5e243618c43e4edb8f7f,62,master,failed,123,2020-04-17 08:43:51 UTC,676103417,pull_request
605657314,2d15917f592a01de5af1e2a3a909a0f7486027c8,60,master,failed,167,2019-10-31 18:33:45 UTC,605657315,pull_request
605657289,e3b20e43e39d5fc0fbf3a1c652462559ebbec2cf,,whitesource/configure,failed,157,2019-10-31 18:33:47 UTC,605657290,push
605657287,dda12cbc19e9adcc8d769a0bb7c74bee6a0b788f,,whitesource/configure,canceled,0,,605657288,push
566512217,e3b20e43e39d5fc0fbf3a1c652462559ebbec2cf,,master,errored,53,2019-08-01 14:47:44 UTC,566512218,push
566512154,d57adb9a9c6615ca26932a2bb58fd1966c6fe3f2,57,master,errored,71,2019-08-01 14:47:30 UTC,566512155,pull_request
566512146,7fe8ae48e55231f65469b560e35ad600f63c04b0,,feat/support_hc5,errored,38,2019-08-01 14:47:28 UTC,566512147,push
566511259,28578eb1fedb563416d38642707655ac9cbb5669,57,master,failed,163,2019-08-01 14:45:40 UTC,566511260,pull_request
547293143,e9d36dda61b78482523785962fb1b4ba39ee2662,,master,passed,594,2019-06-18 15:25:22 UTC,547293144,547293145,push
547291505,aecc7857e44326708f13a5c2eb6820a00d77152d,53,master,passed,593,2019-06-18 15:21:26 UTC,547291506,547291507,pull_request
547243260,a4ec6fba96112a8868e7ec44eab028781050fc33,53,master,passed,524,2019-06-18 13:39:38 UTC,547243261,547243262,pull_request
545475693,e1de568034e49d11045f1f38f04c38c4a30d9b02,,feat/support_hc5,failed,126,2019-06-13 21:53:41 UTC,545475694,push
