build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
738769727,73e519546fc0bce0c395610afcf6aa4e5aec88eb,,master,passed,46,2020-10-25 18:15:45 UTC,738769728,738769729,push
735762821,67ab2003b68ce368ea4146bc5053fd1fd6012b66,38,master,passed,54,2020-10-14 15:23:27 UTC,735762822,735762823,pull_request
470177955,e9d0cf3ad76756c046f4a7292731241e33afa4eb,35,master,passed,41,2018-12-19 19:29:13 UTC,470177956,pull_request
433543892,bc4d8a9694ea6f0694a8aeaa35119e47bed34415,29,master,passed,15,2018-09-26 14:26:50 UTC,433543893,pull_request
197488915,7a55ddc9e4398cd86f28fcd5d8534a832d049e5e,29,master,passed,19,2017-02-01 23:53:46 UTC,197488916,pull_request
197424850,b3cdbdd64a0471c78c2ac041c5c78b1053a4dc71,29,master,passed,19,2017-02-01 20:17:02 UTC,197424851,pull_request
112391627,b67bdf1181b3e64258af4d6f194dbfe99f90c745,24,master,failed,28,2016-02-28 12:37:00 UTC,112391628,pull_request
105780608,45c278ab3607870051a2ea9040bb85fcb8557481,,master,passed,3,2016-01-29 22:04:10 UTC,105780610,push
104899627,7b88e26ef9d84b7001d557d3ae144ccbbe7a9c34,22,master,passed,4,2016-01-26 14:17:25 UTC,104899628,pull_request
74819149,6f7159c3154e7cd4ab30f6cc9c58fa3fd0f22325,,master,passed,4,2015-08-09 18:34:24 UTC,74819151,push
72525583,1eb0e7daa80c27dfe376dabeaae9a0bb36dcc810,19,master,passed,3,2015-07-24 20:50:27 UTC,72525585,pull_request
50810679,2e6f5f3f0c40ab9cb459742296f6a2aaab1fd5dc,,master,passed,3,2015-02-15 06:06:48 UTC,50810680,push
50810544,760e47f3c3bc7f544cd0bf7653e704cf1b949e83,,master,passed,3,2015-02-15 06:03:15 UTC,50810545,push
50808620,32a05c62658bd1d7c7e75cbc8195de5d585fde0f,,v0.0.1,passed,3,2015-02-15 05:15:35 UTC,50808621,push
50808581,32a05c62658bd1d7c7e75cbc8195de5d585fde0f,,master,passed,4,2015-02-15 05:13:57 UTC,50808582,push
50808519,47dae80e704d0d7c52655f8ea078fa3deff1a1ab,15,master,passed,3,2015-02-15 05:12:29 UTC,50808520,pull_request
50808487,fceeeaf066923a9639b3904349770613242be686,,enable_travis_ci,passed,4,2015-02-15 05:11:18 UTC,50808488,push
50802677,c57ff26d30285cb7875ed947bc6212d9b279e58d,,issue_13,failed,3,2015-02-15 03:13:10 UTC,50802678,push
50801545,6cc5761fd2011fd5c47845dd9950dfa8405daae1,,master,failed,4,2015-02-15 02:50:15 UTC,50801546,push
47287059,78316ba37b7b8e33e51f8b8d4c11b64256862f5e,13,master,failed,3,2015-01-16 19:39:30 UTC,47287060,pull_request
47286914,27f6a10c4d42e4000a078d7d83946088787de7f3,13,master,failed,4,2015-01-16 19:39:06 UTC,47286915,pull_request
47286013,93c5797ca7d33c1b16866b7df02e83b0adb0a4fd,13,master,failed,14,2015-01-16 19:34:00 UTC,47286014,pull_request
41105958,04bd3e2f033dcd63598feeabe4d574abecf2da7c,10,master,failed,3,2014-11-15 18:01:22 UTC,41105959,pull_request
