build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
568396924,dc27269a47e66923dbd8bdecf465a23092097f9e,,2.0.0,canceled,0,,568396925,push
568395161,dc27269a47e66923dbd8bdecf465a23092097f9e,,2.0.0,canceled,17,2019-08-06 14:22:30 UTC,568395162,push
568393479,dc27269a47e66923dbd8bdecf465a23092097f9e,,master,passed,193,2019-08-06 14:18:18 UTC,568393480,push
568385963,add059b4eb1a2785075fc20f4b53d92e88d165d0,26,master,passed,175,2019-08-06 14:03:48 UTC,568385965,pull_request
568385920,eeb1d2b6744263f662a8b998df197ac7a461c11d,,prep-v2.0.0,passed,313,2019-08-06 14:11:40 UTC,568385921,push
568383679,006e6981e8b42aa262bfb9dd0557a34e9fde6671,26,master,errored,116,2019-08-06 13:59:15 UTC,568383680,pull_request
568383667,6da79daa96d01ae0237e4a9db7194948a294af1e,,prep-v2.0.0,failed,294,2019-08-06 13:59:11 UTC,568383668,push
568381665,1d249a95731cf4f394aede139542d0cdba706d12,26,master,passed,227,2019-08-06 13:54:46 UTC,568381666,pull_request
568381552,34aef54f20e0cf0e3d8f3324c6ae064e78f05949,,prep-v2.0.0,passed,220,2019-08-06 13:54:17 UTC,568381553,push
568381341,dc96b15dacdd4485284cc79433a47a43c70935a0,,prep-v2.0.0,canceled,0,2019-08-06 13:53:48 UTC,568381342,push
568375624,3c76b54c807c6616b1503d3e95732c6ad5722a13,,master,passed,179,2019-08-06 13:41:53 UTC,568375625,push
568375343,f8bdaefaf855b55543178a2bd04ab0aa1aef03fa,25,master,errored,66,2019-08-06 13:40:54 UTC,568375344,pull_request
568372255,fc5a9797e8bac28219ddefc57052e7cd2d5adc4a,,v2,passed,173,2019-08-06 13:33:58 UTC,568372256,push
568363589,fb183d897b615f82d82908bf2f5c6fe43b5a8b08,,v2,passed,239,2019-08-06 13:14:49 UTC,568363590,push
568356589,67711cf1500e6905fd4b099514fbb8dc01ccb575,,v2,passed,185,2019-08-06 13:00:45 UTC,568356593,push
568344871,f9ce51da4b38fdda7363cb049c5163110a9afc3f,,v2,passed,223,2019-08-06 12:33:11 UTC,568344872,push
568335370,045246c3247e9077e3db30c2fe195ed3bf87dad2,,v2,errored,100,2019-08-06 12:07:05 UTC,568335371,push
568259115,6c8a85a5ab953874c7c83d50317359a0e5a352a9,,v1.8.0,passed,463,2019-08-06 08:36:40 UTC,568259116,push
568230922,6c8a85a5ab953874c7c83d50317359a0e5a352a9,,v1.x,passed,392,2019-08-06 07:02:17 UTC,568230923,push
567745636,6c8a85a5ab953874c7c83d50317359a0e5a352a9,,master,passed,370,2019-08-05 07:00:58 UTC,567745637,push
567735350,c9dc78f29c5087e7c181e58a56667a75072e6196,,master,passed,370,2019-08-05 06:20:57 UTC,567735351,push
567490114,40f972bec1482d9e44d774915d829852b397369e,22,master,passed,210,2019-08-04 09:06:52 UTC,567490115,pull_request
567414992,7be7c16a7981a237620757761058cf8a02125a19,22,master,passed,222,2019-08-03 23:34:58 UTC,567414993,pull_request
563770987,e1ca9e227ddaa030e56459513d8ed34a2c4ac2e3,,master,passed,338,2019-07-25 22:16:24 UTC,563770988,push
