tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
471597859,471597860,2134,7dac2004d704a2216208ad0a67661afc2c4c7aeb,ruby,unknown,4,ruby,rspec,true,false,651,0,651,0,,,,"",3.0499999999999994,
471597859,471597861,2134,7dac2004d704a2216208ad0a67661afc2c4c7aeb,ruby,unknown,4,ruby,rspec,true,false,791,0,791,0,,,,"",3.74,
471597859,471597862,2134,7dac2004d704a2216208ad0a67661afc2c4c7aeb,ruby,unknown,5,ruby,rspec,true,false,647,0,647,0,,,,"",3.0300000000000002,
471597859,471597863,2134,7dac2004d704a2216208ad0a67661afc2c4c7aeb,ruby,unknown,4,ruby,"",false,,,0,,,,,,"",,
471597859,471597864,2134,7dac2004d704a2216208ad0a67661afc2c4c7aeb,ruby,unknown,4,ruby,"",false,,,0,,,,,,"",,
471598719,471598720,2135,f00f7a799bac1363883120feb2475219c0eec866,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",8.399999999999999,
471598719,471598721,2135,f00f7a799bac1363883120feb2475219c0eec866,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",7.450000000000001,
471598719,471598722,2135,f00f7a799bac1363883120feb2475219c0eec866,ruby,ok,5,ruby,rspec,true,false,805,0,805,0,,,,"",9.84,
471598719,471598723,2135,f00f7a799bac1363883120feb2475219c0eec866,unknown,unknown,,plain,"",false,,,,,,,,,"",,
471598719,471598724,2135,f00f7a799bac1363883120feb2475219c0eec866,unknown,unknown,,plain,"",false,,,,,,,,,"",,
471598719,471598725,2135,f00f7a799bac1363883120feb2475219c0eec866,ruby,ok,6,ruby,rspec,true,false,805,0,805,0,,,,"",7.99,
471598719,471598726,2135,f00f7a799bac1363883120feb2475219c0eec866,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",8.1,
471599300,471599301,2136,6a7c9165d7bda243bb7be3c9098ebfc3bc65b81b,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",8.489999999999998,
471599300,471599302,2136,6a7c9165d7bda243bb7be3c9098ebfc3bc65b81b,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",7.49,
471599300,471599303,2136,6a7c9165d7bda243bb7be3c9098ebfc3bc65b81b,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",9.0,
471599300,471599304,2136,6a7c9165d7bda243bb7be3c9098ebfc3bc65b81b,ruby,ok,5,ruby,rspec,true,false,805,0,805,0,,,,"",8.01,
471599300,471599305,2136,6a7c9165d7bda243bb7be3c9098ebfc3bc65b81b,ruby,ok,5,ruby,rspec,true,false,805,0,805,0,,,,"",8.28,
471599614,471599615,2137,6540bef2a397bb1ccbdee3e51a39ef5553be88c0,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",8.44,
471599614,471599616,2137,6540bef2a397bb1ccbdee3e51a39ef5553be88c0,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",7.649999999999999,
471599614,471599617,2137,6540bef2a397bb1ccbdee3e51a39ef5553be88c0,ruby,ok,3,ruby,rspec,true,false,805,0,805,0,,,,"",9.01,
471599614,471599618,2137,6540bef2a397bb1ccbdee3e51a39ef5553be88c0,ruby,ok,5,ruby,rspec,true,false,805,0,805,0,,,,"",7.8100000000000005,
471599614,471599619,2137,6540bef2a397bb1ccbdee3e51a39ef5553be88c0,ruby,ok,3,ruby,rspec,true,false,805,0,805,0,,,,"",7.869999999999999,
471601933,471601934,2138,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",8.839999999999998,
471601933,471601935,2138,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",7.220000000000001,
471601933,471601936,2138,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",8.25,
471601933,471601937,2138,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,5,ruby,rspec,true,false,805,0,805,0,,,,"",7.890000000000001,
471601933,471601938,2138,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,5,ruby,rspec,true,false,805,0,805,0,,,,"",8.37,
471735811,471735812,2139,f1ade98c53048102433a90caf0b854b2a6e97416,ruby,broken,3,ruby,rspec,true,true,794,1,795,0,,,,"",4.659999999999999,
471735811,471735813,2139,f1ade98c53048102433a90caf0b854b2a6e97416,ruby,broken,3,ruby,rspec,true,true,794,1,795,0,,,,"",3.9400000000000013,
471735811,471735814,2139,f1ade98c53048102433a90caf0b854b2a6e97416,ruby,broken,3,ruby,rspec,true,true,794,1,795,0,,,,"",5.27,
471735811,471735815,2139,f1ade98c53048102433a90caf0b854b2a6e97416,ruby,broken,4,ruby,rspec,true,true,794,1,795,0,,,,"",4.34,
471735811,471735816,2139,f1ade98c53048102433a90caf0b854b2a6e97416,ruby,broken,3,ruby,rspec,true,true,794,1,795,0,,,,"",4.659999999999999,
472042070,472042071,2140,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,6,ruby,rspec,true,false,805,0,805,0,,,,"",8.649999999999999,
472042070,472042072,2140,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",7.280000000000001,
472042070,472042073,2140,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",9.290000000000001,
472042070,472042074,2140,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,5,ruby,rspec,true,false,805,0,805,0,,,,"",8.0,
472042070,472042075,2140,6facd3a157e25391bffea811e2812793cc49b12c,ruby,ok,4,ruby,rspec,true,false,805,0,805,0,,,,"",8.299999999999999,
472408890,472408891,2141,c4dd701c6e8e7ced856236551c868a637cde655e,ruby,ok,3,ruby,rspec,true,false,809,0,809,0,,,,"",8.82,
472408890,472408892,2141,c4dd701c6e8e7ced856236551c868a637cde655e,ruby,ok,3,ruby,rspec,true,false,809,0,809,0,,,,"",7.3100000000000005,
472408890,472408893,2141,c4dd701c6e8e7ced856236551c868a637cde655e,ruby,ok,3,ruby,rspec,true,false,809,0,809,0,,,,"",9.24,
472408890,472408894,2141,c4dd701c6e8e7ced856236551c868a637cde655e,ruby,ok,4,ruby,rspec,true,false,809,0,809,0,,,,"",7.65,
472408890,472408895,2141,c4dd701c6e8e7ced856236551c868a637cde655e,ruby,ok,5,ruby,rspec,true,false,809,0,809,0,,,,"",9.540000000000001,
472850690,472850691,2142,c512ba1964cf652d7904e2eca621ddf1752dc23c,ruby,broken,3,ruby,rspec,true,false,793,0,793,0,,,,"",5.149999999999999,
472850690,472850692,2142,c512ba1964cf652d7904e2eca621ddf1752dc23c,ruby,broken,3,ruby,rspec,true,false,793,0,793,0,,,,"",3.710000000000001,
472850690,472850693,2142,c512ba1964cf652d7904e2eca621ddf1752dc23c,ruby,broken,4,ruby,rspec,true,false,793,0,793,0,,,,"",5.530000000000001,
472850690,472850694,2142,c512ba1964cf652d7904e2eca621ddf1752dc23c,ruby,broken,4,ruby,rspec,true,false,793,0,793,0,,,,"",4.65,
472850690,472850695,2142,c512ba1964cf652d7904e2eca621ddf1752dc23c,ruby,broken,3,ruby,rspec,true,false,793,0,793,0,,,,"",4.649999999999999,
472854474,472854475,2143,35decf1cf4c286e6b3c9b4ef446c39c3d402d21c,ruby,ok,3,ruby,rspec,true,false,807,0,807,0,,,,"",9.1,
